candidate_id,polarization,normal_phase_error_453_deg,best_offaxis_phase_error_20_60_deg,best_offaxis_phase_error_30_40_deg,phase_margin_20_60_deg,phase_margin_30_40_deg,normal_TE_TM_mismatch_deg,closest_TM_map_error_deg,closest_TM_map_wavelength_nm,closest_TM_map_angle_deg,TM_30_40_valley_at_453_min_deg,TM_offaxis_resonance_crosses_453
D5_BASE_13461,TE,1.1020865148970096,7.979547218873869,7.979547218873869,6.87746070397686,6.87746070397686,1.0169642905566434e-13,,,,,
D5_BASE_13461,TM,1.1020865148971113,6.524248287831174,6.524248287831174,5.4221617729340625,5.4221617729340625,1.0169642905566434e-13,0.09519591423642772,451.25,36.5,6.524248287831174,True
D5_BASE_13481,TE,1.0822071424318596,5.997473048680149,8.904177854126496,4.9152659062482895,7.821970711694637,0.0,,,,,
D5_BASE_13481,TM,1.0822071424318596,3.5637009417142878,3.5637009417142878,2.481493799282428,2.481493799282428,0.0,0.058619958175311744,453.5,34.5,3.5637009417142878,True
D5_BASE_13881,TE,2.9667876572884264,4.762330834051194,4.762330834051194,1.7955431767627674,1.7955431767627674,1.0125233984581428e-13,,,,,
D5_BASE_13881,TM,2.966787657288325,3.17098252432543,3.17098252432543,0.204194867037105,0.204194867037105,1.0125233984581428e-13,0.03235398456542026,450.75,36.5,3.17098252432543,True
D5_BASE_14322,TE,2.275271555603761,4.776533423289437,5.4761207427335306,2.501261867685676,3.2008491871297697,0.0,,,,,
D5_BASE_14322,TM,2.275271555603761,0.16585523808959504,0.16585523808959504,-2.1094163175141656,-2.1094163175141656,0.0,0.16585523808959504,453.0,34.5,0.16585523808959504,True
D5_BASE_08955,TE,2.6850732402235717,0.17230452093745788,8.546744237997693,-2.5127687192861137,5.861670997774121,8.748557434046234e-14,,,,,
D5_BASE_08955,TM,2.6850732402234843,1.6613556829589446,4.459313601269263,-1.0237175572645396,1.7742403610457784,8.748557434046234e-14,0.06863139713039285,452.5,34.5,4.459313601269263,True
