candidate_id,wavelength_nm,angle_deg,TM_phase_error_deg
D5_BASE_13461,450.0,25.0,68.86558721104024
D5_BASE_13461,450.0,25.5,72.0598241299979
D5_BASE_13461,450.0,26.0,83.24135571772014
D5_BASE_13461,450.0,26.5,118.0373491247566
D5_BASE_13461,450.0,27.0,12.627333272374932
D5_BASE_13461,450.0,27.5,158.27547778271995
D5_BASE_13461,450.0,28.0,77.90019879190987
D5_BASE_13461,450.0,28.5,44.62328171965452
D5_BASE_13461,450.0,29.0,177.75657934453534
D5_BASE_13461,450.0,29.5,46.617499602335464
D5_BASE_13461,450.0,30.0,84.18067137616157
D5_BASE_13461,450.0,30.5,141.47565103419493
D5_BASE_13461,450.0,31.0,8.655896027872155
D5_BASE_13461,450.0,31.5,160.44129041732515
D5_BASE_13461,450.0,32.0,72.31533519801616
D5_BASE_13461,450.0,32.5,49.14444637208377
D5_BASE_13461,450.0,33.0,143.7017016275303
D5_BASE_13461,450.0,33.5,72.14460180903305
D5_BASE_13461,450.0,34.0,134.2019700820343
D5_BASE_13461,450.0,34.5,25.89064246451888
D5_BASE_13461,450.0,35.0,147.51937135481438
D5_BASE_13461,450.0,35.5,88.98676131729981
D5_BASE_13461,450.0,36.0,117.9948217313701
D5_BASE_13461,450.0,36.5,7.813873656359846
D5_BASE_13461,450.0,37.0,42.29209148824428
D5_BASE_13461,450.0,37.5,138.52377911017896
D5_BASE_13461,450.0,38.0,13.841717976548422
D5_BASE_13461,450.0,38.5,45.84338454548363
D5_BASE_13461,450.0,39.0,35.437909576378296
D5_BASE_13461,450.0,39.5,66.68990432289269
D5_BASE_13461,450.0,40.0,111.4449292225493
D5_BASE_13461,450.0,40.5,50.02976283844311
D5_BASE_13461,450.0,41.0,86.23396689003172
D5_BASE_13461,450.0,41.5,86.24662054822286
D5_BASE_13461,450.0,42.0,82.09933446484531
D5_BASE_13461,450.0,42.5,73.29598104724178
D5_BASE_13461,450.0,43.0,69.05193033153338
D5_BASE_13461,450.0,43.5,66.2942784852019
D5_BASE_13461,450.0,44.0,64.4264797073181
D5_BASE_13461,450.0,44.5,63.19375742366452
D5_BASE_13461,450.0,45.0,62.45340220670595
D5_BASE_13461,450.0,45.5,62.11357214945284
D5_BASE_13461,450.0,46.0,62.110010901055894
D5_BASE_13461,450.0,46.5,62.39519877078662
D5_BASE_13461,450.0,47.0,62.932581072541815
D5_BASE_13461,450.0,47.5,63.69319714233107
D5_BASE_13461,450.0,48.0,64.6535706259785
D5_BASE_13461,450.0,48.5,65.79431721273005
D5_BASE_13461,450.0,49.0,67.09918655406474
D5_BASE_13461,450.0,49.5,68.55438029380662
D5_BASE_13461,450.0,50.0,70.1480529371161
D5_BASE_13461,450.25,25.0,79.37839970338015
D5_BASE_13461,450.25,25.5,68.50908831393657
D5_BASE_13461,450.25,26.0,88.42411743498009
D5_BASE_13461,450.25,26.5,114.51410239157215
D5_BASE_13461,450.25,27.0,16.60561376775734
D5_BASE_13461,450.25,27.5,161.99860483460202
D5_BASE_13461,450.25,28.0,74.87052411066615
D5_BASE_13461,450.25,28.5,47.72333125701201
D5_BASE_13461,450.25,29.0,179.03897623347584
D5_BASE_13461,450.25,29.5,43.49980888732175
D5_BASE_13461,450.25,30.0,87.16177219681408
D5_BASE_13461,450.25,30.5,138.37770107048684
D5_BASE_13461,450.25,31.0,11.841882416049298
D5_BASE_13461,450.25,31.5,163.09507862176335
D5_BASE_13461,450.25,32.0,70.1990990512701
D5_BASE_13461,450.25,32.5,51.57415197474233
D5_BASE_13461,450.25,33.0,140.1947432269213
D5_BASE_13461,450.25,33.5,75.31991980011371
D5_BASE_13461,450.25,34.0,132.63040311085405
D5_BASE_13461,450.25,34.5,24.347998042057377
D5_BASE_13461,450.25,35.0,150.98696528571435
D5_BASE_13461,450.25,35.5,92.02682967499479
D5_BASE_13461,450.25,36.0,117.0691876687658
D5_BASE_13461,450.25,36.5,6.317443034293639
D5_BASE_13461,450.25,37.0,38.03315575973897
D5_BASE_13461,450.25,37.5,137.7368284361374
D5_BASE_13461,450.25,38.0,16.283013607388703
D5_BASE_13461,450.25,38.5,50.29847058328662
D5_BASE_13461,450.25,39.0,31.47698701091823
D5_BASE_13461,450.25,39.5,66.14187805473509
D5_BASE_13461,450.25,40.0,111.33565966526963
D5_BASE_13461,450.25,40.5,49.24905729762051
D5_BASE_13461,450.25,41.0,86.3345662150463
D5_BASE_13461,450.25,41.5,86.3723347469053
D5_BASE_13461,450.25,42.0,82.32139041402979
D5_BASE_13461,450.25,42.5,73.5478349036299
D5_BASE_13461,450.25,43.0,69.30394240477149
D5_BASE_13461,450.25,43.5,66.54419326005001
D5_BASE_13461,450.25,44.0,64.67377605219966
D5_BASE_13461,450.25,44.5,63.438287700197655
D5_BASE_13461,450.25,45.0,62.6951355125546
D5_BASE_13461,450.25,45.5,62.35251991102076
D5_BASE_13461,450.25,46.0,62.34620004031437
D5_BASE_13461,450.25,46.5,62.628660771943565
D5_BASE_13461,450.25,47.0,63.1633472496197
D5_BASE_13461,450.25,47.5,63.92129658341342
D5_BASE_13461,450.25,48.0,64.87902937160905
D5_BASE_13461,450.25,48.5,66.01715802506043
D5_BASE_13461,450.25,49.0,67.31942897127931
D5_BASE_13461,450.25,49.5,68.77204081824965
D5_BASE_13461,450.25,50.0,70.3631452797668
D5_BASE_13461,450.5,25.0,90.20656568052812
D5_BASE_13461,450.5,25.5,64.9785730701854
D5_BASE_13461,450.5,26.0,93.61409904931719
D5_BASE_13461,450.5,26.5,111.00960113149544
D5_BASE_13461,450.5,27.0,20.61355196575938
D5_BASE_13461,450.5,27.5,165.69001280531313
D5_BASE_13461,450.5,28.0,71.85100754288722
D5_BASE_13461,450.5,28.5,50.825514281798114
