candidate_id,stack,layer_index,material,thickness_nm
R2_4B_OPT_06361,bottom,0,SiO2_termination,61.0
R2_4B_OPT_06361,bottom,1,TiO2,46.0
R2_4B_OPT_06361,bottom,2,SiO2,82.0
R2_4B_OPT_06361,bottom,3,TiO2,46.0
R2_4B_OPT_06361,bottom,4,SiO2,82.0
R2_4B_OPT_06361,bottom,5,TiO2,46.0
R2_4B_OPT_06361,bottom,6,SiO2,82.0
R2_4B_OPT_06361,bottom,7,TiO2,46.0
R2_4B_OPT_06361,bottom,8,SiO2,82.0
R2_4B_OPT_06361,bottom,9,TiO2,46.0
R2_4B_OPT_06361,bottom,10,SiO2,82.0
R2_4B_OPT_06361,bottom,11,TiO2,46.0
R2_4B_OPT_06361,bottom,12,SiO2,82.0
R2_4B_OPT_06361,bottom,13,TiO2,46.0
R2_4B_OPT_06361,bottom,14,SiO2,82.0
R2_4B_OPT_06361,bottom,15,TiO2,46.0
R2_4B_OPT_06361,bottom,16,SiO2,82.0
R2_4B_OPT_06361,bottom,17,TiO2,46.0
R2_4B_OPT_06361,bottom,18,SiO2,82.0
R2_4B_OPT_06361,bottom,19,TiO2,46.0
R2_4B_OPT_06361,bottom,20,SiO2,82.0
R2_4B_OPT_06361,bottom,21,TiO2,46.0
R2_4B_OPT_06361,bottom,22,SiO2,82.0
R2_4B_OPT_06361,bottom,23,TiO2,46.0
R2_4B_OPT_06361,bottom,24,SiO2,81.0
R2_4B_OPT_06361,top,0,SiO2_termination,63.0
R2_4B_OPT_06361,top,1,TiO2,47.0
R2_4B_OPT_06361,top,2,SiO2,109.0
R2_4B_OPT_06361,top,3,TiO2,46.0
R2_4B_OPT_06361,top,4,SiO2,112.0
R2_4B_OPT_06361,top,5,TiO2,45.0
R2_4B_OPT_06361,top,6,SiO2,114.0
R2_4B_OPT_06361,top,7,TiO2,44.0
R2_4B_OPT_06361,top,8,SiO2,116.0
R2_4B_OPT_06361,top,9,TiO2,43.0
R2_4B_OPT_06361,top,10,SiO2,119.0
R2_4B_OPT_06361,top,11,TiO2,42.0
R2_4B_OPT_06361,top,12,SiO2,121.0
R2_4B_OPT_06361,top,13,TiO2,41.0
R2_4B_OPT_06361,top,14,SiO2,124.0
R2_4B_OPT_06361,top,15,TiO2,40.0
R2_4B_OPT_06361,top,16,SiO2,127.0
R2_4B_OPT_06176,bottom,0,SiO2_termination,63.0
R2_4B_OPT_06176,bottom,1,TiO2,47.0
R2_4B_OPT_06176,bottom,2,SiO2,90.0
R2_4B_OPT_06176,bottom,3,TiO2,47.0
R2_4B_OPT_06176,bottom,4,SiO2,90.0
R2_4B_OPT_06176,bottom,5,TiO2,47.0
R2_4B_OPT_06176,bottom,6,SiO2,91.0
R2_4B_OPT_06176,bottom,7,TiO2,47.0
R2_4B_OPT_06176,bottom,8,SiO2,91.0
R2_4B_OPT_06176,bottom,9,TiO2,47.0
R2_4B_OPT_06176,bottom,10,SiO2,91.0
R2_4B_OPT_06176,bottom,11,TiO2,46.0
R2_4B_OPT_06176,bottom,12,SiO2,92.0
R2_4B_OPT_06176,bottom,13,TiO2,46.0
R2_4B_OPT_06176,bottom,14,SiO2,92.0
R2_4B_OPT_06176,bottom,15,TiO2,46.0
R2_4B_OPT_06176,bottom,16,SiO2,93.0
R2_4B_OPT_06176,bottom,17,TiO2,46.0
R2_4B_OPT_06176,bottom,18,SiO2,93.0
R2_4B_OPT_06176,bottom,19,TiO2,45.0
R2_4B_OPT_06176,bottom,20,SiO2,93.0
R2_4B_OPT_06176,bottom,21,TiO2,45.0
R2_4B_OPT_06176,bottom,22,SiO2,94.0
R2_4B_OPT_06176,bottom,23,TiO2,45.0
R2_4B_OPT_06176,bottom,24,SiO2,94.0
R2_4B_OPT_06176,top,0,SiO2_termination,46.0
R2_4B_OPT_06176,top,1,TiO2,36.0
R2_4B_OPT_06176,top,2,SiO2,121.0
R2_4B_OPT_06176,top,3,TiO2,37.0
R2_4B_OPT_06176,top,4,SiO2,119.0
R2_4B_OPT_06176,top,5,TiO2,37.0
R2_4B_OPT_06176,top,6,SiO2,117.0
R2_4B_OPT_06176,top,7,TiO2,38.0
R2_4B_OPT_06176,top,8,SiO2,115.0
R2_4B_OPT_06176,top,9,TiO2,39.0
R2_4B_OPT_06176,top,10,SiO2,113.0
R2_4B_OPT_06176,top,11,TiO2,39.0
R2_4B_OPT_06176,top,12,SiO2,111.0
R2_4B_OPT_06176,top,13,TiO2,40.0
R2_4B_OPT_06176,top,14,SiO2,109.0
R2_4B_OPT_06176,top,15,TiO2,41.0
R2_4B_OPT_06176,top,16,SiO2,108.0
R2_4B_OPT_06176,top,17,TiO2,41.0
R2_4B_OPT_06176,top,18,SiO2,106.0
R2_4B_OPT_06176,top,19,TiO2,42.0
R2_4B_OPT_06176,top,20,SiO2,104.0
R2_4B_OPT_06024,bottom,0,SiO2_termination,74.0
R2_4B_OPT_06024,bottom,1,TiO2,51.0
R2_4B_OPT_06024,bottom,2,SiO2,84.0
R2_4B_OPT_06024,bottom,3,TiO2,50.0
R2_4B_OPT_06024,bottom,4,SiO2,84.0
R2_4B_OPT_06024,bottom,5,TiO2,50.0
R2_4B_OPT_06024,bottom,6,SiO2,85.0
R2_4B_OPT_06024,bottom,7,TiO2,49.0
R2_4B_OPT_06024,bottom,8,SiO2,86.0
R2_4B_OPT_06024,bottom,9,TiO2,49.0
R2_4B_OPT_06024,bottom,10,SiO2,87.0
R2_4B_OPT_06024,bottom,11,TiO2,48.0
R2_4B_OPT_06024,bottom,12,SiO2,88.0
R2_4B_OPT_06024,bottom,13,TiO2,47.0
R2_4B_OPT_06024,bottom,14,SiO2,89.0
R2_4B_OPT_06024,bottom,15,TiO2,47.0
R2_4B_OPT_06024,bottom,16,SiO2,90.0
R2_4B_OPT_06024,bottom,17,TiO2,46.0
R2_4B_OPT_06024,bottom,18,SiO2,91.0
R2_4B_OPT_06024,bottom,19,TiO2,46.0
R2_4B_OPT_06024,bottom,20,SiO2,92.0
R2_4B_OPT_06024,bottom,21,TiO2,45.0
R2_4B_OPT_06024,bottom,22,SiO2,94.0
R2_4B_OPT_06024,top,0,SiO2_termination,70.0
R2_4B_OPT_06024,top,1,TiO2,52.0
R2_4B_OPT_06024,top,2,SiO2,83.0
R2_4B_OPT_06024,top,3,TiO2,51.0
R2_4B_OPT_06024,top,4,SiO2,85.0
R2_4B_OPT_06024,top,5,TiO2,50.0
R2_4B_OPT_06024,top,6,SiO2,87.0
R2_4B_OPT_06024,top,7,TiO2,48.0
R2_4B_OPT_06024,top,8,SiO2,89.0
R2_4B_OPT_06024,top,9,TiO2,47.0
R2_4B_OPT_06024,top,10,SiO2,91.0
R2_4B_OPT_06024,top,11,TiO2,46.0
R2_4B_OPT_06024,top,12,SiO2,93.0
R2_4B_OPT_02167,bottom,0,SiO2_termination,62.0
R2_4B_OPT_02167,bottom,1,TiO2,50.0
R2_4B_OPT_02167,bottom,2,SiO2,83.0
R2_4B_OPT_02167,bottom,3,TiO2,50.0
R2_4B_OPT_02167,bottom,4,SiO2,84.0
R2_4B_OPT_02167,bottom,5,TiO2,49.0
R2_4B_OPT_02167,bottom,6,SiO2,85.0
R2_4B_OPT_02167,bottom,7,TiO2,49.0
R2_4B_OPT_02167,bottom,8,SiO2,85.0
R2_4B_OPT_02167,bottom,9,TiO2,49.0
R2_4B_OPT_02167,bottom,10,SiO2,86.0
R2_4B_OPT_02167,bottom,11,TiO2,48.0
R2_4B_OPT_02167,bottom,12,SiO2,87.0
R2_4B_OPT_02167,bottom,13,TiO2,48.0
R2_4B_OPT_02167,bottom,14,SiO2,87.0
R2_4B_OPT_02167,bottom,15,TiO2,48.0
R2_4B_OPT_02167,bottom,16,SiO2,88.0
R2_4B_OPT_02167,bottom,17,TiO2,47.0
R2_4B_OPT_02167,bottom,18,SiO2,89.0
R2_4B_OPT_02167,bottom,19,TiO2,47.0
R2_4B_OPT_02167,bottom,20,SiO2,89.0
R2_4B_OPT_02167,top,0,SiO2_termination,65.0
R2_4B_OPT_02167,top,1,TiO2,53.0
R2_4B_OPT_02167,top,2,SiO2,81.0
R2_4B_OPT_02167,top,3,TiO2,52.0
R2_4B_OPT_02167,top,4,SiO2,83.0
R2_4B_OPT_02167,top,5,TiO2,51.0
R2_4B_OPT_02167,top,6,SiO2,85.0
R2_4B_OPT_02167,top,7,TiO2,49.0
R2_4B_OPT_02167,top,8,SiO2,87.0
R2_4B_OPT_02167,top,9,TiO2,48.0
R2_4B_OPT_02167,top,10,SiO2,89.0
R2_4B_OPT_02167,top,11,TiO2,47.0
R2_4B_OPT_02167,top,12,SiO2,92.0
R2_4B_OPT_06129,bottom,0,SiO2_termination,23.0
R2_4B_OPT_06129,bottom,1,TiO2,43.0
R2_4B_OPT_06129,bottom,2,SiO2,86.0
R2_4B_OPT_06129,bottom,3,TiO2,43.0
