case_id,candidate_id,dipole_case,dipole_orientation,wavelength_nm,fsp_path,status,no_solve_was_run
R2_4C_R2_4B_OPT_06361_453_center_x,R2_4B_OPT_06361,center_x,simulation_x,453.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06361_453_center_x_setup_only.fsp,setup_only_saved,True
R2_4C_R2_4B_OPT_06361_453_center_z_outofplane,R2_4B_OPT_06361,center_z_outofplane,simulation_z_outofplane,453.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06361_453_center_z_outofplane_setup_only.fsp,setup_only_saved,True
R2_4C_R2_4B_OPT_06176_453_center_x,R2_4B_OPT_06176,center_x,simulation_x,453.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06176_453_center_x_setup_only.fsp,setup_only_saved,True
R2_4C_R2_4B_OPT_06176_453_center_z_outofplane,R2_4B_OPT_06176,center_z_outofplane,simulation_z_outofplane,453.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06176_453_center_z_outofplane_setup_only.fsp,setup_only_saved,True
R2_4C_R2_4B_OPT_06024_453_center_x,R2_4B_OPT_06024,center_x,simulation_x,453.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06024_453_center_x_setup_only.fsp,setup_only_saved,True
R2_4C_R2_4B_OPT_06024_453_center_z_outofplane,R2_4B_OPT_06024,center_z_outofplane,simulation_z_outofplane,453.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06024_453_center_z_outofplane_setup_only.fsp,setup_only_saved,True
R2_4C_R2_4B_OPT_02167_453_center_x,R2_4B_OPT_02167,center_x,simulation_x,453.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_02167_453_center_x_setup_only.fsp,setup_only_saved,True
R2_4C_R2_4B_OPT_02167_453_center_z_outofplane,R2_4B_OPT_02167,center_z_outofplane,simulation_z_outofplane,453.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_02167_453_center_z_outofplane_setup_only.fsp,setup_only_saved,True
R2_4C_R2_4B_OPT_06129_453_center_x,R2_4B_OPT_06129,center_x,simulation_x,453.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06129_453_center_x_setup_only.fsp,setup_only_saved,True
R2_4C_R2_4B_OPT_06129_453_center_z_outofplane,R2_4B_OPT_06129,center_z_outofplane,simulation_z_outofplane,453.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06129_453_center_z_outofplane_setup_only.fsp,setup_only_saved,True
