candidate_id,top_pair_count,bottom_pair_count,cavity_spacer_nm,top_termination_nm,bottom_termination_nm,top_layer_count_manifest,bottom_layer_count_manifest,proxy_peak_abs_angle_deg_453,proxy_angular_fwhm_deg_453,proxy_normal_offaxis_ratio,proxy_spectral_peak_nm,proxy_spectral_fwhm_nm
R2_4B_OPT_06361,8,12,336.0,63.0,61.0,17,25,7.0,12.986,21.030296,452.25,5.462
R2_4B_OPT_06176,10,12,242.0,46.0,63.0,21,25,7.0,13.079,19.279846,453.75,4.996
R2_4B_OPT_06024,6,11,327.0,70.0,74.0,13,23,7.0,12.876,17.163421,452.5,5.796
R2_4B_OPT_02167,6,10,333.0,65.0,62.0,13,21,7.0,12.823,17.726394,452.0,6.046
R2_4B_OPT_06129,7,10,257.0,71.0,23.0,15,21,7.0,13.109,18.798604,451.5,4.971
