case_id,candidate_id,dipole_case,fsp_path,fsp_file_exists,fsp_file_size_bytes,git_stage_allowed
R2_4C_R2_4B_OPT_06361_453_center_x,R2_4B_OPT_06361,center_x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06361_453_center_x_setup_only.fsp,True,512090,no
R2_4C_R2_4B_OPT_06361_453_center_z_outofplane,R2_4B_OPT_06361,center_z_outofplane,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06361_453_center_z_outofplane_setup_only.fsp,True,512101,no
R2_4C_R2_4B_OPT_06176_453_center_x,R2_4B_OPT_06176,center_x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06176_453_center_x_setup_only.fsp,True,515548,no
R2_4C_R2_4B_OPT_06176_453_center_z_outofplane,R2_4B_OPT_06176,center_z_outofplane,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06176_453_center_z_outofplane_setup_only.fsp,True,515559,no
R2_4C_R2_4B_OPT_06024_453_center_x,R2_4B_OPT_06024,center_x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06024_453_center_x_setup_only.fsp,True,506984,no
R2_4C_R2_4B_OPT_06024_453_center_z_outofplane,R2_4B_OPT_06024,center_z_outofplane,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06024_453_center_z_outofplane_setup_only.fsp,True,506995,no
R2_4C_R2_4B_OPT_02167_453_center_x,R2_4B_OPT_02167,center_x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_02167_453_center_x_setup_only.fsp,True,505246,no
R2_4C_R2_4B_OPT_02167_453_center_z_outofplane,R2_4B_OPT_02167,center_z_outofplane,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_02167_453_center_z_outofplane_setup_only.fsp,True,505257,no
R2_4C_R2_4B_OPT_06129_453_center_x,R2_4B_OPT_06129,center_x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06129_453_center_x_setup_only.fsp,True,506826,no
R2_4C_R2_4B_OPT_06129_453_center_z_outofplane,R2_4B_OPT_06129,center_z_outofplane,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06129_453_center_z_outofplane_setup_only.fsp,True,506837,no
