wavelength_nm,metric,g_D_per_nm,g_J1_per_nm,u_a,u_b
450.0,eta_x_plus1,-0.00039443037257597515,0.0023312439276058756,0.013475202169639136,-0.9999092053414087
450.0,eta_y_plus1,0.00017314577796978374,0.0016546736728674822,0.013475202169639136,-0.9999092053414087
450.0,eta_x_0,-0.0035688073231598862,-0.016092430299568056,0.013475202169639136,-0.9999092053414087
450.0,eta_x_minus1,-3.7171905774571985e-05,0.0005111410391241181,0.013475202169639136,-0.9999092053414087
450.5,eta_x_plus1,-0.0006903730544447943,0.0025074965439880405,0.013475202169639136,-0.9999092053414087
450.5,eta_y_plus1,0.00018842100220063394,0.0018133210062851166,0.013475202169639136,-0.9999092053414087
450.5,eta_x_0,8.168384952178161e-05,-0.037947322965519115,0.013475202169639136,-0.9999092053414087
450.5,eta_x_minus1,-0.00015912552711578012,0.002311684906960217,0.013475202169639136,-0.9999092053414087
451.0,eta_x_plus1,-0.0002922408226152176,0.0013194470077909394,0.013475202169639136,-0.9999092053414087
451.0,eta_y_plus1,0.00021349266725067243,0.002186598046988091,0.013475202169639136,-0.9999092053414087
451.0,eta_x_0,0.00406155386227508,-0.02319407101612067,0.013475202169639136,-0.9999092053414087
451.0,eta_x_minus1,-0.00013081276552135286,0.0007152260859466823,0.013475202169639136,-0.9999092053414087
451.5,eta_x_plus1,0.00014781217268077226,-0.0028162221066200042,0.013475202169639136,-0.9999092053414087
451.5,eta_y_plus1,0.00023548619423982602,0.0024423064125459405,0.013475202169639136,-0.9999092053414087
451.5,eta_x_0,-0.005721031916177346,0.044164042197857065,0.013475202169639136,-0.9999092053414087
451.5,eta_x_minus1,1.0985282311171308e-05,-0.005065826234860341,0.013475202169639136,-0.9999092053414087
452.0,eta_x_plus1,0.000868068508892669,-0.011550663792612046,0.013475202169639136,-0.9999092053414087
452.0,eta_y_plus1,0.00025839915127079594,0.0026858973366493118,0.013475202169639136,-0.9999092053414087
452.0,eta_x_0,-0.01055380043721034,0.17299859454716274,0.013475202169639136,-0.9999092053414087
452.0,eta_x_minus1,0.0003141346964725909,-0.015066262356319065,0.013475202169639136,-0.9999092053414087
452.5,eta_x_plus1,0.001749027818892498,-0.013000812788267518,0.013475202169639136,-0.9999092053414087
452.5,eta_y_plus1,0.0002799974129246798,0.003292800558383862,0.013475202169639136,-0.9999092053414087
452.5,eta_x_0,-0.004069224354422399,0.16100801636247297,0.013475202169639136,-0.9999092053414087
452.5,eta_x_minus1,0.0001337903235510382,-0.01378754086540128,0.013475202169639136,-0.9999092053414087
453.0,eta_x_plus1,0.0018184807728333174,-0.008138797768838567,0.013475202169639136,-0.9999092053414087
453.0,eta_y_plus1,0.00028640816381679334,0.0025502752620910393,0.013475202169639136,-0.9999092053414087
453.0,eta_x_0,0.009143503344593674,0.05943243167421315,0.013475202169639136,-0.9999092053414087
453.0,eta_x_minus1,-0.0003916265285811559,-0.0056806918737556346,0.013475202169639136,-0.9999092053414087
453.5,eta_x_plus1,0.001650307395059091,-0.0006762476424346624,0.013475202169639136,-0.9999092053414087
453.5,eta_y_plus1,0.00017859157011189235,0.0038252895667359255,0.013475202169639136,-0.9999092053414087
453.5,eta_x_0,0.008946322482286436,-0.0605490597555632,0.013475202169639136,-0.9999092053414087
453.5,eta_x_minus1,-3.892156719116752e-05,0.003859721758775387,0.013475202169639136,-0.9999092053414087
454.0,eta_x_plus1,0.0017535507096097815,0.00588893471893458,0.013475202169639136,-0.9999092053414087
454.0,eta_y_plus1,0.00046557570086818394,0.0040931008898401795,0.013475202169639136,-0.9999092053414087
454.0,eta_x_0,0.005233571122948779,-0.13260328702733978,0.013475202169639136,-0.9999092053414087
454.0,eta_x_minus1,0.00040792094235051374,0.009947494031127439,0.013475202169639136,-0.9999092053414087
