baseline,case,d_per_nm,even,minus,odd,order_n,plus,polarization,total_order_closure,wavelength_nm
0.006362962286339091,,0.0023312439276058756,0.0003575111897749757,0.0020579856209023157,0.004662487855211751,1,0.011382961331325818,x,,450.0
0.8445302255265574,,-0.016092430299568056,0.010458102066937647,0.8871731881926311,-0.03218486059913611,0,0.8228034669943589,x,,450.0
0.007532573330073573,,0.0005111410391241181,-0.0011005363267453184,0.005409754925080019,0.0010222820782482362,-1,0.007454319081576491,x,,450.0
0.005446144828036948,,0.0025074965439880405,0.0002741458362614342,0.0007052975763223008,0.005014993087976081,1,0.010735283752274463,x,,450.5
0.8153910893559168,,-0.037947322965519115,0.03864381959944696,0.9299295548864019,-0.07589464593103823,0,0.7781402630243255,x,,450.5
0.009728070691886328,,0.002311684906960217,-0.0036018190057381704,0.0015028818722277236,0.004623369813920434,-1,0.010749621500068592,x,,450.5
0.002233842599958575,,0.0013194470077909394,0.005908481499784171,0.005503430084160868,0.002638894015581879,1,0.010781218115324625,x,,451.0
0.8795448081364808,,-0.02319407101612067,-0.13051363645551406,0.7954193137132081,-0.04638814203224134,0,0.7026430296487254,x,,451.0
0.0028126033602344025,,0.0007152260859466823,0.0116540575957951,0.013036208784136138,0.0014304521718933646,-1,0.015897113127922868,x,,451.0
0.004316631773891798,,-0.0028162221066200042,0.011910804622746525,0.021859880609878334,-0.0056324442132400085,1,0.010594992183398317,x,,451.5
0.803912186244168,,0.044164042197857065,-0.25114266139046904,0.4644414404579849,0.08832808439571413,0,0.6410976092494132,x,,451.5
0.010243398020261136,,-0.005065826234860341,0.019429366120846725,0.03980441661082854,-0.010131652469720682,-1,0.01954111167138718,x,,451.5
0.01794448059851481,,-0.011550663792612046,0.009115589172922295,0.0501613973566612,-0.023101327585224093,1,0.00395874218621301,x,,452.0
0.5174110325988188,,0.17299859454716274,-0.05056513514965294,0.12084870835484039,0.3459971890943255,0,0.8128430865434914,x,,452.0
0.03427919975677208,,-0.015066262356319065,0.001965088955708988,0.0663768134251192,-0.03013252471263813,-1,0.006111763999842934,x,,452.0
0.041798395789705414,,-0.013000812788267518,-0.014501249758688196,0.05329877160755225,-0.026001625576535035,1,0.001295520454482182,x,,452.5
0.20423590335292197,,0.16100801636247297,0.36217694035456116,0.24439681098253713,0.32201603272494594,0,0.8884288764324291,x,,452.5
0.061429478038953336,,-0.01378754086540128,-0.03243585117909376,0.05656870859066213,-0.02757508173080256,-1,0.0014185451290570185,x,,452.5
0.05554299591227202,,-0.008138797768838567,-0.028507787094637946,0.04331280435531121,-0.016277595537677134,1,0.010757613279956937,x,,453.0
0.15054982083827328,,0.05943243167421315,0.4306264670322203,0.46231142452206725,0.1188648633484263,0,0.7000411512189199,x,,453.0
0.06662287447714184,,-0.0056806918737556346,-0.03879895971571249,0.03918529850894062,-0.011361383747511269,-1,0.01646253101391808,x,,453.0
0.05362577004875178,,-0.0006762476424346624,-0.019028620226277083,0.03594964510734402,-0.0013524952848693247,1,0.03324465453760537,x,,453.5
0.3001839578025775,,-0.0605490597555632,0.17654775962149166,0.5978298369351955,-0.1210981195111264,0,0.35563359791294274,x,,453.5
