candidate,angle_deg,polarization,main_peak_nm,main_peak_T,spectral_FWHM_nm,secondary_peak_nm,secondary_peak_T,stopband_left_nm,stopband_right_nm,T448,T450,T453,energy_residual_max
EX_N3_L79_H45_C156,0,TE,450.20000000000687,0.82913743546815,7.500000000001705,,,448.2000000000064,452.2000000000073,0.6198603709496784,0.8278414914432131,0.5341455660831329,6.661338147750939e-16
EX_N3_L79_H45_C156,0,TM,450.20000000000687,0.8291374354681486,7.500000000001705,,,448.2000000000064,452.2000000000073,0.6198603709496787,0.8278414914432127,0.534145566083133,8.881784197001252e-16
EX_N3_L79_H45_C156,10,TE,447.90000000000634,0.8248915170604071,7.200000000001637,,,445.9000000000059,449.9000000000068,0.8242897451015988,0.620926356602618,0.2887181180764496,8.881784197001252e-16
EX_N3_L79_H45_C156,10,TM,447.90000000000634,0.8334810962075605,7.500000000001705,,,445.9000000000059,449.9000000000068,0.8333995405686551,0.6460714046166196,0.3110910169731422,6.661338147750939e-16
EX_N3_L79_H45_C156,20,TE,441.30000000000484,0.8111502400867849,6.400000000001455,,,439.3000000000044,443.3000000000053,0.1664904673566867,0.11050348724931089,0.06815977540247016,6.661338147750939e-16
EX_N3_L79_H45_C156,20,TM,441.5000000000049,0.8466527897157387,7.600000000001728,,,439.50000000000443,443.50000000000534,0.2360270847269467,0.15958132591909735,0.09958980753392824,1.2212453270876722e-15
EX_N3_L79_H45_C156,30,TE,431.0000000000025,0.7861822835990172,5.300000000001205,,,429.00000000000205,433.00000000000296,0.02557656311777922,0.02148196297210283,0.017243679283712888,6.661338147750939e-16
EX_N3_L79_H45_C156,30,TM,431.70000000000266,0.8691921877847245,7.8000000000017735,,,429.7000000000022,433.7000000000031,0.06218766127490895,0.05221156510954172,0.041916546206136183,6.661338147750939e-16
EX_N3_L79_H45_C156,40,TE,420.0,0.39579347188420644,1.6000000000003638,,,420.0,422.00000000000045,0.006767519405343647,0.006294158883204025,0.005743729665831997,6.661338147750939e-16
EX_N3_L79_H45_C156,40,TM,420.0,0.8980635684857022,3.9000000000008868,,,420.0,422.00000000000045,0.03326606800048631,0.03103386672368602,0.028511613613969873,1.7763568394002505e-15
EX_N3_L79_H45_C156,50,TE,420.0,0.008665780677769576,9.400000000002137,,,420.0,422.00000000000045,0.0025309802157069236,0.0024822945962839032,0.002434576985331603,6.661338147750939e-16
EX_N3_L79_H45_C156,50,TM,420.0,0.1083232344617359,60.00000000001364,,,420.0,422.00000000000045,0.03127523086653612,0.03116538837148352,0.03137338703590938,4.440892098500626e-16
EX_N3_L79_H45_C156,60,TE,480.00000000001364,0.0022943297637524453,60.00000000001364,,,478.0000000000132,480.00000000001364,0.0011763241435891283,0.0011917730478978802,0.0012241491194588592,6.661338147750939e-16
EX_N3_L79_H45_C156,60,TM,480.00000000001364,0.1814914510264674,13.300000000003024,,,478.0000000000132,480.00000000001364,0.04658328976022872,0.049027662802370524,0.053427709403894776,4.440892098500626e-16
ZL1_N3_M3_L78_H46,0,TE,450.3000000000069,0.9927797869341094,3.3000000000007503,,,448.30000000000643,452.30000000000734,0.33986898735500803,0.9604979466122575,0.28492814222089385,6.661338147750939e-16
ZL1_N3_M3_L78_H46,0,TM,450.3000000000069,0.9927797869341088,3.3000000000007503,,,448.30000000000643,452.30000000000734,0.33986898735500815,0.9604979466122574,0.2849281422208938,4.440892098500626e-16
ZL1_N3_M3_L78_H46,10,TE,447.8000000000063,0.9922710619158742,3.100000000000705,,,445.80000000000587,449.8000000000068,0.9704042432615575,0.33952438936441637,0.08951522982933645,4.440892098500626e-16
ZL1_N3_M3_L78_H46,10,TM,447.8000000000063,0.9925337058945644,3.3000000000007503,,,445.80000000000587,449.8000000000068,0.9800514506264038,0.3803931400632453,0.10266678992698407,7.771561172376096e-16
ZL1_N3_M3_L78_H46,20,TE,440.3000000000046,0.9938242147804058,2.600000000000591,,,438.30000000000416,442.30000000000507,0.03388873522841937,0.022358649308436854,0.013950973830730328,5.551115123125783e-16
ZL1_N3_M3_L78_H46,20,TM,440.6000000000047,0.9913769195312842,3.500000000000796,,,438.60000000000423,442.60000000000514,0.06031846157633423,0.0395726902945468,0.02452023574696743,4.440892098500626e-16
ZL1_N3_M3_L78_H46,30,TE,428.60000000000196,0.9934254310032761,2.1000000000004775,,,426.6000000000015,430.6000000000024,0.004249287966195519,0.0036924719387855594,0.003106687148579128,4.440892098500626e-16
ZL1_N3_M3_L78_H46,30,TM,429.40000000000214,0.9891343506542204,3.9000000000008868,,,427.4000000000017,431.4000000000026,0.015348268864622027,0.013249040027147095,0.011066222441875398,8.881784197001252e-16
ZL1_N3_M3_L78_H46,40,TE,420.0,0.015165349148094674,2.8000000000006366,,,420.0,422.00000000000045,0.0010928447119250815,0.0010578407212892204,0.0010242531735496216,7.771561172376096e-16
ZL1_N3_M3_L78_H46,40,TM,420.0,0.23120032682108208,2.2000000000005002,,,420.0,422.00000000000045,0.010732957847066654,0.01036309773532368,0.01001943644054539,7.771561172376096e-16
ZL1_N3_M3_L78_H46,50,TE,480.00000000001364,0.0013859643496970972,14.700000000003342,,,478.0000000000132,480.00000000001364,0.0004393484744070094,0.00045363971932918876,0.000480839344869989,4.440892098500626e-16
ZL1_N3_M3_L78_H46,50,TM,480.00000000001364,0.06760976539298347,11.200000000002547,,,478.0000000000132,480.00000000001364,0.01627331788871346,0.016907654385718732,0.018139474891512363,4.440892098500626e-16
ZL1_N3_M3_L78_H46,60,TE,480.00000000001364,0.0016068462455303915,9.400000000002137,,,478.0000000000132,480.00000000001364,0.0002459418023362168,0.00026643177785651116,0.0003028494474804302,4.440892098500626e-16
ZL1_N3_M3_L78_H46,60,TM,480.00000000001364,0.47294862364323575,8.200000000001864,,,478.0000000000132,480.00000000001364,0.047983539289043635,0.05302587442826456,0.06231598828390871,6.661338147750939e-16
