case_id,attempt_id,solver_entered,entered_utc,pre_fsp_sha256,physical_contract_sha256,geometry_hash_sha256,input_polarization,wavelengths_nm
LPML_R1_GLOBAL_SOBOL_006,LPML_R1_GLOBAL_SOBOL_006_x,True,1785739198.0707083,01d0fee2d2f7c5d62630f8d78351b3575af31d5569aa3d0800e87670824c373e,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,d998d37b32554a27b102fa981b09f3e3254e5f19b7a04c9239f98d6e48bdf246,x,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_GLOBAL_SOBOL_006,LPML_R1_GLOBAL_SOBOL_006_y,True,1785739218.8348048,1a0295f368eda499b9e82c7997ee4f3c59ad0980a733c9543654c45b90b88c35,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,d998d37b32554a27b102fa981b09f3e3254e5f19b7a04c9239f98d6e48bdf246,y,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_GLOBAL_SOBOL_007,LPML_R1_GLOBAL_SOBOL_007_x,True,1785739239.7905526,bf6d223f3ae14287efc58feea1de76df1c2fdae5b1198884e4a9c29c272c965d,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,d9d8b382c32ed5a6610bf86c65f30e921f335bd8cbb8a83e115489f55559a93b,x,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_GLOBAL_SOBOL_007,LPML_R1_GLOBAL_SOBOL_007_y,True,1785739260.456108,4887ef44a3fba17b169d6b97fd607366bce587a603c0c33b631c26471b53f577,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,d9d8b382c32ed5a6610bf86c65f30e921f335bd8cbb8a83e115489f55559a93b,y,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_GLOBAL_SOBOL_008,LPML_R1_GLOBAL_SOBOL_008_x,True,1785739281.6407886,bad47a075f07de29eb2c0dbffe07c5aa5876e6a6149718e349a7f0d834fe4713,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,dd0ad27415b70ac619ddeb729d20d9227b9c325b2770e41f9bb141a47462fcb2,x,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_GLOBAL_SOBOL_008,LPML_R1_GLOBAL_SOBOL_008_y,True,1785739302.485005,7f5206f23f64e3232e1c9c8e5ea6d6b02451c667c676aea5326b165a091bda54,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,dd0ad27415b70ac619ddeb729d20d9227b9c325b2770e41f9bb141a47462fcb2,y,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_PHASE_REGION_129,LPML_R1_PHASE_REGION_129_x,True,1785739323.4268756,4d876ce611405cf6b4a163fe8cf51a85efd00d8aa126f8e785384999af777e28,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,f4eb757395b72a7b5c09a95547506711150f6fe7ccb88939a99ff8e6c2b96058,x,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_PHASE_REGION_129,LPML_R1_PHASE_REGION_129_y,True,1785739344.5842738,00ca26cf905673c446463bbcac724c89b16debc344401ce4b75cd8d4566d1db2,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,f4eb757395b72a7b5c09a95547506711150f6fe7ccb88939a99ff8e6c2b96058,y,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_PHASE_REGION_130,LPML_R1_PHASE_REGION_130_x,True,1785739365.4194193,e93918652bd8a78b9b902f95966c3a178982ab79ee4a85fe8b6c2a79fef051ed,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,4b0b08fd237d1ffa898908c346adebf0fcd6ee90d05a4a5a0a47400d31f608bf,x,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_PHASE_REGION_130,LPML_R1_PHASE_REGION_130_y,True,1785739386.2228088,7534f80f415a8e4f086d6d192bc60999fc390f0d0039c43174bb142d87628037,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,4b0b08fd237d1ffa898908c346adebf0fcd6ee90d05a4a5a0a47400d31f608bf,y,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
