wavelength_nm,farfield_Ex_real,farfield_Ex_imag,farfield_Ey_real,farfield_Ey_imag,farfield_intensity_angular_integral_raw,farfield_intensity_angular_integral_over_sourcepower,farfield_max_raw,farfield_max_over_sourcepower,normal_S0,normal_S1,normal_S2,normal_S3,normal_DoLP,normal_DoCP,normal_psi_deg
400.00000000000006,1.1276297524217823e-08,5.959111890126578e-09,6.051137403034244e-08,-8.828447949284026e-08,1.643157467700231e-14,4.45065298883238,2.8957189056321316e-14,7.843338362578203,5.809220803367731e-15,-5.6465549029940026e-15,1.562471657059487e-16,1.356116106004084e-15,0.9723707286751556,0.23344199711223132,89.20747965438537
401.0000000000001,-5.69416212337171e-09,-7.3529053380818305e-09,-9.295546000085058e-08,3.728411230117876e-08,1.772410431977076e-14,4.848935107392463,3.475278262657368e-14,9.507616560888732,5.058655636627338e-15,-4.9721669374293045e-15,2.551569111324577e-16,8.957944781130156e-16,0.9841961856542445,0.17708152965127544,88.53116343111488
402.0000000000001,1.2209074098754933e-09,8.551351474679513e-09,9.6739990997492e-08,4.0893600151904626e-08,1.8355381318183536e-14,5.071917812524451,3.46384777877945e-14,9.571226521816177,5.5527643092628394e-15,-5.4781480823158476e-15,4.678061198040705e-16,7.7733036523494e-16,0.9901529457054596,0.1399898000241496,87.55953591288119
403.0000000000001,-8.018510483268851e-09,-4.457118882246344e-09,-1.4245138218636063e-07,5.477442198035268e-08,1.7718027499771316e-14,4.9447021904048585,3.084821900291746e-14,8.609042743374424,1.1688398004593548e-14,-1.1604235585492777e-14,8.981117909447114e-16,1.0741320222093683e-15,0.9957684918346236,0.0918972832536361,87.78720288165569
404.00000000000006,-7.298839249339967e-09,1.6158747655565347e-09,-8.492876432029357e-08,1.742416002041406e-07,1.7277214076518618e-14,4.8697174007460555,3.906465736653926e-14,11.01067804621144,1.8814457178158603e-14,-1.8758573072512932e-14,9.014340032989637e-16,1.1345271833027234e-15,0.9981802498480826,0.060300819341191386,88.62439795902343
405.00000000000017,-2.1687048852356678e-10,-6.70978794372668e-09,-1.757378472743556e-07,-1.4861103247019973e-08,1.640337066802573e-14,4.669364484326668,4.8027154766001533e-14,13.671354216530595,1.5574855820700947e-14,-1.5529787533642376e-14,1.378272041878015e-16,1.1759407541767714e-15,0.997145611497992,0.07550251300649588,89.74575602665156
406.00000000000006,8.030402090682916e-09,5.416659643573334e-10,7.88006103115258e-08,-5.4024994885027305e-08,1.671150241302763e-14,4.804234684904396,5.764733302510311e-14,16.572496593456176,4.5965085087755795e-15,-4.5317277490205925e-15,6.035370848389682e-16,4.765260404501961e-16,0.9946116127908833,0.10367130606642419,86.20698451670033
407.0000000000001,1.9216533264800665e-09,3.38159934152682e-09,3.745998243536415e-08,1.0638931177029895e-07,1.7183426678724334e-14,4.9887529209569825,6.631333311550124e-14,19.252320300464643,6.368531954314724e-15,-6.353403988700938e-15,4.3175112648473686e-16,-7.776872292828623e-17,0.9999254380142589,-0.012211404996656629,88.05619607519425
408.00000000000006,1.521625019068435e-09,-6.603928840060022e-10,8.257159114298127e-08,9.465833507960145e-08,1.7800632138363966e-14,5.218920264891532,6.566904909611639e-14,19.25333485012841,7.890509762692835e-15,-7.887758301232934e-15,6.313130804902536e-17,-1.9856418213236274e-16,0.9996833128241405,-0.025164937133871274,89.77071557382841
409.0,1.7765887951133499e-09,2.226318828347801e-10,-1.594790351667598e-07,7.374904660374607e-09,1.8174230866053307e-14,5.3808868116892254,5.697311782469979e-14,16.86816353237604,1.2745578854586202e-14,-1.2742373021884027e-14,-2.8168677802248717e-16,-4.86072908565006e-17,0.9999927279762701,-0.0038136589488056392,90.63319584234469
