wavelength_nm,top_W,bottom_W,xminus_W,xplus_W,yminus_W,yplus_W,net_outward_W,sourcepower_W,net_over_sourcepower,max_T_times_sourcepower_vs_power_abs_error_W
400.00000000000006,2.4235344531991394e-17,-2.970545304822116e-16,-1.6060240561621376e-17,1.6149109572343085e-17,-1.0858698020535493e-17,1.0819742784957366e-17,-2.727692721750766e-16,3.691946938625089e-15,-0.07388222981250595,3.0814879110195774e-33
401.0000000000001,2.5967257637395146e-17,-2.9845422701753536e-16,-1.6131875296645712e-17,1.6233243599350246e-17,-1.15104164403932e-17,1.1518496971648956e-17,-2.7237752054617993e-16,3.655257067216554e-15,-0.07451665246449904,3.0814879110195774e-33
402.0000000000001,2.7843102471449135e-17,-3.017144356781543e-16,-1.6876482512682814e-17,1.697643484008941e-17,-1.1993732338964898e-17,1.2004224160462955e-17,-2.7376088905780053e-16,3.619021836839957e-15,-0.07564499508431868,4.930380657631324e-32
403.0000000000001,2.6795901345271016e-17,-3.021402637609452e-16,-1.6611481449045345e-17,1.6791589748706945e-17,-1.1801277283895282e-17,1.179653919021965e-17,-2.751689922096882e-16,3.5832345038196555e-15,-0.07679346465221956,3.0814879110195774e-33
404.00000000000006,2.6191061487549826e-17,-3.020288621657938e-16,-1.6084769609693005e-17,1.6229465012370832e-17,-1.1381149995834212e-17,1.1061858397112979e-17,-2.760123968742874e-16,3.5478884408922163e-15,-0.07779624457551329,3.0814879110195774e-33
405.00000000000017,2.5253859733439905e-17,-3.022531420686825e-16,-1.6064933883891662e-17,1.614117964696366e-17,-1.0664645896318643e-17,9.95205091075291e-18,-2.776356315577363e-16,3.5129771349154225e-15,-0.0790314371244607,3.0814879110195774e-33
406.00000000000006,2.4700727292593074e-17,-3.03169444074095e-16,-1.596230770324934e-17,1.5977497456403917e-17,-1.0647580486659e-17,9.898167816550647e-18,-2.7920293969845565e-16,3.4784941846279072e-15,-0.08026546111024241,3.0814879110195774e-33
407.0000000000001,2.4364343442572983e-17,-3.0430064861351973e-16,-1.62721111959402e-17,1.6283444580101847e-17,-1.0783781660459499e-17,1.0554805453887846e-17,-2.8015394799335677e-16,3.4444332984580984e-15,-0.08133528035475901,1.5407439555097887e-33
408.00000000000006,2.388108673325628e-17,-3.0512457778245597e-16,-1.6724664026100394e-17,1.6753592876743256e-17,-1.0768296301114152e-17,1.0715432067546955e-17,-2.8126742643212397e-16,3.4107882923813796e-15,-0.0824640529757846,4.930380657631324e-32
409.0,2.308279393623559e-17,-3.0774810987404324e-16,-1.7319342532744028e-17,1.723515478401928e-17,-1.1050056441857443e-17,1.1020605596161044e-17,-2.8477895453222876e-16,3.3775530878241718e-15,-0.08431516755690259,4.930380657631324e-32
