wavelength_nm,face,normal,transmission_T,power_W,sourcepower_W,source_normalized_power
400.00000000000006,ic1_flux_top,+z,0.006564380511117756,2.4235344531991394e-17,3.691946938625089e-15,0.006564380511117756
401.0000000000001,ic1_flux_top,+z,0.007104085201090655,2.5967257637395146e-17,3.655257067216554e-15,0.007104085201090654
402.0000000000001,ic1_flux_top,+z,0.007693543649839112,2.7843102471449135e-17,3.619021836839957e-15,0.007693543649839113
403.0000000000001,ic1_flux_top,+z,0.00747813220616935,2.6795901345271016e-17,3.5832345038196555e-15,0.00747813220616935
404.00000000000006,ic1_flux_top,+z,0.007382154744686207,2.6191061487549826e-17,3.5478884408922163e-15,0.007382154744686208
405.00000000000017,ic1_flux_top,+z,0.007188734444765439,2.5253859733439905e-17,3.5129771349154225e-15,0.007188734444765439
406.00000000000006,ic1_flux_top,+z,0.007100982776326043,2.4700727292593074e-17,3.4784941846279072e-15,0.007100982776326044
407.0000000000001,ic1_flux_top,+z,0.007073541953470166,2.4364343442572983e-17,3.4444332984580984e-15,0.007073541953470166
408.00000000000006,ic1_flux_top,+z,0.007001632668494571,2.388108673325628e-17,3.4107882923813796e-15,0.007001632668494571
409.0,ic1_flux_top,+z,0.006834176498793565,2.308279393623559e-17,3.3775530878241718e-15,0.006834176498793564
410.00000000000017,ic1_flux_top,+z,0.006780073338025582,2.26774584864684e-17,3.3447217096138784e-15,0.0067800733380255825
411.0,ic1_flux_top,+z,0.006853031851771778,2.2699217112321534e-17,3.3122882839735953e-15,0.006853031851771779
412.0000000000001,ic1_flux_top,+z,0.006934739132171982,2.274765748762639e-17,3.280247036560372e-15,0.006934739132171981
413.0000000000001,ic1_flux_top,+z,0.006908052969101116,2.244144761810654e-17,3.248592290546181e-15,0.006908052969101116
414.00000000000006,ic1_flux_top,+z,0.006998779490967105,2.2517302486934685e-17,3.217318464740372e-15,0.006998779490967104
415.0000000000001,ic1_flux_top,+z,0.007187528321528674,2.2902484510010098e-17,3.186420071752719e-15,0.007187528321528675
416.0,ic1_flux_top,+z,0.007186388819892,2.2679464946061392e-17,3.1558917161960944e-15,0.007186388819892001
417.00000000000006,ic1_flux_top,+z,0.0073037279054044115,2.2829467497022817e-17,3.1257280929277357e-15,0.0073037279054044115
418.00000000000006,ic1_flux_top,+z,0.007656827158075782,2.3704954850200026e-17,3.0959239853283118e-15,0.007656827158075782
419.0000000000001,ic1_flux_top,+z,0.007929293494923353,2.4314974430854263e-17,3.06647426361777e-15,0.007929293494923353
420.00000000000017,ic1_flux_top,+z,0.0077530062890869824,2.3548778818813754e-17,3.037373883207172e-15,0.0077530062890869824
421.00000000000006,ic1_flux_top,+z,0.007405804118738427,2.2281234710265602e-17,3.008617883085624e-15,0.007405804118738427
422.00000000000006,ic1_flux_top,+z,0.007053463558106867,2.1020741859566904e-17,2.9802013842414774e-15,0.007053463558106867
423.0,ic1_flux_top,+z,0.0067554282539267225,1.994283207453641e-17,2.952119588117046e-15,0.006755428253926723
424.00000000000006,ic1_flux_top,+z,0.006617940903001993,1.9353293114228374e-17,2.924367775095943e-15,0.006617940903001993
425.0,ic1_flux_top,+z,0.0067662157980146725,1.9601330010431383e-17,2.8969413030224013e-15,0.006766215798014673
426.00000000000006,ic1_flux_top,+z,0.007066791303862683,2.0280529302241692e-17,2.869835605751712e-15,0.007066791303862683
427.00000000000017,ic1_flux_top,+z,0.007588722344249171,2.157508816092266e-17,2.8430461917311456e-15,0.007588722344249172
428.0,ic1_flux_top,+z,0.007890103437584905,2.2223017929255752e-17,2.8165686426106004e-15,0.007890103437584907
429.0000000000001,ic1_flux_top,+z,0.008037872726757336,2.242886889923003e-17,2.7903986118822702e-15,0.008037872726757336
430.00000000000006,ic1_flux_top,+z,0.007938854018294203,2.1947214576082056e-17,2.7645318235487326e-15,0.007938854018294203
431.0000000000001,ic1_flux_top,+z,0.007753923157647177,2.123771693668475e-17,2.7389640708187066e-15,0.007753923157647176
432.0000000000001,ic1_flux_top,+z,0.0074706264731576235,2.027297342948365e-17,2.713691214829917e-15,0.007470626473157623
433.0000000000001,ic1_flux_top,+z,0.0073043172658926285,1.9639184911261e-17,2.6887091833983998e-15,0.007304317265892628
434.0000000000001,ic1_flux_top,+z,0.0072533071195489155,1.932291149368212e-17,2.6640139697936598e-15,0.0072533071195489155
435.0,ic1_flux_top,+z,0.007416899768981469,1.957766073116528e-17,2.6396016315390758e-15,0.00741689976898147
436.0000000000001,ic1_flux_top,+z,0.007714792779650715,2.0177795873210894e-17,2.6154682892369843e-15,0.0077147927796507145
437.0000000000001,ic1_flux_top,+z,0.008053032647118088,2.0870320948592088e-17,2.5916101254178923e-15,0.008053032647118088
438.00000000000006,ic1_flux_top,+z,0.008280053435466077,2.1263370838187918e-17,2.568023383413228e-15,0.008280053435466077
439.00000000000006,ic1_flux_top,+z,0.00836737072106309,2.129248480793122e-17,2.5447043662511434e-15,0.00836737072106309
440.00000000000006,ic1_flux_top,+z,0.008440002130446473,2.128272660849061e-17,2.5216494355748177e-15,0.008440002130446473
441.0000000000001,ic1_flux_top,+z,0.008346566039601523,2.0856858369218252e-17,2.4988550105827697e-15,0.008346566039601525
442.0000000000001,ic1_flux_top,+z,0.008191887569356687,2.0285715094810404e-17,2.476317566990663e-15,0.008191887569356685
443.0000000000001,ic1_flux_top,+z,0.008161761506138048,2.0029237265188117e-17,2.45403363601413e-15,0.008161761506138048
444.00000000000006,ic1_flux_top,+z,0.00802411158841433,1.9514637805259907e-17,2.4319998033721584e-15,0.00802411158841433
445.00000000000006,ic1_flux_top,+z,0.007981568856345257,1.9237278689819104e-17,2.4102127083105582e-15,0.007981568856345257
446.00000000000006,ic1_flux_top,+z,0.007983091714299386,1.906896404254327e-17,2.3886690426450656e-15,0.007983091714299386
447.00000000000006,ic1_flux_top,+z,0.007938044802264038,1.8792253797836618e-17,2.367365549823656e-15,0.007938044802264036
448.0000000000001,ic1_flux_top,+z,0.007679518796641174,1.8018447457407326e-17,2.346299024007616e-15,0.007679518796641174
449.00000000000006,ic1_flux_top,+z,0.007549207117501066,1.7555426812702662e-17,2.3254663091710016e-15,0.007549207117501067
450.0000000000001,ic1_flux_top,+z,0.007403059723595118,1.7063048054490087e-17,2.3048642982180115e-15,0.007403059723595118
451.00000000000006,ic1_flux_top,+z,0.007279889851724169,1.6630835073191463e-17,2.2844899321179446e-15,0.00727988985172417
452.00000000000006,ic1_flux_top,+z,0.0070196733060707206,1.5894928451185453e-17,2.264340199057309e-15,0.0070196733060707206
453.0000000000001,ic1_flux_top,+z,0.006801157158555415,1.5264599649241656e-17,2.2444121336087315e-15,0.006801157158555415
454.0000000000001,ic1_flux_top,+z,0.006632887876518982,1.4756204336548686e-17,2.224702815916273e-15,0.006632887876518981
455.00000000000017,ic1_flux_top,+z,0.00665631143884974,1.467856036055911e-17,2.2052093708968152e-15,0.006656311438849739
456.0000000000001,ic1_flux_top,+z,0.006758332114121389,1.4773233939953975e-17,2.1859289674571662e-15,0.006758332114121389
457.00000000000006,ic1_flux_top,+z,0.0068545766383380224,1.4852899830564882e-17,2.16685881772651e-15,0.0068545766383380224
458.0000000000001,ic1_flux_top,+z,0.006975162940256716,1.4982623324768175e-17,2.147996176303912e-15,0.006975162940256715
459.00000000000006,ic1_flux_top,+z,0.007087637657015916,1.5091978599713385e-17,2.1293383395205208e-15,0.007087637657015916
460.0000000000001,ic1_flux_top,+z,0.007275237175074044,1.5357171889057602e-17,2.1108826447161572e-15,0.007275237175074044
461.00000000000006,ic1_flux_top,+z,0.007479508611171741,1.5651817698815463e-17,2.092626469529988e-15,0.00747950861117174
462.00000000000017,ic1_flux_top,+z,0.007510413304907279,1.5580857335166335e-17,2.0745672312049533e-15,0.007510413304907279
463.0000000000001,ic1_flux_top,+z,0.007689205986684785,1.581440829853506e-17,2.0567023859057094e-15,0.007689205986684784
464.00000000000006,ic1_flux_top,+z,0.00773231053939789,1.5766408736651214e-17,2.0390294280497083e-15,0.007732310539397892
465.00000000000017,ic1_flux_top,+z,0.007786290839574726,1.5740344242371257e-17,2.021545889651223e-15,0.007786290839574725
466.0000000000001,ic1_flux_top,+z,0.007915332830200931,1.5864300598261716e-17,2.004249339677988e-15,0.007915332830200931
467.0000000000001,ic1_flux_top,+z,0.008016475279081309,1.592983771032623e-17,1.9871373834201852e-15,0.008016475279081309
468.00000000000006,ic1_flux_top,+z,0.008093581372922043,1.5946036032911818e-17,1.970207661871544e-15,0.008093581372922043
469.00000000000006,ic1_flux_top,+z,0.00825330828166851,1.612248986055786e-17,1.953457851122277e-15,0.00825330828166851
470.00000000000006,ic1_flux_top,+z,0.00845466473868919,1.6375718907385332e-17,1.9368856617635934e-15,0.00845466473868919
471.0,ic1_flux_top,+z,0.008618976799141793,1.655264874034921e-17,1.920488838303566e-15,0.008618976799141793
472.0000000000001,ic1_flux_top,+z,0.008672564964467742,1.6514863297479693e-17,1.904265158594088e-15,0.00867256496446774
473.0,ic1_flux_top,+z,0.008646311083759907,1.6326072090264595e-17,1.88821243326872e-15,0.008646311083759906
474.00000000000006,ic1_flux_top,+z,0.008578031012860816,1.6060891983793033e-17,1.8723285051911517e-15,0.008578031012860816
475.0,ic1_flux_top,+z,0.008490308113810578,1.5763201550847343e-17,1.8566112489140965e-15,0.008490308113810578
476.00000000000006,ic1_flux_top,+z,0.008381014679367147,1.5429938901988297e-17,1.8410585701483838e-15,0.008381014679367148
476.99999999999994,ic1_flux_top,+z,0.008397671446116004,1.5331363436777177e-17,1.825668405242035e-15,0.008397671446116002
478.0000000000001,ic1_flux_top,+z,0.008467309258689368,1.5329544541811245e-17,1.8104387206691044e-15,0.00846730925868937
479.0000000000001,ic1_flux_top,+z,0.00855814113706649,1.536500856511973e-17,1.7953675125281303e-15,0.00855814113706649
