full_path,relative_path,name,extension,is_directory,size_bytes,last_modified,depth,category,priority_name_match
F:\wc_312\MDC_red_oujizi.fsp,MDC_red_oujizi.fsp,MDC_red_oujizi.fsp,.fsp,False,11828968,2026-03-31T20:54:30,1,heavy_binary_not_opened,True
F:\wc_312\MDC_red_oujizi_p0.log,MDC_red_oujizi_p0.log,MDC_red_oujizi_p0.log,.log,False,4646,2026-03-31T20:49:59,1,file,True
F:\wc_312\MDC_red_p0.log,MDC_red_p0.log,MDC_red_p0.log,.log,False,4663,2026-03-30T00:21:48,1,file,True
F:\wc_312\al_grating.fsp,al_grating.fsp,al_grating.fsp,.fsp,False,11949450,2026-03-18T14:53:32,1,heavy_binary_not_opened,False
F:\wc_312\al_grating_p0.log,al_grating_p0.log,al_grating_p0.log,.log,False,4519,2026-03-18T14:53:32,1,file,False
F:\wc_312\dbr.fsp,dbr.fsp,dbr.fsp,.fsp,False,2761538,2026-03-23T17:04:03,1,heavy_binary_not_opened,False
F:\wc_312\dbr_p0.log,dbr_p0.log,dbr_p0.log,.log,False,4661,2026-03-23T17:04:03,1,file,False
F:\wc_312\dbr_wavelength.lsf,dbr_wavelength.lsf,dbr_wavelength.lsf,.lsf,False,266,2026-04-12T23:14:58,1,lightweight_text,False
F:\wc_312\dbr_远场.fsp,dbr_远场.fsp,dbr_远场.fsp,.fsp,False,4752845,2026-03-18T16:05:57,1,heavy_binary_not_opened,False
F:\wc_312\dbr_远场.fsp.bak,dbr_远场.fsp.bak,dbr_远场.fsp.bak,.bak,False,4609100,2026-03-18T16:05:52,1,file,False
F:\wc_312\dbr_远场_p0.log,dbr_远场_p0.log,dbr_远场_p0.log,.log,False,4758,2026-03-18T16:05:57,1,file,False
F:\wc_312\al_grating_h1\h1_1.fsp,al_grating_h1\h1_1.fsp,h1_1.fsp,.fsp,False,492245,2026-03-17T21:08:53,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_10.fsp,al_grating_h1\h1_10.fsp,h1_10.fsp,.fsp,False,492269,2026-03-17T21:09:03,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_10_p0.log,al_grating_h1\h1_10_p0.log,h1_10_p0.log,.log,False,4511,2026-03-17T21:09:03,2,file,False
F:\wc_312\al_grating_h1\h1_11.fsp,al_grating_h1\h1_11.fsp,h1_11.fsp,.fsp,False,492269,2026-03-17T21:09:03,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_11_p0.log,al_grating_h1\h1_11_p0.log,h1_11_p0.log,.log,False,4512,2026-03-17T21:09:03,2,file,False
