candidate_path,name,extension,category,size_bytes,last_modified,baseline_role,confidence,score,evidence,needs_gui_lumerical_audit
F:\wc_312\MDC_blue_oujizi_source1\source1_20.fsp,source1_20.fsp,.fsp,heavy_binary_not_opened,731310,2026-04-05T15:24:00,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_21.fsp,source1_21.fsp,.fsp,heavy_binary_not_opened,728750,2026-04-05T15:24:01,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_22.fsp,source1_22.fsp,.fsp,heavy_binary_not_opened,727486,2026-04-05T15:24:11,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_23.fsp,source1_23.fsp,.fsp,heavy_binary_not_opened,732614,2026-04-05T15:24:11,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_24.fsp,source1_24.fsp,.fsp,heavy_binary_not_opened,728774,2026-04-05T15:24:11,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_25.fsp,source1_25.fsp,.fsp,heavy_binary_not_opened,728774,2026-04-05T15:24:11,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_26.fsp,source1_26.fsp,.fsp,heavy_binary_not_opened,733926,2026-04-05T15:24:23,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_27.fsp,source1_27.fsp,.fsp,heavy_binary_not_opened,728750,2026-04-05T15:24:23,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_28.fsp,source1_28.fsp,.fsp,heavy_binary_not_opened,728750,2026-04-05T15:24:23,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_29.fsp,source1_29.fsp,.fsp,heavy_binary_not_opened,732590,2026-04-05T15:24:23,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_3.fsp,source1_3.fsp,.fsp,heavy_binary_not_opened,727438,2026-04-05T15:23:19,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_30.fsp,source1_30.fsp,.fsp,heavy_binary_not_opened,727438,2026-04-05T15:24:34,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
