case,P_reference_y0,monitor_power_scalar,transmission_sign_diagnostic,sourcepower_diagnostic_not_canonical,relative_difference,source_to_plane_m,status
x,1.1841599151659826e-09,1.1841599151659824e-09,0.11841599151659818,1.0000000000000005e-08,1.7463448178725983e-16,4e-07,pass
z,1.3399881044903074e-09,1.3399881044903072e-09,0.06699940522451532,2.000000000000001e-08,1.5432611113881178e-16,4e-07,pass
