case,box,side,raw_flux,outward_flux
x,inner,top,4.332318514359576e-09,4.332318514359576e-09
x,inner,bottom,-4.332190314734026e-09,4.332190314734026e-09
x,inner,right,1.0702595438713132e-09,1.0702595438713132e-09
x,inner,left,-1.0702596910658655e-09,1.0702596910658655e-09
x,middle,top,4.0539564951840466e-09,4.0539564951840466e-09
x,middle,bottom,-4.050192551856981e-09,4.050192551856981e-09
x,middle,right,9.622335768073607e-10,9.622335768073607e-10
x,middle,left,-9.622338963966959e-10,9.622338963966959e-10
x,outer,top,3.882578910551194e-09,3.882578910551194e-09
x,outer,bottom,-3.8772849648612936e-09,3.8772849648612936e-09
x,outer,right,9.0734068481833e-10,9.0734068481833e-10
x,outer,left,-9.073408144092121e-10,9.073408144092121e-10
z,inner,top,4.7845193764135e-09,4.7845193764135e-09
z,inner,bottom,-4.7775043641928425e-09,4.7775043641928425e-09
z,inner,right,4.7806450484615145e-09,4.7806450484615145e-09
z,inner,left,-4.7806447344739514e-09,4.7806447344739514e-09
z,middle,top,4.666436004318917e-09,4.666436004318917e-09
z,middle,bottom,-4.660464669301606e-09,4.660464669301606e-09
z,middle,right,4.66309125318328e-09,4.66309125318328e-09
z,middle,left,-4.6630913107541796e-09,4.6630913107541796e-09
z,outer,top,4.548060154860562e-09,4.548060154860562e-09
z,outer,bottom,-4.543640151203277e-09,4.543640151203277e-09
z,outer,right,4.545753149136195e-09,4.545753149136195e-09
z,outer,left,-4.545753171381833e-09,4.545753171381833e-09
