case,box,right_out,left_out,top_out,bottom_out,net_outward
x,inner,1.0702595438713132e-09,1.0702596910658655e-09,4.332318514359576e-09,4.332190314734026e-09,1.0805028064030781e-08
x,middle,9.622335768073607e-10,9.622338963966959e-10,4.0539564951840466e-09,4.050192551856981e-09,1.0028616520245085e-08
x,outer,9.0734068481833e-10,9.073408144092121e-10,3.882578910551194e-09,3.8772849648612936e-09,9.574545374640029e-09
z,inner,4.7806450484615145e-09,4.7806447344739514e-09,4.7845193764135e-09,4.7775043641928425e-09,1.912331352354181e-08
z,middle,4.66309125318328e-09,4.6630913107541796e-09,4.666436004318917e-09,4.660464669301606e-09,1.8653083237557982e-08
z,outer,4.545753149136195e-09,4.545753171381833e-09,4.548060154860562e-09,4.543640151203277e-09,1.8183206626581867e-08
