case,monitor,data_names,result_names
x,field_channel,Ex  Ey  Ez  Hx  Hy  Hz  dimension  f  surface_normal;x  y  z,E;H;P;Ex;Ey;Ez;Hx;Hy;Hz;dimension;f;surface_normal;x;y;z;grid
z,field_channel,Ex  Ey  Ez  Hx  Hy  Hz  dimension  f  surface_normal;x  y  z,E;H;P;Ex;Ey;Ez;Hx;Hy;Hz;dimension;f;surface_normal;x;y;z;grid
