case,object_exists,name,x,y,x_span,y_span,dx,dy,override_x,override_y
x,True,source_local_mesh,0.0,-4e-07,1e-07,1e-07,2e-09,2e-09,1.0,1.0
z,True,source_local_mesh,0.0,-4e-07,1e-07,1e-07,2e-09,2e-09,1.0,1.0
