geometry_uid,wavelength_nm,useful_power,DoLP,x_fidelity,leakage,rank_contrast,rank_one_error,total_power
H1C1B_V2_009,435.0,0.4610223424335206,0.3131431412154965,0.6565456156401737,0.2411715820266931,1.382692075973905,0.7232268249571371,0.7021939244602137
H1C1B_V2_009,436.0,0.44052082566890527,0.27251425832954146,0.6361483595778774,0.25196044703486664,1.3225747305569249,0.7561009422725842,0.6924812727037719
H1C1B_V2_009,437.0,0.44233725038019417,0.2739246002069413,0.6368821956367868,0.25219818083550055,1.324607017138495,0.7549408896838454,0.6945354312156947
H1C1B_V2_009,438.0,0.3837209618348572,0.2054468901121777,0.602644669426652,0.25300741444021074,1.2317753032698697,0.8118363774183496,0.636728376275068
H1C1B_V2_009,439.0,0.3160223638421036,0.1229670361155578,0.5601077991308192,0.24819467497169298,1.1317434400633808,0.8835924862475875,0.5642170388137966
H1C1B_V2_009,440.0,0.08208175406904986,0.49704062948283395,0.2515241206119415,0.24425575133341568,1.733399607642758,0.57690101900963,0.32633750540246553
H1C1B_V2_009,441.0,0.07281585797188526,0.550143905411326,0.23869775732724371,0.23223878010775972,1.8662024163911464,0.5358475539506563,0.305054638079645
H1C1B_V2_009,442.0,0.2998775612089764,0.15460462256817933,0.5706198783748175,0.22565190696002196,1.1713054947510544,0.8537482360334498,0.5255294681689984
H1C1B_V2_009,443.0,0.40819592685585093,0.3204013021892474,0.658335300100004,0.21184666662781038,1.3952691836072475,0.7167075799772618,0.6200425934836613
H1C1B_V2_009,444.0,0.45222674722379985,0.37878932122111847,0.6891752977764286,0.20395862198904754,1.4900839064301827,0.6711031477386502,0.6561853692128474
H1C1B_V2_009,445.0,0.4706100253303759,0.4417853665719696,0.7201585566201575,0.1828711018522812,1.6079330807064491,0.621916429233888,0.653481127182657
H1C1B_V2_009,446.0,0.4850386054715664,0.46878287232115823,0.734380522096917,0.17543452920064562,1.6629279194799271,0.6013489750732824,0.660473134672212
H1C1B_V2_009,447.0,0.4917416381346082,0.6018521038806034,0.7995967167913034,0.12324542697980985,2.007087315654321,0.49823442767062415,0.614987065114418
H1C1B_V2_009,448.0,0.485666319157232,0.47692848209889754,0.7370130795813301,0.17329935270454974,1.6836863867701368,0.593934837186828,0.6589656718617818
H1C1B_V2_009,449.0,0.5121942508167941,0.4707529220340239,0.7348838527865348,0.18477881353161202,1.6690068643704015,0.5991587100974743,0.6969730643484062
