model,fold,held_out_geometry,seed,best_epoch,best_monitor_loss,eta_plus1_MAE,eta_plus1_RMSE,eta_plus1_Spearman,all_order_weighted_MAE,T_MAE,R_MAE,directionality_MAE,non_target_leakage_MAE,predicted_transmitted_order_sum_mismatch,predicted_reflected_consistency,negative_power_violations,nan_inf_count
CNN,A,RUN3A,17,81,0.003937960602343082,0.056273654103279114,0.06403151899576187,0.6668548842461888,0.014637726359069347,0.036465052515268326,0.029193395748734474,0.09237987548112869,0.0243277195841074,1.1920928955078125e-07,2.9802322387695312e-08,0,0
CNN,B,RUN3B,29,28,0.008815824054181576,0.0927485004067421,0.10395695269107819,0.9322416713721063,0.01507021114230156,0.033716026693582535,0.03357948735356331,0.13182272017002106,0.07651849836111069,1.1920928955078125e-07,1.4901161193847656e-08,0,0
CNN,C,RUN3C,43,255,0.020595433190464973,0.10712087154388428,0.13035848736763,0.8068887634105025,0.017009077593684196,0.07668840885162354,0.08046101033687592,0.05754024162888527,0.031465522944927216,1.7881393432617188e-07,2.9802322387695312e-08,0,0
