model,fold,held_out_geometry,seed,eta_plus1_MAE,eta_plus1_RMSE,eta_plus1_Spearman,all_order_weighted_MAE,T_MAE,R_MAE,directionality_MAE,non_target_leakage_MAE,predicted_transmitted_order_sum_mismatch,predicted_reflected_consistency,negative_power_violations,nan_inf_count
LF_DFT,A,RUN3A,17,0.336981702560926,0.3403317946707816,0.5595708639186902,0.04563089687011846,0.02877578568936525,0.028628092625940727,0.463079444389542,0.3382278787700803,0.0,2.7755575615628914e-17,0,0
LF_DFT,B,RUN3B,29,0.4293196774218268,0.436992886685994,0.0,0.05057751153312178,0.08553570042137436,0.08534827504147574,0.48543381356648596,0.3530187948380721,1.1102230246251565e-16,2.7755575615628914e-17,0,0
LF_DFT,C,RUN3C,43,0.27421577384026175,0.29345612576697055,0.5990965556182948,0.04495532571001515,0.09306651078330494,0.09239173106954236,0.4977902832244691,0.34927048021486196,1.1102230246251565e-16,0.0,0,0
