model,fold,epoch,train_loss,monitor_loss,lr,batch_device,model_device
CNN,A,1,0.6037923494974772,0.582932710647583,0.001,cuda:0,cuda:0
CNN,A,2,0.5867560704549154,0.5643343925476074,0.001,cuda:0,cuda:0
CNN,A,3,0.5611310799916586,0.5425364375114441,0.001,cuda:0,cuda:0
CNN,A,4,0.5376396973927816,0.5160402059555054,0.001,cuda:0,cuda:0
CNN,A,5,0.5093496044476827,0.48336148262023926,0.001,cuda:0,cuda:0
CNN,A,6,0.4749521315097809,0.4431346356868744,0.001,cuda:0,cuda:0
CNN,A,7,0.4297574857870738,0.39437374472618103,0.001,cuda:0,cuda:0
CNN,A,8,0.3772771755854289,0.33720576763153076,0.001,cuda:0,cuda:0
CNN,A,9,0.3171702524026235,0.27403634786605835,0.001,cuda:0,cuda:0
CNN,A,10,0.2518593023220698,0.20642226934432983,0.001,cuda:0,cuda:0
CNN,A,11,0.18335017065207163,0.13052216172218323,0.001,cuda:0,cuda:0
CNN,A,12,0.10841430972019832,0.061170756816864014,0.001,cuda:0,cuda:0
CNN,A,13,0.05521212021509806,0.026842184364795685,0.001,cuda:0,cuda:0
CNN,A,14,0.04126857469479243,0.02906566485762596,0.001,cuda:0,cuda:0
CNN,A,15,0.04544438421726227,0.03610873594880104,0.001,cuda:0,cuda:0
CNN,A,16,0.05326612790425619,0.03961171582341194,0.001,cuda:0,cuda:0
CNN,A,17,0.05631310120224953,0.04020092263817787,0.001,cuda:0,cuda:0
CNN,A,18,0.05506479491790136,0.038660239428281784,0.001,cuda:0,cuda:0
CNN,A,19,0.053229667246341705,0.035444263368844986,0.001,cuda:0,cuda:0
CNN,A,20,0.05285255238413811,0.030892077833414078,0.001,cuda:0,cuda:0
CNN,A,21,0.044296895464261375,0.0255192331969738,0.001,cuda:0,cuda:0
CNN,A,22,0.03740814452370008,0.021350447088479996,0.001,cuda:0,cuda:0
CNN,A,23,0.03236112122734388,0.020224090665578842,0.001,cuda:0,cuda:0
CNN,A,24,0.029169506082932155,0.022050943225622177,0.001,cuda:0,cuda:0
CNN,A,25,0.02819760888814926,0.025437362492084503,0.001,cuda:0,cuda:0
CNN,A,26,0.029788363104065258,0.02666267193853855,0.001,cuda:0,cuda:0
CNN,A,27,0.028041862572232883,0.024185786023736,0.001,cuda:0,cuda:0
CNN,A,28,0.024992551033695538,0.020490137860178947,0.001,cuda:0,cuda:0
CNN,A,29,0.02322026404241721,0.016909562051296234,0.001,cuda:0,cuda:0
CNN,A,30,0.021631982798377674,0.014708512462675571,0.001,cuda:0,cuda:0
CNN,A,31,0.021032581105828285,0.01351072359830141,0.001,cuda:0,cuda:0
CNN,A,32,0.020938870807488758,0.012834596447646618,0.001,cuda:0,cuda:0
CNN,A,33,0.018366703453163307,0.012863456271588802,0.001,cuda:0,cuda:0
CNN,A,34,0.018430800177156925,0.012659133411943913,0.001,cuda:0,cuda:0
