model,fold,held_out_geometry,seed,best_epoch,best_monitor_loss,eta_plus1_MAE,eta_plus1_RMSE,eta_plus1_Spearman,all_order_weighted_MAE,T_MAE,R_MAE,directionality_MAE,non_target_leakage_MAE,predicted_transmitted_order_sum_mismatch,predicted_reflected_consistency,negative_power_violations,nan_inf_count
MLP,A,RUN3A,17,27,0.004068988375365734,0.059556104242801666,0.06905687600374222,0.6205533596837945,0.014687631279230118,0.02616650052368641,0.02887253649532795,0.12414117157459259,0.05413331836462021,1.1920928955078125e-07,2.9802322387695312e-08,0,0
MLP,B,RUN3B,29,15,0.011288609355688095,0.06596580147743225,0.0846947506070137,0.2433653303218521,0.013939610682427883,0.06330638378858566,0.06586658954620361,0.13412576913833618,0.08796623349189758,1.1920928955078125e-07,1.1175870895385742e-08,0,0
MLP,C,RUN3C,43,7,0.04699454829096794,0.0874854102730751,0.11556797474622726,0.9040090344438172,0.027618061751127243,0.1657453179359436,0.18246646225452423,0.31436702609062195,0.22063730657100677,1.1920928955078125e-07,3.725290298461914e-09,0,0
