candidate_id,dipole_axis,wavelength_nm,frequency_hz,cone_half_angle_deg,R_power,L_power,total_cone_power,L_fraction,DoCP_RminusL,status,data_source,result_fsp,state
BW2_J1J2_D194_T90_PSI99_H525,x,500.00000000000006,599584915999999.9,5.0,6.022284863714348e-14,3.534840496071868e-13,4.1370689824433024e-13,0.8544311228729462,-0.7088622457458924,ok,current_Native_M1_FDTD_post_FSP_farfieldvector3d,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\_runtime\stage_paper_a_cp_current_native_broadband_revalidation_v1\cases\CP_NATIVE_M1_CENTER_X\attempt_001\CP_NATIVE_M1_CENTER_X_run.fsp,
BW2_J1J2_D194_T90_PSI99_H525,x,500.00000000000006,599584915999999.9,10.0,4.1895837567295736e-13,1.4342721169338255e-12,1.853230492606783e-12,0.7739307779877699,-0.5478615559755398,ok,current_Native_M1_FDTD_post_FSP_farfieldvector3d,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\_runtime\stage_paper_a_cp_current_native_broadband_revalidation_v1\cases\CP_NATIVE_M1_CENTER_X\attempt_001\CP_NATIVE_M1_CENTER_X_run.fsp,
BW2_J1J2_D194_T90_PSI99_H525,x,500.00000000000006,599584915999999.9,20.0,3.676777616706011e-12,6.54075087226686e-12,1.0217528488972871e-11,0.6401500009836896,-0.28030000196737925,ok,current_Native_M1_FDTD_post_FSP_farfieldvector3d,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\_runtime\stage_paper_a_cp_current_native_broadband_revalidation_v1\cases\CP_NATIVE_M1_CENTER_X\attempt_001\CP_NATIVE_M1_CENTER_X_run.fsp,
BW2_J1J2_D194_T90_PSI99_H525,x,498.7531172069826,601083878289999.9,5.0,5.901656072899727e-14,3.5084816368517454e-13,4.098647244141718e-13,0.8560096607158597,-0.7120193214317195,ok,current_Native_M1_FDTD_post_FSP_farfieldvector3d,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\_runtime\stage_paper_a_cp_current_native_broadband_revalidation_v1\cases\CP_NATIVE_M1_CENTER_X\attempt_001\CP_NATIVE_M1_CENTER_X_run.fsp,
BW2_J1J2_D194_T90_PSI99_H525,x,498.7531172069826,601083878289999.9,10.0,4.184888533569985e-13,1.420442560952552e-12,1.8389314143095506e-12,0.7724282427824394,-0.5448564855648786,ok,current_Native_M1_FDTD_post_FSP_farfieldvector3d,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\_runtime\stage_paper_a_cp_current_native_broadband_revalidation_v1\cases\CP_NATIVE_M1_CENTER_X\attempt_001\CP_NATIVE_M1_CENTER_X_run.fsp,
BW2_J1J2_D194_T90_PSI99_H525,x,498.7531172069826,601083878289999.9,20.0,3.664585931136411e-12,6.528391682944446e-12,1.0192977614080856e-11,0.6404793505997647,-0.28095870119952937,ok,current_Native_M1_FDTD_post_FSP_farfieldvector3d,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\_runtime\stage_paper_a_cp_current_native_broadband_revalidation_v1\cases\CP_NATIVE_M1_CENTER_X\attempt_001\CP_NATIVE_M1_CENTER_X_run.fsp,
BW2_J1J2_D194_T90_PSI99_H525,x,497.51243781094536,602582840579999.9,5.0,5.765819533228482e-14,3.4871329561040676e-13,4.063714909426916e-13,0.8581145660623716,-0.7162291321247432,ok,current_Native_M1_FDTD_post_FSP_farfieldvector3d,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\_runtime\stage_paper_a_cp_current_native_broadband_revalidation_v1\cases\CP_NATIVE_M1_CENTER_X\attempt_001\CP_NATIVE_M1_CENTER_X_run.fsp,
BW2_J1J2_D194_T90_PSI99_H525,x,497.51243781094536,602582840579999.9,10.0,4.1754741586564756e-13,1.409325614830797e-12,1.8268730306964443e-12,0.7714414691936915,-0.542882938387383,ok,current_Native_M1_FDTD_post_FSP_farfieldvector3d,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\_runtime\stage_paper_a_cp_current_native_broadband_revalidation_v1\cases\CP_NATIVE_M1_CENTER_X\attempt_001\CP_NATIVE_M1_CENTER_X_run.fsp,
BW2_J1J2_D194_T90_PSI99_H525,x,497.51243781094536,602582840579999.9,20.0,3.651813572327955e-12,6.531094828575655e-12,1.018290840090361e-11,0.6413781378997869,-0.28275627579957396,ok,current_Native_M1_FDTD_post_FSP_farfieldvector3d,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\_runtime\stage_paper_a_cp_current_native_broadband_revalidation_v1\cases\CP_NATIVE_M1_CENTER_X\attempt_001\CP_NATIVE_M1_CENTER_X_run.fsp,
BW2_J1J2_D194_T90_PSI99_H525,x,496.2779156327544,604081802869999.9,5.0,5.615899860814205e-14,3.470926743668896e-13,4.0325167297503165e-13,0.8607346171837971,-0.7214692343675941,ok,current_Native_M1_FDTD_post_FSP_farfieldvector3d,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\_runtime\stage_paper_a_cp_current_native_broadband_revalidation_v1\cases\CP_NATIVE_M1_CENTER_X\attempt_001\CP_NATIVE_M1_CENTER_X_run.fsp,
