window,window_nm,points,all_L_fraction_gt_0p5,handedness_flip_count,min_L_fraction,min_L_fraction_wavelength_nm,max_L_fraction,useful_target_L_power_mean_arb,useful_target_L_power_worst_arb,total_cone_power_mean_arb,total_cone_power_worst_arb,longest_continuous_no_flip_L_dominant,anchor_450_nm,candidate_id,dipole_group,cone_half_angle_deg
formal_420_480,"[420.0, 480.0]",60,True,0,0.7348131945146664,443.458980044346,0.9172236836104165,1.6932721453696404e-12,5.523540804726184e-13,2.0308178933967727e-12,6.065908084274494e-13,"{'start_nm': 420.1680672268908, 'end_nm': 479.6163069544365, 'bandwidth_nm': 59.44823972754568, 'points': 60}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.7668797578553497, 'DoCP_RminusL': -0.5337595157106992, 'L_power_arb': 1.4409738730756258e-12, 'total_cone_power_arb': 1.8790088776178455e-12}",BW2_J1J2_D194_T90_PSI99_H525,x,5.0
exploratory_400_500,"[400.0, 500.0]",101,True,0,0.7348131945146664,443.458980044346,0.9172236836104165,1.877426779147969e-12,3.464231610852629e-13,2.1947924829625823e-12,4.0038090102512535e-13,"{'start_nm': 400.0000000000001, 'end_nm': 500.00000000000006, 'bandwidth_nm': 99.99999999999994, 'points': 101}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.7668797578553497, 'DoCP_RminusL': -0.5337595157106992, 'L_power_arb': 1.4409738730756258e-12, 'total_cone_power_arb': 1.8790088776178455e-12}",BW2_J1J2_D194_T90_PSI99_H525,x,5.0
formal_420_480,"[420.0, 480.0]",60,True,0,0.7729428158925598,443.458980044346,0.8924795856316796,7.108670207430285e-12,2.2078782805947115e-12,8.536157564993101e-12,2.593943343472957e-12,"{'start_nm': 420.1680672268908, 'end_nm': 479.6163069544365, 'bandwidth_nm': 59.44823972754568, 'points': 60}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.7930120271268318, 'DoCP_RminusL': -0.5860240542536638, 'L_power_arb': 6.3911404977336795e-12, 'total_cone_power_arb': 8.059323540009186e-12}",BW2_J1J2_D194_T90_PSI99_H525,x,10.0
exploratory_400_500,"[400.0, 500.0]",101,True,0,0.7711286417226209,496.2779156327544,0.8924795856316796,7.608905145657224e-12,1.3972136206301522e-12,9.027074937430272e-12,1.8098608355216253e-12,"{'start_nm': 400.0000000000001, 'end_nm': 500.00000000000006, 'bandwidth_nm': 99.99999999999994, 'points': 101}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.7930120271268318, 'DoCP_RminusL': -0.5860240542536638, 'L_power_arb': 6.3911404977336795e-12, 'total_cone_power_arb': 8.059323540009186e-12}",BW2_J1J2_D194_T90_PSI99_H525,x,10.0
formal_420_480,"[420.0, 480.0]",60,True,0,0.7576730901758038,479.6163069544365,0.8592377601287976,2.7033487544786392e-11,9.888323653775533e-12,3.271902123706272e-11,1.3050910454640978e-11,"{'start_nm': 420.1680672268908, 'end_nm': 479.6163069544365, 'bandwidth_nm': 59.44823972754568, 'points': 60}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.815190107107256, 'DoCP_RminusL': -0.630380214214512, 'L_power_arb': 2.5684515085281682e-11, 'total_cone_power_arb': 3.1507393013421746e-11}",BW2_J1J2_D194_T90_PSI99_H525,x,20.0
exploratory_400_500,"[400.0, 500.0]",101,True,0,0.6401500009836896,500.00000000000006,0.8592377601287976,2.6922873716237824e-11,6.528391682944446e-12,3.292646173768608e-11,1.018290840090361e-11,"{'start_nm': 400.0000000000001, 'end_nm': 500.00000000000006, 'bandwidth_nm': 99.99999999999994, 'points': 101}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.815190107107256, 'DoCP_RminusL': -0.630380214214512, 'L_power_arb': 2.5684515085281682e-11, 'total_cone_power_arb': 3.1507393013421746e-11}",BW2_J1J2_D194_T90_PSI99_H525,x,20.0
formal_420_480,"[420.0, 480.0]",60,True,0,0.8035553007684232,431.9654427645789,0.9005544517719966,1.2771768462587144e-12,7.931498807403449e-13,1.4877921086211e-12,9.750974646311146e-13,"{'start_nm': 420.1680672268908, 'end_nm': 479.6163069544365, 'bandwidth_nm': 59.44823972754568, 'points': 60}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.8877296959747286, 'DoCP_RminusL': -0.7754593919494573, 'L_power_arb': 1.5605833339640944e-12, 'total_cone_power_arb': 1.7579487776969896e-12}",BW2_J1J2_D194_T90_PSI99_H525,y,5.0
exploratory_400_500,"[400.0, 500.0]",101,True,0,0.7852959979122451,404.8582995951418,0.9005544517719966,1.3653190477770302e-12,7.931498807403449e-13,1.6329910595382102e-12,9.750974646311146e-13,"{'start_nm': 400.0000000000001, 'end_nm': 500.00000000000006, 'bandwidth_nm': 99.99999999999994, 'points': 101}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.8877296959747286, 'DoCP_RminusL': -0.7754593919494573, 'L_power_arb': 1.5605833339640944e-12, 'total_cone_power_arb': 1.7579487776969896e-12}",BW2_J1J2_D194_T90_PSI99_H525,y,5.0
formal_420_480,"[420.0, 480.0]",60,True,0,0.7628597308281125,431.9654427645789,0.8232509961543301,4.9674592551874704e-12,3.5068843623098747e-12,6.213502942742562e-12,4.562807162854886e-12,"{'start_nm': 420.1680672268908, 'end_nm': 479.6163069544365, 'bandwidth_nm': 59.44823972754568, 'points': 60}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.818883672761037, 'DoCP_RminusL': -0.6377673455220739, 'L_power_arb': 5.690635745837838e-12, 'total_cone_power_arb': 6.9492602369890624e-12}",BW2_J1J2_D194_T90_PSI99_H525,y,10.0
exploratory_400_500,"[400.0, 500.0]",101,True,0,0.7594379233356578,483.09178743961365,0.830556264214373,5.234864084556842e-12,3.5068843623098747e-12,6.5780827003365e-12,4.562807162854886e-12,"{'start_nm': 400.0000000000001, 'end_nm': 500.00000000000006, 'bandwidth_nm': 99.99999999999994, 'points': 101}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.818883672761037, 'DoCP_RminusL': -0.6377673455220739, 'L_power_arb': 5.690635745837838e-12, 'total_cone_power_arb': 6.9492602369890624e-12}",BW2_J1J2_D194_T90_PSI99_H525,y,10.0
formal_420_480,"[420.0, 480.0]",60,True,0,0.650712924299058,432.900432900433,0.732898950565718,1.641443036952264e-11,1.3755279516312454e-11,2.430131043648927e-11,2.065142233339858e-11,"{'start_nm': 420.1680672268908, 'end_nm': 479.6163069544365, 'bandwidth_nm': 59.44823972754568, 'points': 60}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.6719072108996965, 'DoCP_RminusL': -0.34381442179939303, 'L_power_arb': 1.6983332376881443e-11, 'total_cone_power_arb': 2.527630616456763e-11}",BW2_J1J2_D194_T90_PSI99_H525,y,20.0
exploratory_400_500,"[400.0, 500.0]",101,True,0,0.650712924299058,432.900432900433,0.7934281036357304,1.712046822726063e-11,1.3755279516312454e-11,2.4494923724863863e-11,2.065142233339858e-11,"{'start_nm': 400.0000000000001, 'end_nm': 500.00000000000006, 'bandwidth_nm': 99.99999999999994, 'points': 101}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.6719072108996965, 'DoCP_RminusL': -0.34381442179939303, 'L_power_arb': 1.6983332376881443e-11, 'total_cone_power_arb': 2.527630616456763e-11}",BW2_J1J2_D194_T90_PSI99_H525,y,20.0
formal_420_480,"[420.0, 480.0]",60,True,0,0.7806680120671136,440.52863436123357,0.899451293805346,2.970448991628355e-12,1.9548159081886353e-12,3.5186100020178725e-12,2.318334935261718e-12,"{'start_nm': 420.1680672268908, 'end_nm': 479.6163069544365, 'bandwidth_nm': 59.44823972754568, 'points': 60}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.8252934159553443, 'DoCP_RminusL': -0.6505868319106888, 'L_power_arb': 3.00155720703972e-12, 'total_cone_power_arb': 3.636957655314835e-12}",BW2_J1J2_D194_T90_PSI99_H525,incoherent_xy,5.0
exploratory_400_500,"[400.0, 500.0]",101,True,0,0.7806680120671136,440.52863436123357,0.899451293805346,3.2427458269250004e-12,1.8409217344322476e-12,3.827783542500792e-12,2.298833206423182e-12,"{'start_nm': 400.0000000000001, 'end_nm': 500.00000000000006, 'bandwidth_nm': 99.99999999999994, 'points': 101}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.8252934159553443, 'DoCP_RminusL': -0.6505868319106888, 'L_power_arb': 3.00155720703972e-12, 'total_cone_power_arb': 3.636957655314835e-12}",BW2_J1J2_D194_T90_PSI99_H525,incoherent_xy,5.0
formal_420_480,"[420.0, 480.0]",60,True,0,0.7820432991550406,441.50110375275943,0.8712528659218776,1.2076129462617754e-11,7.70955496549777e-12,1.4749660507735662e-11,9.771424842179903e-12,"{'start_nm': 420.1680672268908, 'end_nm': 479.6163069544365, 'bandwidth_nm': 59.44823972754568, 'points': 60}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.8049910919701646, 'DoCP_RminusL': -0.6099821839403291, 'L_power_arb': 1.2081776243571517e-11, 'total_cone_power_arb': 1.5008583776998248e-11}",BW2_J1J2_D194_T90_PSI99_H525,incoherent_xy,10.0
exploratory_400_500,"[400.0, 500.0]",101,True,0,0.7644766921633602,500.00000000000006,0.8712528659218776,1.2843769230214067e-11,6.789290752673827e-12,1.5605157637766774e-11,8.880965008182395e-12,"{'start_nm': 400.0000000000001, 'end_nm': 500.00000000000006, 'bandwidth_nm': 99.99999999999994, 'points': 101}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.8049910919701646, 'DoCP_RminusL': -0.6099821839403291, 'L_power_arb': 1.2081776243571517e-11, 'total_cone_power_arb': 1.5008583776998248e-11}",BW2_J1J2_D194_T90_PSI99_H525,incoherent_xy,10.0
formal_420_480,"[420.0, 480.0]",60,True,0,0.705889797479299,479.6163069544365,0.8218881722712208,4.344791791430903e-11,2.865984869247505e-11,5.7020331673552e-11,4.0601024118521175e-11,"{'start_nm': 420.1680672268908, 'end_nm': 479.6163069544365, 'bandwidth_nm': 59.44823972754568, 'points': 60}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.7514101419919844, 'DoCP_RminusL': -0.5028202839839688, 'L_power_arb': 4.2667847462163125e-11, 'total_cone_power_arb': 5.6783699177989376e-11}",BW2_J1J2_D194_T90_PSI99_H525,incoherent_xy,20.0
exploratory_400_500,"[400.0, 500.0]",101,True,0,0.6712422137250548,500.00000000000006,0.8294976939275313,4.4043341943498447e-11,2.3472717415532826e-11,5.742138546254994e-11,3.496907217034387e-11,"{'start_nm': 400.0000000000001, 'end_nm': 500.00000000000006, 'bandwidth_nm': 99.99999999999994, 'points': 101}","{'wavelength_nm': 450.45045045045055, 'L_fraction': 0.7514101419919844, 'DoCP_RminusL': -0.5028202839839688, 'L_power_arb': 4.2667847462163125e-11, 'total_cone_power_arb': 5.6783699177989376e-11}",BW2_J1J2_D194_T90_PSI99_H525,incoherent_xy,20.0
