case_id,u_x,polarization,wavelength_nm,output,rcwa,fdtd,delta
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,445,eta_plus1,0.6094201852446082,0.5447557860404281,-0.0646643992041801
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,445,T,0.7242572371377545,0.6958243059604862,-0.028432931177268306
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,445,R,0.27574276286222227,0.30173946832652304,0.025996705464300773
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,445,eta_0,0.02791931424832186,0.07301322512883401,0.04509391088051215
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,445,eta_minus1,0.0026762182571373992,0.03318178256664381,0.03050556430950641
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,446,eta_plus1,0.6592468768971435,0.542522630907541,-0.1167242459896024
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,446,T,0.7589517013845181,0.6943242507858663,-0.06462745059865171
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,446,R,0.24104829861299715,0.3032532817485577,0.062204983135560554
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,446,eta_0,0.01835766071369887,0.0729281935767866,0.05457053286308774
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,446,eta_minus1,0.00171439292772691,0.03389387856888982,0.03217948564116291
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,447,eta_plus1,0.7287927962183429,0.5377365939551998,-0.19105620226314313
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,447,T,0.858348832760461,0.6921109425615171,-0.16623789019894397
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,447,R,0.14165116723939544,0.3099471308227058,0.16829596358331037
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,447,eta_0,0.026459750903137392,0.0723217123524477,0.04586196144931032
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,447,eta_minus1,0.002159846921754972,0.03445843783277581,0.03229859091102084
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,448,eta_plus1,0.7394412177046764,0.519789865340945,-0.21965135236373146
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,448,T,0.8616173105748065,0.6802213303439733,-0.18139598023083325
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,448,R,0.13838268942464707,0.3160412374293879,0.17765854800474082
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,448,eta_0,0.029264998565359232,0.07032698105434528,0.04106198248898604
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,448,eta_minus1,0.002214289686928725,0.034371356658785955,0.03215706697185723
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,449,eta_plus1,0.7490187965441467,0.4808286963266864,-0.2681901002174603
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,449,T,0.8590750827830708,0.6996031578630661,-0.15947192492000462
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,449,R,0.14092491721697575,0.2969364243816374,0.15601150716466167
NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,449,eta_0,0.02888504084764129,0.07294011973117413,0.04405507888353284
