model,held_out_case,case_id,u_x,polarization,wavelength_nm,output,truth,prediction,error
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,450,R,0.29750575344764385,0.13335152755881324,-0.1641542258888306
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,451,R,0.3011684581218697,0.13198110037029698,-0.16918735775157273
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,452,R,0.30258596293252243,0.1388216467440008,-0.16376431618852164
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,453,R,0.30338136119150905,0.1063567619262383,-0.19702459926527074
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,454,R,0.30031191747519703,0.11470766235188203,-0.18560425512331502
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,455,R,0.2975758174378378,0.11840972261230784,-0.17916609482552995
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,445,eta_0,0.07301322512883401,0.02791931424832186,-0.04509391088051215
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,446,eta_0,0.0729281935767866,0.01835766071369887,-0.05457053286308774
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,447,eta_0,0.0723217123524477,0.026459750903137392,-0.04586196144931032
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,448,eta_0,0.07032698105434528,0.029264998565359232,-0.04106198248898604
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,449,eta_0,0.07294011973117413,0.02888504084764129,-0.04405507888353284
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,450,eta_0,0.07824369204760351,0.02885476729435402,-0.04938892475324949
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,451,eta_0,0.07860750553651392,0.030340467579675876,-0.04826703795683805
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,452,eta_0,0.0803647037904899,0.033057749858382265,-0.04730695393210764
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,453,eta_0,0.08253272998568405,0.02405841668591912,-0.05847431329976493
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,454,eta_0,0.0853679932595873,0.0307998915135618,-0.0545681017460255
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,455,eta_0,0.08870549051210895,0.03358236557563846,-0.05512312493647049
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,445,eta_minus1,0.03318178256664381,0.0026762182571373992,-0.03050556430950641
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,446,eta_minus1,0.03389387856888982,0.00171439292772691,-0.03217948564116291
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,447,eta_minus1,0.03445843783277581,0.002159846921754972,-0.03229859091102084
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,448,eta_minus1,0.034371356658785955,0.002214289686928725,-0.03215706697185723
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,449,eta_minus1,0.037141623748710786,0.0026310700566276094,-0.034510553692083175
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,450,eta_minus1,0.04150912165298384,0.0023831064785086605,-0.03912601517447518
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,451,eta_minus1,0.042936247525404904,0.0022120285775746804,-0.040724218947830224
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,452,eta_minus1,0.04507402551738376,0.002370440758136595,-0.04270358475924716
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,453,eta_minus1,0.047330787598044724,0.0047508398232107,-0.04257994777483402
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,454,eta_minus1,0.04971594643086209,0.0024806544697153934,-0.0472352919611467
RAW_RCWA,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,455,eta_minus1,0.0521256509362019,0.002551887949101162,-0.04957376298710074
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,445,eta_plus1,0.5447557860404281,0.5989589316869218,0.054203145646493756
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,446,eta_plus1,0.542522630907541,0.6487856233394571,0.10626299243191606
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,447,eta_plus1,0.5377365939551998,0.7183315426606566,0.18059494870545678
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,448,eta_plus1,0.519789865340945,0.7289799641469901,0.2091900988060451
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,449,eta_plus1,0.4808286963266864,0.7385575429864604,0.25772884665977397
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,450,eta_plus1,0.5398816134613701,0.754529250970539,0.21464763750916893
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,451,eta_plus1,0.5341689330700774,0.7557122965335097,0.22154336346343229
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,452,eta_plus1,0.530216560058377,0.7453749469179294,0.21515838685955235
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,453,eta_plus1,0.5261510651132291,0.8079827502345219,0.28183168512129286
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,454,eta_plus1,0.5222142758063347,0.7734423178229097,0.251228042016575
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,455,eta_plus1,0.5201830901034317,0.7628414947837211,0.24265840468028943
