u_x,wavelength_nm,output,hf_P_minus_S,rcwa_P_minus_S
0.37868939998860307,445,eta_plus1,0.01996422663482833,0.04310032452553714
0.37868939998860307,445,T,0.014554010038149268,0.014150681364925921
0.37868939998860307,445,R,-0.014748016247913123,-0.01415068136528358
0.37868939998860307,445,eta_0,0.034407191350283424,0.027028567149388394
0.37868939998860307,445,eta_minus1,0.00965306880933946,0.0072199356825484885
0.37868939998860307,446,eta_plus1,0.012541467011384366,0.03329717106564506
0.37868939998860307,446,T,0.015029549895410166,0.009415306623334785
0.37868939998860307,446,R,-0.015898412761217215,-0.009415306623101999
0.37868939998860307,446,eta_0,0.035027653000914476,0.027183285001965825
0.37868939998860307,446,eta_minus1,0.009562975081597001,0.007473806133310241
0.37868939998860307,447,eta_plus1,0.017832881999436057,0.024823961815325146
0.37868939998860307,447,T,0.019542888942759573,0.0068322963434144235
0.37868939998860307,447,R,-0.019876257264667838,-0.006832296344122107
0.37868939998860307,447,eta_0,0.036190502976647346,0.027373933246613004
0.37868939998860307,447,eta_minus1,0.009483853811359936,0.007706848854388068
0.37868939998860307,448,eta_plus1,0.01924101018373653,0.01812507346116654
0.37868939998860307,448,T,0.016769886425821445,0.0064468587903009356
0.37868939998860307,448,R,-0.017455241547647993,-0.006446858788930809
0.37868939998860307,448,eta_0,0.03583613984674187,0.027540513962511618
0.37868939998860307,448,eta_minus1,0.0093822235902276,0.00790419879663688
0.37868939998860307,449,eta_plus1,0.011850139922293279,0.009747738612816081
0.37868939998860307,449,T,0.015129115245074543,0.007044761417037915
0.37868939998860307,449,R,-0.01651828817915424,-0.0070447614164222405
0.37868939998860307,449,eta_0,0.03536175355477734,0.027427955867813842
0.37868939998860307,449,eta_minus1,0.009202732229870886,0.00799754507400437
0.37868939998860307,450,eta_plus1,0.016019415485287236,0.008332091092190352
0.37868939998860307,450,T,0.019842989795057275,0.012897099725671435
0.37868939998860307,450,R,-0.021092281749185315,-0.012897099713974042
0.37868939998860307,450,eta_0,0.03548807128424093,0.02763146581575608
0.37868939998860307,450,eta_minus1,0.009118497556391806,0.008270723670142602
0.37868939998860307,451,eta_plus1,0.027512432891626637,0.01670102999573836
0.37868939998860307,451,T,0.02490197817821227,0.023548774277889373
0.37868939998860307,451,R,-0.027320999046035382,-0.023548774276858336
0.37868939998860307,451,eta_0,0.03529605188395634,0.02761836807120611
0.37868939998860307,451,eta_minus1,0.009060671179691969,0.008551274323625227
0.37868939998860307,452,eta_plus1,0.05140724076491515,0.03890012441461843
0.37868939998860307,452,T,0.035692581629198306,0.04029063882985817
0.37868939998860307,452,R,-0.03733204257313205,-0.040290638830003445
0.37868939998860307,452,eta_0,0.03469175563184799,0.02693677667212358
0.37868939998860307,452,eta_minus1,0.008859169863551964,0.008668083457069091
0.37868939998860307,453,eta_plus1,0.08271418184461776,0.08056657417294077
0.37868939998860307,453,T,0.048617390912629954,0.06455539523423437
0.37868939998860307,453,R,-0.051858632552368944,-0.06455539523538406
0.37868939998860307,453,eta_0,0.03326198028573774,0.024947539043499105
0.37868939998860307,453,eta_minus1,0.00827732180017264,0.008035447908487042
0.37868939998860307,454,eta_plus1,0.1341998514272158,0.14031988870531148
0.37868939998860307,454,T,0.06914248163058334,0.09426081554227783
0.37868939998860307,454,R,-0.0715038902027553,-0.09426081554320909
0.37868939998860307,454,eta_0,0.03039231488369592,0.021224865597291726
0.37868939998860307,454,eta_minus1,0.005758873148187863,0.005262158486905018
0.37868939998860307,455,eta_plus1,0.1831283821892486,0.19135403728871664
0.37868939998860307,455,T,0.07644740540341466,0.1172551558110726
0.37868939998860307,455,R,-0.07992513078291866,-0.11725515581071963
0.37868939998860307,455,eta_0,0.026951105478181754,0.017133163966167132
0.37868939998860307,455,eta_minus1,-0.0001984922552070202,-0.0010637018877577044
-0.3786893999886029,445,eta_plus1,-0.15913097971353485,-0.11713344787023461
-0.3786893999886029,445,T,-0.08215698472796029,-0.10619230363986676
-0.3786893999886029,445,R,0.08305931082542808,0.10619230363996984
-0.3786893999886029,445,eta_0,0.05957336791546738,0.007494356764131505
-0.3786893999886029,445,eta_minus1,0.025134066922633674,0.0016252254992234999
-0.3786893999886029,446,eta_plus1,-0.16208443612265133,-0.07065974389483709
-0.3786893999886029,446,T,-0.08005935519254792,-0.07753549180612995
-0.3786893999886029,446,R,0.08133598964968897,0.07753549180309907
-0.3786893999886029,446,eta_0,0.059690209731849214,-0.002444103612959544
-0.3786893999886029,446,eta_minus1,0.023571361914831872,0.0009216803780930201
-0.3786893999886029,447,eta_plus1,-0.16622062722574693,0.00321168918850423
-0.3786893999886029,447,T,-0.07707049928233256,0.022218412420370037
