family,candidate_count,level_a_count,level_b_count,best_candidate_id,best_pass_level,best_normal_offaxis_ratio_at_453
R2A_Taguchi2026_scaled_control,1200,897,243,R2_1_00958,Level A,3.409479
R2B_Khaidarov_hybrid_scaled_control,1200,165,123,R2_1_02178,Level A,2.597007
R2C_C2_medium_bottomR_upgrade,1200,0,0,R2_1_03301,Level C,2.055086
R2D_all_dielectric_highR_mediumR_scan,1200,575,145,R2_1_04530,Level A,3.083387
