wavelength_nm,theta_deg,I_proxy
445.0,0.0,0.00105207
445.0,1.0,0.00119809
445.0,2.0,0.00125113
445.0,3.0,0.00119809
445.0,4.0,0.00105207
445.0,5.0,0.00084718
445.0,6.0,0.00062559
445.0,7.0,0.00042365
445.0,8.0,0.00026318
445.0,9.0,0.00015017
445.0,10.0,7.916e-05
445.0,11.0,3.959e-05
445.0,12.0,2.099e-05
445.0,13.0,1.572e-05
445.0,14.0,1.966e-05
445.0,15.0,3.165e-05
445.0,16.0,5.245e-05
445.0,17.0,8.37e-05
445.0,18.0,0.00012677
445.0,19.0,0.00018175
445.0,20.0,0.00024656
445.0,21.0,0.00031645
445.0,22.0,0.00038423
445.0,23.0,0.00044136
445.0,24.0,0.00047964
445.0,25.0,0.00049313
445.0,26.0,0.00047964
445.0,27.0,0.00044136
445.0,28.0,0.00038423
445.0,29.0,0.00031644
445.0,30.0,0.00024656
445.0,31.0,0.00018175
445.0,32.0,0.00012675
445.0,33.0,8.362e-05
445.0,34.0,5.219e-05
445.0,35.0,3.082e-05
445.0,36.0,1.722e-05
445.0,37.0,9.1e-06
445.0,38.0,4.55e-06
445.0,39.0,2.15e-06
445.0,40.0,9.6e-07
445.5,0.0,0.00252696
445.5,1.0,0.00287767
445.5,2.0,0.00300508
445.5,3.0,0.00287768
445.5,4.0,0.00252697
445.5,5.0,0.00203484
445.5,6.0,0.00150259
445.5,7.0,0.00101756
445.5,8.0,0.00063213
445.5,9.0,0.00036069
445.5,10.0,0.00019013
445.5,11.0,9.51e-05
445.5,12.0,5.041e-05
445.5,13.0,3.775e-05
445.5,14.0,4.722e-05
445.5,15.0,7.601e-05
445.5,16.0,0.00012598
445.5,17.0,0.00020103
445.5,18.0,0.00030448
445.5,19.0,0.00043655
445.5,20.0,0.00059222
445.5,21.0,0.00076007
445.5,22.0,0.00092287
445.5,23.0,0.0010601
445.5,24.0,0.00115205
445.5,25.0,0.00118443
445.5,26.0,0.00115205
445.5,27.0,0.0010601
