sample_seconds,sample_hours
796.858839,0.2213496775
817.250079,0.22701391083333333
884.437286,0.24567702388888887
999.647024,0.27767972888888887
1234.98525,0.34305145833333334
1251.887881,0.34774663361111113
1514.003314,0.42055647611111113
1771.771354,0.49215870944444445
2464.075826,0.6844655072222222
2733.724178,0.7593678272222222
3144.041409,0.8733448358333333
3238.529342,0.8995914838888889
3406.943829,0.9463732858333332
3439.177889,0.9553271913888889
4238.229954,1.1772860983333335
4670.934499,1.2974818052777777
5084.161174,1.4122669927777778
6216.983219,1.7269397830555555
8918.407723,2.4773354786111113
9613.809193,2.6705025536111107
11486.644211,3.190734503055556
13681.263898,3.8003510827777776
14567.187439,4.046440955277777
16149.726675,4.4860351875
