set,size,geometry_ids,physical_mean_nearest_distance_before,physical_mean_nearest_distance_after,physical_p90_after,physical_max_after,pairwise_mean_distance,pairwise_min_distance,top_quartile_eta_residual_covered,top_quartile_ps_risk_covered
proposed_primary4,4,"['K6X_D110_D125_D130_D135_D140_D175', 'K6X_D110_D190_D210_D215_D220_D225', 'K6X_D150_D205_D215_D220_D225_D230', 'K6X_D105_D120_D125_D130_D165_D190']",2.3445131526687875,2.0253560158775787,3.4192398112918654,4.087102131785112,6.959811222117318,2.46892041932789,0.25,0.25
random4_seed_20260812,4,"['K6X_D100_D105_D130_D145_D175_D220', 'K6X_D100_D110_D120_D125_D130_D205', 'K6X_D110_D125_D130_D135_D140_D175', 'K6X_D135_D155_D190_D220_D225_D230']",2.3445131526687875,1.8936651423845008,3.495391131320434,4.142631764598687,5.908719605104083,3.4298944605560737,0.375,0.125
performance_only_top4,4,"['K6X_D100_D120_D130_D150_D165_D180', 'K6X_D110_D125_D135_D150_D175_D195', 'K6X_D115_D125_D135_D155_D180_D195', 'K6X_D110_D125_D135_D155_D175_D195']",2.3445131526687875,2.2424245696011353,3.5131651654655625,4.245526900473152,0.9756921070197432,0.4647888683901952,0.0,0.0
coverage_only_top4,4,"['K6X_D100_D105_D110_D115_D190_D230', 'K6X_D150_D205_D215_D220_D225_D230', 'K6X_D145_D170_D190_D210_D225_D230', 'K6X_D105_D170_D175_D180_D185_D190']",2.3445131526687875,1.806929288522764,3.1257185620493195,3.495391131320434,6.649819619253079,2.925398880986252,0.0,0.375
proposed_first6,6,"['K6X_D110_D125_D130_D135_D140_D175', 'K6X_D110_D190_D210_D215_D220_D225', 'K6X_D150_D205_D215_D220_D225_D230', 'K6X_D105_D120_D125_D130_D165_D190', 'K6X_D160_D165_D170_D175_D180_D220', 'K6X_D105_D110_D115_D120_D135_D200']",2.3445131526687875,1.7918107355002117,3.4192398112918654,4.087102131785112,6.482328289038632,2.46892041932789,0.5,0.25
proposed_first8,8,"['K6X_D110_D125_D130_D135_D140_D175', 'K6X_D110_D190_D210_D215_D220_D225', 'K6X_D150_D205_D215_D220_D225_D230', 'K6X_D105_D120_D125_D130_D165_D190', 'K6X_D160_D165_D170_D175_D180_D220', 'K6X_D105_D110_D115_D120_D135_D200', 'K6X_D100_D110_D120_D125_D130_D205', 'K6X_D100_D160_D165_D170_D175_D185']",2.3445131526687875,1.59134730160501,3.156133782259585,4.087102131785112,6.05797392971206,1.1944665508030723,0.625,0.375
