geometry_id,geometry_hash,D1,D2,D3,D4,D5,D6,role,candidate_rank_composite,selection_rationale,eta_plus1_residual_proxy,order_profile_error_proxy,rt_error_proxy,ps_contrast_risk_proxy,model_disagreement,tail_error_proxy,nearest_hf13_distance,performance_potential,lf_eta_plus1_mean,calibrated_lf_eta_plus1,lf_eta_plus1_min,predicted_eta_robust_min,predicted_eta_robust_mean,m4_role,eta_plus1_residual_proxy_norm,order_profile_error_proxy_norm,rt_error_proxy_norm,ps_contrast_risk_proxy_norm,model_disagreement_norm,tail_error_proxy_norm,nearest_hf13_distance_norm,performance_potential_norm,error1_role_score,polarization_stress_role_score,coverage_role_score,performance_error_role_score
K6X_D100_D105_D110_D115_D190_D230,28af39e140680f8a92b622e4f0dcc8436d1ad0021a7f35350015946e4bbc6ea3,100.0,105.0,110.0,115.0,190.0,230.0,not_selected,,,0.2235956791940337,,0.08957670796070084,0.0548435814678669,0.2855432878163728,0.4557774852622639,4.245526900473152,0.4280281543546316,0.295766791161302,0.2113036984961586,0.295766791161302,0.3520597815513611,0.510748678310351,,0.4750333020749408,0.5,0.6182498200494326,0.39635424352784876,0.938527101951926,0.7898199947374095,1.0,0.47446228966863485,0.5442323150886994,0.5590061010550719,0.8025450013156477,0.5674465558471848
K6X_D100_D105_D115_D120_D125_D165,c9a4fedab14cf5d95250a2e6504304d5c3debd627bee59b15bc02ad0c945a47e,100.0,105.0,115.0,120.0,125.0,165.0,not_selected,,,0.2853412379688432,,0.05608852175741884,0.028536069156094034,0.04962924207476053,0.3475268962911879,2.63906821424544,0.6514009605754505,0.28278730753467607,0.19832421486953267,0.28278730753467607,0.6178749799728394,0.6690016009590842,,0.730196542542733,0.5,0.3150891400166631,0.10562266596152323,0.12038458935913314,0.4836259804873755,0.5796947738857852,0.7434504716114478,0.6233332944959783,0.11005124298080621,0.5638645852924951,0.6148611164403704
K6X_D100_D105_D115_D165_D225_D230,3322805126afe49c88dd968c948ae5794d7e823781ba3e24fc5af9ddd665a869,100.0,105.0,115.0,165.0,225.0,230.0,not_selected,,,0.21035381225037814,,0.05536861113434305,0.07128821563991633,0.25744532570242884,0.42422786219553515,3.495391131320434,0.33240910622206604,0.3824892535697753,0.2980261609046319,0.3824892535697753,0.2624901533126831,0.42068184370344336,,0.4203113472294214,0.5,0.30857195832370293,0.5780884333167291,0.8410842504660199,0.7005797806499062,0.8037385045920798,0.3593166980837093,0.4962871971061631,0.6569871784615163,0.6776589332815833,0.473968603303885
K6X_D100_D105_D130_D145_D175_D220,755ff7c36738865b5c4bada4bac221f914a7cfcf213197650300c56a80a55266,100.0,105.0,130.0,145.0,175.0,220.0,not_selected,,,0.2752863311532645,,0.04051250555722048,0.0239479849961671,0.07526809268377044,0.3420218760849532,2.971496203606568,0.7632423140671836,0.40075788004925333,0.31629478738410993,0.40075788004925333,0.7210899591445923,0.7755792953751304,,0.6886446859141157,0.5,0.1740831256929974,0.0549184819241107,0.20929931926131584,0.46805466349505015,0.6666694483252606,0.878131155669402,0.5973655099517736,0.10123273312527223,0.632988420370183,0.6875188474611988
K6X_D100_D110_D120_D125_D130_D205,28e52dee45b7d602f92a9be9cd041afef3d7550bc706d562fdebcc66dbf2d1d8,100.0,110.0,120.0,125.0,130.0,205.0,backup_rank_3,3,Frozen expansion backup with redundancy-aware composite score,0.3180219796737194,,0.04018380516039551,0.030225107954307034,0.0605127951638265,0.3861331445253239,3.1257185620493195,0.6137015918595939,0.21129390123179642,0.12683080856665302,0.21129390123179642,0.5847232937812805,0.6430114250291478,,0.8652495588207101,0.5,0.1711074782445628,0.1242886997755773,0.15812841017418552,0.5928263297353772,0.7070193582189036,0.6980524447753375,0.7194525232984661,0.13444061289515974,0.6320579362303334,0.6402267720687188
K6X_D100_D115_D135_D165_D220_D230,33052007ba11aefdda4c765fd30d9f19e06ca4036972fcd0278c949057fc79d9,100.0,115.0,135.0,165.0,220.0,230.0,not_selected,,,0.17191090064609665,,0.03464236025783149,0.043210886554284525,0.18983486511490563,0.33094635334881867,2.5227019291620962,0.5075934032860555,0.4246203363770785,0.3401572437119351,0.4246203363770785,0.42227908968925476,0.5740591809153557,,0.2614461900811918,0.5,0.12094207977156965,0.26779812223848987,0.6066132933479488,0.4367268083884079,0.5492493237890417,0.5702757058941249,0.3561407662223371,0.36944267357132754,0.5527552907446793,0.4848943686410097
K6X_D100_D120_D130_D150_D165_D180,a6e37e4082d76939c42119f938954aaac21bc4995367b568f15b7dd938b5d748,100.0,120.0,130.0,150.0,165.0,180.0,not_selected,,,0.2769111863053118,,0.03255439970727168,0.02753786966204643,0.01696983596140688,0.3938887686645115,1.1357620966834487,0.8644444767510492,0.4417338670901605,0.3572707744250171,0.4417338670901605,0.7642786502838135,0.822319741953503,,0.6953593924308915,0.5,0.10204026357445144,0.09459128792048753,0.0071227931258006074,0.6147636301303602,0.18637783204492153,1.0,0.6304003918630625,0.06835073948208145,0.2360924665011011,0.7100323763544275
K6X_D100_D130_D135_D165_D170_D230,01760c3660d3ba0cd0a5960d3899d61c6ce51c703445eb29e43fc16af24a4555,100.0,130.0,135.0,165.0,170.0,230.0,not_selected,,,0.17160426685700542,,0.02277499081736261,0.05089889358390461,0.02389778413555839,0.216182415786501,0.9366687855388095,0.5208142057161012,0.3523390540449657,0.2678759613798223,0.3523390540449657,0.46848443150520325,0.5732868340882389,,0.2601790273440824,0.5,0.013509573038193374,0.3527604092678948,0.031148700139921198,0.11210935302531949,0.13428812698380188,0.5861963529489304,0.2905203356443092,0.2562768965295027,0.32268875698152155,0.37738162470567416
K6X_D100_D140_D165_D190_D225_D230,21b70b358c2bfdf1aedcf8c0b7cff52623e49009d66f8ebdc8316f4e58399911,100.0,140.0,165.0,190.0,225.0,230.0,not_selected,,,0.2510835672602013,,0.07556902805766424,0.05329263968901201,0.2353752014311877,0.4067657833749598,3.2252146069889367,0.37521998533506706,0.4311290914892652,0.3466659988241218,0.4311290914892652,0.25252848863601685,0.4481736597689715,,0.588626874337514,0.5,0.49144158566766877,0.3792143579797113,0.7645457515913704,0.651187125496306,0.733050969255235,0.4108700663509089,0.5789822059848939,0.494813776063209,0.6369914455673498,0.5349322457949828
K6X_D100_D160_D165_D170_D175_D185,009cb5da671e1b9f08466acdf92d0b09479e0a511946bdc6aa0d053927a7858a,100.0,160.0,165.0,170.0,175.0,185.0,backup_rank_4,4,Frozen expansion backup with redundancy-aware composite score,0.2500754303094701,,0.05403136252594769,0.0665045094083656,0.05900745127688754,0.341057077110795,3.4192398112918654,0.4791254500410203,0.20834117715368972,0.1238780844885463,0.20834117715368972,0.39619389176368713,0.5388932939280163,,0.5844607529793436,0.5,0.29646616092299805,0.5252223757879744,0.15290792478042756,0.4653256652175374,0.7838146820512949,0.5359942590314973,0.5395185471821465,0.4135280404857103,0.7215295952340868,0.47391694036563725
