geometry_id,wavelength_nm,DoLP,psi_deg_mod_pi,psi_unwrapped_deg,DoLP_slope_local,psi_slope_local,P_LP_axisfree,S3_over_S0
BF01,435.0,0.5078827553431824,2.6250189973887005e-07,2.6250189973887005e-07,,,0.28181099914193064,1.0746404086900236e-08
BF01,436.0,0.2682788427241752,179.99999984331794,-1.566820877178152e-07,,,0.31070068252131056,1.490317259431702e-08
BF01,437.0,0.0738523376795681,179.99999584045042,-4.159549589856886e-06,,,0.33105723223998607,6.48488919674671e-09
BF01,438.0,0.007139202517246657,179.99994521103676,-5.478896326446816e-05,,,0.34709002011279233,1.1656636694845622e-08
BF01,439.0,0.1067555491827845,90.00000198763736,-89.99999801236267,,,0.443675327905945,1.2741790490465286e-08
BF01,440.0,0.2158210933924767,179.99999354481844,-6.455181595629303e-06,,,0.36482112587704085,5.608852010927151e-08
BF01,441.0,0.09830344841411615,89.99999931864602,-90.00000068135401,,,0.45458486758192107,3.0162796419365157e-09
BF01,442.0,0.8482843925169542,179.99999839061752,-1.6093825001478732e-06,,,0.37734010706509796,4.946099007291166e-08
BF01,443.0,0.15303015243024307,179.99999551768457,-4.4823154594864854e-06,,,0.3777549838353898,5.60288525473848e-09
BF01,444.0,0.05144004546313187,179.99999275032653,-7.249673493839597e-06,,,0.37657961022766245,2.267819619928184e-09
BF01,445.0,0.023329919886714307,179.99998320214104,-1.6797858972993457e-05,,,0.3702431114718545,8.423792559853307e-09
BF01,446.0,0.034772012539772225,179.9999889020641,-1.1097935912245599e-05,,,0.3600944477174807,6.295795751488471e-09
BF01,447.0,0.24370885624992342,179.99999728225248,-2.7177475388761443e-06,,,0.3405187594626896,1.8624006326956875e-08
BF01,448.0,0.17012968660342134,90.00000063822421,-89.99999936177582,,,0.4359781956442535,5.672347683879451e-09
BF01,449.0,0.31715502233325693,90.0000003303664,-89.99999966963362,,,0.4908599684771304,7.173487517643439e-09
BF01,450.0,0.5047474784003648,90.00000006895955,-89.99999993104048,,,0.49781895565149153,6.10346156433166e-09
BF01,451.0,0.8441552460515189,90.00000043748516,-89.99999956251487,,,0.4856531226696403,5.891915225514969e-09
BF01,452.0,0.9117482169165984,90.00000033254983,-89.9999996674502,,,0.4881839892973622,1.2595634536253808e-08
BF01,453.0,0.3330831002104414,90.00000066087203,-89.99999933912798,,,0.4879204006418523,1.3626854597769992e-08
BF01,454.0,0.032183296918391606,90.00002726354606,-89.99997273645397,,,0.48439288059415264,1.6882318206295583e-08
BF01,455.0,0.030129001890012528,90.00001134654802,-89.999988653452,,,0.49176939004740244,3.355763315204197e-08
BF01,456.0,0.7664968599839111,89.9999992757126,-90.00000072428743,,,0.48346482909509325,3.6766689078378676e-08
BF01,457.0,0.7839225766365715,89.99999971494879,-90.00000028505123,,,0.49313762176047904,9.108971777538084e-09
BF01,458.0,0.4402427786691233,89.99999942455787,-90.00000057544214,,,0.48659907889809983,2.6148048365595356e-09
BF01,459.0,0.2965261223097657,90.00000046780632,-89.99999953219371,,,0.49010019216849304,7.859632124629886e-10
BF01,460.0,0.2244414388148862,90.0000005557453,-89.99999944425473,,,0.492732296688609,2.2355753428679962e-09
BF01,461.0,0.16989163336264812,90.0000006891947,-89.99999931080531,,,0.4861327417588031,1.8494120529052649e-09
BF01,462.0,0.12945165984949084,90.00000117322116,-89.99999882677886,,,0.4951922914782931,1.0744178438149174e-08
BF01,463.0,0.058143800349609004,90.00000217492966,-89.99999782507037,,,0.4884822412340142,1.436427389214302e-08
BF01,464.0,0.009895843531680246,179.99998336276477,-1.6637235262025563e-05,,,0.4987826709748736,7.0142111308497186e-09
BF01,465.0,0.46485378924730486,89.99999912832462,-90.00000087167541,,,0.49496222764247033,3.876895426738525e-09
BF02,435.0,0.6721982282702684,57.196005399424905,57.196005399424905,,,0.37613695035169725,0.7395402517183979
BF02,436.0,0.6329263051890218,64.0914123598129,64.0914123598129,,,0.37696312858976966,0.7734440904442257
BF02,437.0,0.618168191474729,69.63258803005249,69.63258803005249,,,0.38031230208233974,0.7786817952930077
BF02,438.0,0.6163961870562357,77.70655785545247,77.70655785545247,,,0.3842588567455608,0.673980037038082
BF02,439.0,0.26041820480135575,10.251061529399863,10.251061529399863,,,0.3816734624657343,0.5119393571971855
BF02,440.0,0.3045657625019798,59.265834763363905,59.265834763363905,,,0.32835839728710925,0.9348615365373485
BF02,441.0,0.29038588243881147,64.13993516099877,64.13993516099877,,,0.31807053421201026,0.9553034452706827
BF02,442.0,0.3062947277541176,67.22584968429972,67.22584968429972,,,0.32565312837670357,0.9457030071554045
BF02,443.0,0.2538138094362145,66.01966698371118,66.01966698371118,,,0.30734839518462503,0.9623626914067228
BF02,444.0,0.38686585743773677,74.09416199471097,74.09416199471097,,,0.36577676994036074,0.8531783287911172
BF02,445.0,0.3493340830294859,49.63588808751881,49.63588808751881,,,0.35672169538012466,0.8805351534809944
BF02,446.0,0.3129297246975849,52.826771095653,52.826771095653,,,0.36062462200877415,0.7186869639453815
BF02,447.0,0.24764451602851606,56.46347950898095,56.46347950898095,,,0.4691711535392336,0.24969781577390499
BF02,448.0,0.06295587646880942,61.95741694827066,61.95741694827066,,,0.48945197300601145,0.005354551500158772
BF02,449.0,0.021508077632892288,69.22528719277479,69.22528719277479,,,0.4741025286813008,0.02043496552404767
BF02,450.0,0.14823423148904794,71.5091679817014,71.5091679817014,,,0.43966777542607133,0.15392332736659936
BF02,451.0,0.034268413167552775,165.10586644857727,-14.89413355142271,,,0.48042223211091917,0.022494528596441448
BF02,452.0,0.03474890984145651,169.08213640797717,-10.917863592022831,,,0.4691272590072513,0.03897449057992785
BF02,453.0,0.040801695039674,171.5670558559502,-8.432944144049786,,,0.47361596937007416,0.04400278501726874
BF02,454.0,0.035322129877968816,174.27705209145384,-5.722947908546156,,,0.4715066760252037,0.04100651777108702
BF02,455.0,0.031026577223307716,175.8372420629974,-4.162757937002586,,,0.47352800089202285,0.02725836660234642
BF02,456.0,0.020359043898560615,178.77065782593135,-1.229342174068647,,,0.4788636651834452,0.01757191575903605
BF02,457.0,0.028013014892522177,88.87167444089945,-91.12832555910055,,,0.47227588750284133,0.012398647378593333
BF02,458.0,0.06430862780869982,113.19964632679066,-66.80035367320933,,,0.351717096336108,0.5088962339587995
BF02,459.0,0.009665164966040892,94.84517119440315,-85.15482880559685,,,0.5002909546537355,0.027023256865330154
BF02,460.0,0.19000598725365894,175.12394289712566,-4.876057102874337,,,0.28521838598920396,0.9805539515023673
BF02,461.0,0.17434458818227896,0.08298038109352084,0.08298038109352084,,,0.38688485810151385,0.4785515103944387
BF02,462.0,0.11300707436490781,82.83139485109969,82.83139485109969,,,0.28242258830873224,0.028005621401809865
BF02,463.0,0.01604773829707989,104.09085590786337,104.09085590786337,,,0.3574592520269242,0.3210051372082116
BF02,464.0,0.0344453585416285,110.21368998472602,110.21368998472602,,,0.3831506807138993,0.2629601867362631
BF02,465.0,0.04138600573829996,113.27788454648288,113.27788454648288,,,0.3769179622879351,0.16095129489120802
BF03,435.0,0.8937615717688594,118.05839046952327,118.05839046952329,,,0.38217424195592065,0.30577224854838086
BF03,436.0,0.8981835252055137,124.21902837933862,124.21902837933864,,,0.3974409782383155,0.39901033425122395
BF03,437.0,0.8415457968312555,136.41023167704452,136.41023167704452,,,0.4178245329874033,0.5395480485578216
BF03,438.0,0.15385183702951097,27.76726641779307,207.76726641779305,,,0.08093870783081891,0.31010180652491404
BF03,439.0,0.8355494887720462,131.62968588206328,131.62968588206328,,,0.18309798594659094,0.15349909037628548
BF03,440.0,0.8244713971958156,143.129388788508,143.129388788508,,,0.2449069432230635,0.19392397404132114
BF03,441.0,0.7398746809959074,151.4543718296843,151.4543718296843,,,0.29258000271320705,0.20562196404944239
BF03,442.0,0.6177121011413937,157.1619620765191,157.1619620765191,,,0.3329927173088198,0.17244129168624353
BF03,443.0,0.4910853925981732,162.07130051796238,162.07130051796238,,,0.3789156924418041,0.14147061832929583
BF03,444.0,0.3933061037690105,165.32963528663794,165.32963528663794,,,0.4040476665355499,0.12788912894809354
BF03,445.0,0.29854896328554054,168.6257345184912,168.6257345184912,,,0.4480762679745419,0.08748134103590167
BF03,446.0,0.1352146399959889,170.43048179080964,170.43048179080964,,,0.45363921461466267,0.0544036659272241
BF03,447.0,0.21380812361780757,173.3889851924727,173.3889851924727,,,0.5035839337663923,0.0863072736299429
BF03,448.0,0.14516422392864217,64.32390973267206,244.32390973267204,,,0.3766959007221535,0.3113805416473621
BF03,449.0,0.009417707325168837,95.07127949107304,275.071279491073,,,0.3911920099377365,0.015665320409585234
BF03,450.0,0.06097381966092618,175.02911773624774,355.0291177362477,,,0.4625208936906771,0.013669233919899678
BF03,451.0,0.06484006498621275,176.25319571030803,356.25319571030803,,,0.4743475786579978,0.02114727565769376
BF03,452.0,0.05586092997039262,176.71320954807757,356.71320954807754,,,0.47647861418189247,0.02537356904408115
BF03,453.0,0.06338479653792083,178.34356969787007,358.34356969787007,,,0.4883045615934881,0.02236780359787441
BF03,454.0,0.05073667708758994,178.6176223847582,358.61762238475814,,,0.4813244657369469,0.025702156581238512
