geometry_id,wavelength_nm,diffraction_order_m,diffraction_order_n,J_xy_column_convention,txx_real,txx_imag,txy_real,txy_imag,tyx_real,tyx_imag,tyy_real,tyy_imag,S0,S1,S2,S3,DoLP,psi_deg,P_LP_axisfree,total_power,circular_contamination,sigma1,sigma2,sigma2_over_sigma1
BF01,435.0,0,0,x-input then y-input,0.5109026211038917,-0.5500913651685823,-5.759016108136925e-10,6.967147127936162e-10,-2.8220365518418356e-09,-5.1444985807388866e-09,-0.38737921391669855,0.1840726761066057,0.373783701873814,0.1898382964100473,1.7394968311566402e-09,-4.016830701433454e-09,0.5078827553431824,2.6250189973887005e-07,0.28181099914193064,0.186891850936907,1.0746404086900236e-08,0.7507476262259252,0.4288885699849865,0.5712819528195477
BF01,436.0,0,0,x-input then y-input,0.4475103613135536,-0.6489497989518402,-2.326187069262005e-09,-1.601006726331669e-09,-6.853120502021517e-09,-2.7942975041186938e-09,-0.47799437300514713,0.36060069351994595,0.4899564229171355,0.13144494212548566,-7.189034346562408e-10,-7.301905134428254e-09,0.2682788427241752,179.99999984331794,0.31070068252131056,0.24497821145856774,1.490317259431702e-08,0.788290152826116,0.5987582824409611,0.7595658531244363
BF01,437.0,0,0,x-input then y-input,0.3692910270303107,-0.7250783418602916,3.4138948764207067e-09,-5.279205660706745e-09,-4.912807448264244e-09,9.656939086217011e-11,-0.4713516616409045,0.590652622732183,0.6165786870760099,0.04553577740396175,-6.61159777407976e-09,-3.9984444667634875e-09,0.0738523376795681,179.99999584045042,0.33105723223998607,0.30828934353800497,6.48488919674671e-09,0.813704162752024,0.7556738116886463,0.928683723495879
BF01,438.0,0,0,x-input then y-input,0.2846745528232982,-0.7830328468208921,-1.86768007870757e-09,-7.610009399986978e-09,-6.287363019026031e-09,3.257454733897039e-09,-0.34630877561807893,0.7512714216587609,0.6892592786484222,0.004920761577153432,-9.410934889013822e-09,-8.034444999756022e-09,0.007139202517246657,179.99994521103676,0.34709002011279233,0.3446296393242111,1.1656636694845622e-08,0.8331746756986741,0.827247554889861,0.9928861006200858
BF01,439.0,0,0,x-input then y-input,0.19228644644204892,-0.8241312049108971,-5.943591532224514e-09,-8.015137447330635e-09,-3.68034152106312e-09,-1.373445669254755e-09,-0.17712848781246243,0.9251897938353839,0.8017584881025439,-0.08559216770934586,-5.938524340675988e-09,-1.021583867935482e-08,0.1067555491827845,90.00000198763736,0.443675327905945,0.40087924405127195,1.2741790490465286e-08,0.9419929170709781,0.8462661049535172,0.8983784162463633
BF01,440.0,0,0,x-input then y-input,0.0990147990240547,-0.8484328620040035,-5.948188813986622e-09,-2.8880088807487703e-09,-3.941420566120252e-08,2.55455853151552e-08,0.3092736039270428,0.6123346045709039,0.6001230408975536,0.12951921085652476,-2.918434928007202e-08,-3.366001324741961e-08,0.2158210933924767,179.99999354481844,0.36482112587704085,0.3000615204487768,5.608852010927151e-08,0.8541909925503113,0.6860057070032445,0.8031057608733086
BF01,441.0,0,0,x-input then y-input,0.0002798974485717353,-0.8639557375941568,-8.159128486881392e-09,-2.0665445894699587e-10,5.72826905843044e-09,-4.86332983637545e-09,0.254685879979349,0.9188606193014187,0.8277946650141437,-0.08137507014969841,1.9354035811682106e-09,-2.4968601957858192e-09,0.09830344841411615,89.99999931864602,0.45458486758192107,0.41389733250707184,3.0162796419365157e-09,0.9535039250909471,0.8639557829336205,0.9060851876946545
BF01,442.0,0,0,x-input then y-input,-0.10071998002543454,-0.862864821251783,-8.175061252539764e-10,2.7642799723207693e-09,-2.0846861876409506e-08,2.5689467210312735e-08,-0.1862448110526322,0.16510742621314434,0.408313902982478,0.3463663111477174,-1.945818259530036e-08,-2.019560990204816e-08,0.8482843925169542,179.99999839061752,0.37734010706509796,0.204156951491239,4.946099007291166e-08,0.868723324269699,0.24889273158282368,0.2865040279562631
BF01,443.0,0,0,x-input then y-input,-0.2017293991412723,-0.8454674548395578,-3.303458263831147e-09,1.495810624441104e-09,3.0147979328460907e-09,1.956200045511957e-08,-0.107743478887025,0.7371287248021534,0.6552386909209532,0.10027127674982517,-1.5688677048042563e-08,-3.6712271996951532e-09,0.15303015243024307,179.99999551768457,0.3777549838353898,0.3276193454604766,5.60288525473848e-09,0.8692007637311301,0.7449613507901779,0.8570647678591051
BF01,444.0,0,0,x-input then y-input,-0.3034250050402101,-0.8130759415772134,-1.9286416149441987e-09,1.5477702847622173e-09,7.800537473127575e-09,9.933156031426862e-09,0.07846147592566992,0.8205539372342842,0.7163120937852219,0.036847126670101815,-9.324583381730176e-09,1.6244666202779634e-09,0.05144004546313187,179.99999275032653,0.37657961022766245,0.35815604689261094,2.267819619928184e-09,0.8678474638179943,0.8242966499477716,0.9498174325720491
