model,new_m6_geometry_count,new_m6_rows,order_profile_mae,eta_plus1_mae,T_mae
LF_only,3,66,0.05846247315200005,0.050003485483717,0.26997041694683777
LF_global_bias,3,66,0.056847319953869394,0.06729998235151154,0.14393905113829386
LF_affine,3,66,0.05679430986605749,0.0658865002772402,0.14393905113829386
LF_ridge_residual,3,66,0.03775520865255066,0.044159510041091254,0.08821303427042852
LF_paired_shared_contrast,3,66,0.046833346788479675,0.09359621907549238,0.076019710149904
corrected_residual_mlp,3,66,0.03541172109648857,0.05979388293933227,0.07088531570051215
direct_mlp,3,66,0.06676088195937842,0.12290164801365423,0.12971959797008834
resmlp,3,66,0.057723223302756706,0.10465725539480175,0.0646903698588194
circular_cnn,3,66,0.044255476952633814,0.041916008118232824,0.12304046680945245
