model,variant,ranking_spearman,top3_recall,top5_recall,true_champion_geometry,true_champion_predicted_rank,near_champion_retrieval
LF_only,raw,0.9558823529411766,0.6666666666666666,0.8,K6X_D130_D145_D155_D180_D195_D230,3,2
LF_global_bias,raw,0.9558823529411766,0.6666666666666666,0.8,K6X_D130_D145_D155_D180_D195_D230,3,2
LF_affine,raw,0.9558823529411766,0.6666666666666666,0.8,K6X_D130_D145_D155_D180_D195_D230,3,2
LF_ridge_residual,raw,0.9352941176470588,0.6666666666666666,0.8,K6X_D130_D145_D155_D180_D195_D230,5,2
LF_paired_shared_contrast,raw,0.9352941176470588,0.6666666666666666,0.8,K6X_D130_D145_D155_D180_D195_D230,5,2
corrected_residual_mlp,raw,0.9088235294117648,0.6666666666666666,0.8,K6X_D130_D145_D155_D180_D195_D230,5,2
direct_mlp,raw,0.611764705882353,0.0,0.4,K6X_D130_D145_D155_D180_D195_D230,7,0
resmlp,raw,0.6882352941176471,0.0,0.6,K6X_D130_D145_D155_D180_D195_D230,5,1
circular_cnn,raw,0.8441176470588234,0.3333333333333333,0.6,K6X_D130_D145_D155_D180_D195_D230,7,1
