geometry_id,geometry_hash,case_hash,source_position,source_position_nm,dipole_orientation,case_count_per_geometry,solver_authorized,source_role,test_case_human_id,test_case_uid,test_geometry_id,source_z_pm,physics_contract_id,case_identity_contract_id,geometry_manifest_sha
V2_DOE_003,391ead889422de8638a22fe112be38ee40de3d6b9574211015653cccb6c3a91d,4d4dcfb043ab25a1b3f5a78623d90c8f6feaa1ca1e4854c71e1c4ea0fc20397f,top,-171.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_003,391ead889422de8638a22fe112be38ee40de3d6b9574211015653cccb6c3a91d,d5e6191e426157d818de6d2e936a322a414077a1ee454a3248c2ac64e5629b78,centroid,-276.0,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_003,391ead889422de8638a22fe112be38ee40de3d6b9574211015653cccb6c3a91d,8334a72017a4be8d9dfa124480fe980d579b2036a5e0b5cf752761255243f2ad,centroid,-276.0,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_003,391ead889422de8638a22fe112be38ee40de3d6b9574211015653cccb6c3a91d,b3748304f22c7fe4916e25570a5c8bd05eab787b594c9714d677a1d165416886,bottom,-380.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_003,391ead889422de8638a22fe112be38ee40de3d6b9574211015653cccb6c3a91d,9b9e9826899db61bbfd77ed4b413e4ceb4ad73b3e699139b972a23bc1eb38a53,bottom,-380.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_004,bb02463ca4ba8d623e65d621fd3460d468bf715d35850bdbe67d90a11b8b12cb,82c676f0f1df80c10c4a1fd2b11513ff7f0dc529a0235d8993e2929f5b79eaa0,top,-171.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_004,bb02463ca4ba8d623e65d621fd3460d468bf715d35850bdbe67d90a11b8b12cb,fcf15c701e20ec92f1e4fb4b32a84554517c23f9abe5b53835af4a518074caa7,top,-171.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_004,bb02463ca4ba8d623e65d621fd3460d468bf715d35850bdbe67d90a11b8b12cb,446db25d9f2902bd91be66d3a0d6fecae559f12ebf891266b6ddf0e7833d1422,centroid,-276.0,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_004,bb02463ca4ba8d623e65d621fd3460d468bf715d35850bdbe67d90a11b8b12cb,aa5e8f81d2c41f9648ef883d4901b996779dc042275df09a240320a3d06345e4,centroid,-276.0,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_004,bb02463ca4ba8d623e65d621fd3460d468bf715d35850bdbe67d90a11b8b12cb,931f8936e6c8385e73fcd2802ed7acfa2c1985d59b0be066817f4a073287487a,bottom,-380.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_004,bb02463ca4ba8d623e65d621fd3460d468bf715d35850bdbe67d90a11b8b12cb,6a8295e76b9e5a9fe6c1db908ba5a52a0d209b64f4c8cb1061ae474b62919570,bottom,-380.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_005,7c4eb9320d1fce687df19bd600f49ea264fde6cb2d36ca25d7918d28dc235483,b0cf04d5d58bc4d5a5c4743a3fa305edc6d65e49edd1a092cd4dc21e1c8ac0dc,top,-171.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_005,7c4eb9320d1fce687df19bd600f49ea264fde6cb2d36ca25d7918d28dc235483,ed66eba1f5f961aa6081e975b1ad71624a5ead92bcd823c19cc36ae412fa065a,top,-171.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_005,7c4eb9320d1fce687df19bd600f49ea264fde6cb2d36ca25d7918d28dc235483,994ff11df6db360ed3031bc48e08aec2610f8127fc719157ecb01f9e7453dc8b,centroid,-276.0,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_005,7c4eb9320d1fce687df19bd600f49ea264fde6cb2d36ca25d7918d28dc235483,22d94d54e026424e242f4388effa8cd21f2b08fb32ee7adab4e3396f534bef68,centroid,-276.0,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_005,7c4eb9320d1fce687df19bd600f49ea264fde6cb2d36ca25d7918d28dc235483,8a38ca1876eb5e509ea685104ce75147fa92a94232cfa075659b247414859bf7,bottom,-380.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_005,7c4eb9320d1fce687df19bd600f49ea264fde6cb2d36ca25d7918d28dc235483,0ef0d5d82c8a1635d12dca244c2854f4af8f78f0e3de93c415d8d386758cdf2a,bottom,-380.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_006,b0da4e33be85c12e3f2f074a4717c3dd741ee48288d5924465b7ce18654e59d8,ab7c1c1eed11b1c6d202b90cd65f38acdfbf6e20c2bc60e42953ab755f25e31c,top,-171.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_006,b0da4e33be85c12e3f2f074a4717c3dd741ee48288d5924465b7ce18654e59d8,932b3268b46905fa60673ac2ddd5302e048fd0fd66e584543c90a5b3604f9c09,top,-171.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
