geometry_hash,geometry_id,topology_family,physical_layer_count,total_thickness_nm,defect_thickness_nm,boundary_class,N,M,H_nm,L_nm,C_nm,source_role
9a2cb3a5d5e531f6de593bcea1cb27f8ed1f9eb895b684251656f2acdd8b0d74,V2_DOE_000,off_center_defect,9,700,130.0,unknown_in_doe_manifest,,,,,,DOE96_FORMAL_DEVELOPMENT
f0c87fb0117933dd74d380264f46f12148d61d477199abb354621227e692bcda,V2_DOE_001,grouped_chirped,10,713,131.0,unknown_in_doe_manifest,,,,,,DOE96_FORMAL_DEVELOPMENT
a2b34071ba3c5c2d1b118547a6511eba0b9d6c826c6549a0d117d3dbadbd4675,V2_DOE_002,dual_defect,11,726,132.0,unknown_in_doe_manifest,,,,,,DOE96_FORMAL_DEVELOPMENT
391ead889422de8638a22fe112be38ee40de3d6b9574211015653cccb6c3a91d,V2_DOE_003,termination_reversed,12,739,133.0,unknown_in_doe_manifest,,,,,,DOE96_FORMAL_DEVELOPMENT
bb02463ca4ba8d623e65d621fd3460d468bf715d35850bdbe67d90a11b8b12cb,V2_DOE_004,locally_aperiodic,13,752,134.0,unknown_in_doe_manifest,,,,,,DOE96_FORMAL_DEVELOPMENT
7c4eb9320d1fce687df19bd600f49ea264fde6cb2d36ca25d7918d28dc235483,V2_DOE_005,hybrid_periodic_aperiodic,14,765,135.0,unknown_in_doe_manifest,,,,,,DOE96_FORMAL_DEVELOPMENT
b0da4e33be85c12e3f2f074a4717c3dd741ee48288d5924465b7ce18654e59d8,V2_DOE_006,symmetric_periodic,15,778,136.0,unknown_in_doe_manifest,,,,,,DOE96_FORMAL_DEVELOPMENT
1b3d1f37c197e9d61b593c2ce3dd1c81b1a4fe933f7ab863ef6b145913f81b75,V2_DOE_007,asymmetric_pair_count,16,791,137.0,unknown_in_doe_manifest,,,,,,DOE96_FORMAL_DEVELOPMENT
623442b98c0e9cf519851f2957ca89b090d41e803430b162b3b8585acb06674d,V2_DOE_008,off_center_defect,17,804,138.0,unknown_in_doe_manifest,,,,,,DOE96_FORMAL_DEVELOPMENT
fc4e589be04814c28505986cd4a9840f845ff9d8508a739ddbb484650cb00d2c,V2_DOE_009,grouped_chirped,18,817,139.0,unknown_in_doe_manifest,,,,,,DOE96_FORMAL_DEVELOPMENT
