case_uid,geometry_id,geometry_hash,source_position,dipole_orientation,case_count_per_geometry,joint_profile_schema,labels_status,solver_status,case_identity_contract
7c71c5de42d10647321d85e22e40e36152e562daae70fc4567e7c2a781f26954,MDC_V3_AL_G000,1fb197282fa266a9bcd1a5a57df0fccc9b57b1f5fe190db47e04aa888ceae7f5,top,x,6,native_301x2000,NOT_GENERATED,NOT_AUTHORIZED,MDC_HF_SURROGATE_V3_AL64_CASE_UID_V1
21747392b3f632ddc9373a78a3e1b25bdad0972f91daa8271a80fdcc16876bb5,MDC_V3_AL_G000,1fb197282fa266a9bcd1a5a57df0fccc9b57b1f5fe190db47e04aa888ceae7f5,top,z,6,native_301x2000,NOT_GENERATED,NOT_AUTHORIZED,MDC_HF_SURROGATE_V3_AL64_CASE_UID_V1
7e31eaf4b375dd119a520319c911e4fe1472b59ba0fc8a4d5a8f50ae43ab352c,MDC_V3_AL_G000,1fb197282fa266a9bcd1a5a57df0fccc9b57b1f5fe190db47e04aa888ceae7f5,centroid,x,6,native_301x2000,NOT_GENERATED,NOT_AUTHORIZED,MDC_HF_SURROGATE_V3_AL64_CASE_UID_V1
261db73ee95c6dd6a791e39e61ddab93180979744d1025d8b6f8e99eb722d321,MDC_V3_AL_G000,1fb197282fa266a9bcd1a5a57df0fccc9b57b1f5fe190db47e04aa888ceae7f5,centroid,z,6,native_301x2000,NOT_GENERATED,NOT_AUTHORIZED,MDC_HF_SURROGATE_V3_AL64_CASE_UID_V1
133bdd74d124bd3f9f7108004bfc6ea27b843ee5a0e65b37da044ea4b5fc831d,MDC_V3_AL_G000,1fb197282fa266a9bcd1a5a57df0fccc9b57b1f5fe190db47e04aa888ceae7f5,bottom,x,6,native_301x2000,NOT_GENERATED,NOT_AUTHORIZED,MDC_HF_SURROGATE_V3_AL64_CASE_UID_V1
0ecaf03ed20596724d8b36a2f057a16d3cdba0ae7396eb77a766b2de86c1b26b,MDC_V3_AL_G000,1fb197282fa266a9bcd1a5a57df0fccc9b57b1f5fe190db47e04aa888ceae7f5,bottom,z,6,native_301x2000,NOT_GENERATED,NOT_AUTHORIZED,MDC_HF_SURROGATE_V3_AL64_CASE_UID_V1
25c5f4de267afab1e064bdbd82617a44761642cabf547738184b4eb18666b6e9,MDC_V3_AL_G001,46c3011af784c0606a32b1ffb3fea5414488cc7d8d5d4db613f351d4442c5f9f,top,x,6,native_301x2000,NOT_GENERATED,NOT_AUTHORIZED,MDC_HF_SURROGATE_V3_AL64_CASE_UID_V1
a273e9df96082368868b19ecb8d44eb5d254d44ca6d13be0231e5e96a037e688,MDC_V3_AL_G001,46c3011af784c0606a32b1ffb3fea5414488cc7d8d5d4db613f351d4442c5f9f,top,z,6,native_301x2000,NOT_GENERATED,NOT_AUTHORIZED,MDC_HF_SURROGATE_V3_AL64_CASE_UID_V1
0473f29e77ac3cda15d11228ceb0a701c02f69bb20fbe404e0f6c01c1d8aaa6c,MDC_V3_AL_G001,46c3011af784c0606a32b1ffb3fea5414488cc7d8d5d4db613f351d4442c5f9f,centroid,x,6,native_301x2000,NOT_GENERATED,NOT_AUTHORIZED,MDC_HF_SURROGATE_V3_AL64_CASE_UID_V1
60d969c5bf45760a0326fe31fed0127f3cce276a591e17a492cb1bd6e9ffb258,MDC_V3_AL_G001,46c3011af784c0606a32b1ffb3fea5414488cc7d8d5d4db613f351d4442c5f9f,centroid,z,6,native_301x2000,NOT_GENERATED,NOT_AUTHORIZED,MDC_HF_SURROGATE_V3_AL64_CASE_UID_V1
9847409aa198533b92cf83383f4cd641c3cd107005edd33579a1446d3f672e24,MDC_V3_AL_G001,46c3011af784c0606a32b1ffb3fea5414488cc7d8d5d4db613f351d4442c5f9f,bottom,x,6,native_301x2000,NOT_GENERATED,NOT_AUTHORIZED,MDC_HF_SURROGATE_V3_AL64_CASE_UID_V1
5fcabffdb9d3034f055c8523fa5dc244908963a153cc8a112b6a987acd75ac4d,MDC_V3_AL_G001,46c3011af784c0606a32b1ffb3fea5414488cc7d8d5d4db613f351d4442c5f9f,bottom,z,6,native_301x2000,NOT_GENERATED,NOT_AUTHORIZED,MDC_HF_SURROGATE_V3_AL64_CASE_UID_V1
488d328ef7a707a32aa42ddf9cf6e4dfdd318bbb787a761ccaca33e6ffc84c90,MDC_V3_AL_G002,d49e066cf701d2ddb200c8626fd037ae1d6988649757616f3ee853f714f40a45,top,x,6,native_301x2000,NOT_GENERATED,NOT_AUTHORIZED,MDC_HF_SURROGATE_V3_AL64_CASE_UID_V1
1df7450844c15482eaf86dbf3c1de1c63b9d32adf5d5b6ecc932a7a59b93a12d,MDC_V3_AL_G002,d49e066cf701d2ddb200c8626fd037ae1d6988649757616f3ee853f714f40a45,top,z,6,native_301x2000,NOT_GENERATED,NOT_AUTHORIZED,MDC_HF_SURROGATE_V3_AL64_CASE_UID_V1
fdebc135aa5cb78a89a84fc2222cb674e1758fa2ad54c62a0217d1ffbf072392,MDC_V3_AL_G002,d49e066cf701d2ddb200c8626fd037ae1d6988649757616f3ee853f714f40a45,centroid,x,6,native_301x2000,NOT_GENERATED,NOT_AUTHORIZED,MDC_HF_SURROGATE_V3_AL64_CASE_UID_V1
cc944e519fb1365ad7d13600bac3b7d36fb46eee0da07ceb3e9a0e10f9409094,MDC_V3_AL_G002,d49e066cf701d2ddb200c8626fd037ae1d6988649757616f3ee853f714f40a45,centroid,z,6,native_301x2000,NOT_GENERATED,NOT_AUTHORIZED,MDC_HF_SURROGATE_V3_AL64_CASE_UID_V1
