al_geometry_id,geometry_id,geometry_hash,topology_family,N,M,H_nm,L_nm,C_nm,boundary_class,boundary_detail,selection_stratum,selection_key,metadata_distance_to_base136,metadata_distance_to_doe96,metadata_distance_to_v2_test40,future_case_count,future_labels_status,future_solver_status
MDC_V3_AL_G000,GEO_1fb197282fa266a9,1fb197282fa266a9bcd1a5a57df0fccc9b57b1f5fe190db47e04aa888ceae7f5,ZL1,5,3.0,43,77,,interior,"{""H_nm"": {""boundary"": false, ""max"": 47, ""min"": 42, ""r"": 0.2, ""value"": 43}, ""L_nm"": {""boundary"": false, ""max"": 82, ""min"": 76, ""r"": 0.16666666666666666, ""value"": 77}, ""M"": {""boundary"": false, ""max"": 5, ""min"": 1, ""r"": 0.5, ""value"": 3}, ""N"": {""boundary"": false, ""max"": 6, ""min"": 2, ""r"": 0.75, ""value"": 5}}",ZL1_priority_interior_N4_5,5dea2cb30cba9f4eefb2614a543ba39adb5a244fc9959777c3ecdd1cbb23fd4d,0.02631578947368418,0.05060728744939269,0.02631578947368418,6,NOT_GENERATED,NOT_AUTHORIZED
MDC_V3_AL_G001,GEO_46c3011af784c060,46c3011af784c0606a32b1ffb3fea5414488cc7d8d5d4db613f351d4442c5f9f,ZL1,4,3.0,44,77,,interior,"{""H_nm"": {""boundary"": false, ""max"": 47, ""min"": 42, ""r"": 0.4, ""value"": 44}, ""L_nm"": {""boundary"": false, ""max"": 82, ""min"": 76, ""r"": 0.16666666666666666, ""value"": 77}, ""M"": {""boundary"": false, ""max"": 5, ""min"": 1, ""r"": 0.5, ""value"": 3}, ""N"": {""boundary"": false, ""max"": 6, ""min"": 2, ""r"": 0.5, ""value"": 4}}",ZL1_priority_interior_N4_5,537e42dd42b8032d49066b2a2533ca1a658acab1c183e034d3d36cdea9c16628,0.0053981106612685514,0.022941970310391357,0.0053981106612685514,6,NOT_GENERATED,NOT_AUTHORIZED
MDC_V3_AL_G002,GEO_d49e066cf701d2dd,d49e066cf701d2ddb200c8626fd037ae1d6988649757616f3ee853f714f40a45,ZL1,5,3.0,46,81,,interior,"{""H_nm"": {""boundary"": false, ""max"": 47, ""min"": 42, ""r"": 0.8, ""value"": 46}, ""L_nm"": {""boundary"": false, ""max"": 82, ""min"": 76, ""r"": 0.8333333333333334, ""value"": 81}, ""M"": {""boundary"": false, ""max"": 5, ""min"": 1, ""r"": 0.5, ""value"": 3}, ""N"": {""boundary"": false, ""max"": 6, ""min"": 2, ""r"": 0.75, ""value"": 5}}",ZL1_priority_interior_N4_5,b6fb3aa65a8438aa3cafb96b397c4631a1aea747684e2c7b024ab19b7369c913,0.004723346828609976,0.004723346828609976,0.013495276653171406,6,NOT_GENERATED,NOT_AUTHORIZED
MDC_V3_AL_G003,GEO_cf914dee9a4f380d,cf914dee9a4f380d8d7568302b730ee3c44ea1a1d3083b5416f3bcf80baeb6e7,ZL1,4,3.0,46,81,,interior,"{""H_nm"": {""boundary"": false, ""max"": 47, ""min"": 42, ""r"": 0.8, ""value"": 46}, ""L_nm"": {""boundary"": false, ""max"": 82, ""min"": 76, ""r"": 0.8333333333333334, ""value"": 81}, ""M"": {""boundary"": false, ""max"": 5, ""min"": 1, ""r"": 0.5, ""value"": 3}, ""N"": {""boundary"": false, ""max"": 6, ""min"": 2, ""r"": 0.5, ""value"": 4}}",ZL1_priority_interior_N4_5,05c3ec271fad377626a051a1cebf091e7a9dd5be0954f13a4b9d9649edcc9144,0.010796221322537103,0.01754385964912286,0.010796221322537103,6,NOT_GENERATED,NOT_AUTHORIZED
MDC_V3_AL_G004,GEO_f356452e0dd6e8de,f356452e0dd6e8deb11ff28d506c5dd154960a2e5c5851bae3e058b4b902322b,ZL1,5,3.0,45,79,,interior,"{""H_nm"": {""boundary"": false, ""max"": 47, ""min"": 42, ""r"": 0.6, ""value"": 45}, ""L_nm"": {""boundary"": false, ""max"": 82, ""min"": 76, ""r"": 0.5, ""value"": 79}, ""M"": {""boundary"": false, ""max"": 5, ""min"": 1, ""r"": 0.5, ""value"": 3}, ""N"": {""boundary"": false, ""max"": 6, ""min"": 2, ""r"": 0.75, ""value"": 5}}",ZL1_priority_interior_N4_5,34f174114954013d7e607219a0f17d408ce1a02de99ad016c3724b43d1a0580e,0.002024291497975672,0.019568151147098534,0.002024291497975672,6,NOT_GENERATED,NOT_AUTHORIZED
MDC_V3_AL_G005,GEO_ebf5ffde1489b6db,ebf5ffde1489b6db32dad5ec1f0099f6f58a96f997fe7a1b09b7976382f81b5d,ZL1,4,3.0,45,79,,interior,"{""H_nm"": {""boundary"": false, ""max"": 47, ""min"": 42, ""r"": 0.6, ""value"": 45}, ""L_nm"": {""boundary"": false, ""max"": 82, ""min"": 76, ""r"": 0.5, ""value"": 79}, ""M"": {""boundary"": false, ""max"": 5, ""min"": 1, ""r"": 0.5, ""value"": 3}, ""N"": {""boundary"": false, ""max"": 6, ""min"": 2, ""r"": 0.5, ""value"": 4}}",ZL1_priority_interior_N4_5,cf775d4db5e93e5a4f20e6efd24a847b499926a5da440b51066075b7b6fc1988,0.0026990553306343035,0.0026990553306343035,0.005398110661268496,6,NOT_GENERATED,NOT_AUTHORIZED
MDC_V3_AL_G006,GEO_2ddfe5b92dcd8f05,2ddfe5b92dcd8f0539201cb2ec7d03833414f251317fe3e004ed02b939a29417,ZL1,5,3.0,44,78,,interior,"{""H_nm"": {""boundary"": false, ""max"": 47, ""min"": 42, ""r"": 0.4, ""value"": 44}, ""L_nm"": {""boundary"": false, ""max"": 82, ""min"": 76, ""r"": 0.3333333333333333, ""value"": 78}, ""M"": {""boundary"": false, ""max"": 5, ""min"": 1, ""r"": 0.5, ""value"": 3}, ""N"": {""boundary"": false, ""max"": 6, ""min"": 2, ""r"": 0.75, ""value"": 5}}",ZL1_priority_interior_N4_5,09881214b65840ca9295e94527802083c0a3fcfa608308201e0513c9b9aa386e,0.010796221322537103,0.03508771929824561,0.010796221322537103,6,NOT_GENERATED,NOT_AUTHORIZED
MDC_V3_AL_G007,GEO_5ea84cc3ab9e400e,5ea84cc3ab9e400e6e21bd50531696f72eba5a86bcb21be921dae08e3ddbae6f,ZL1,4,3.0,43,79,,interior,"{""H_nm"": {""boundary"": false, ""max"": 47, ""min"": 42, ""r"": 0.2, ""value"": 43}, ""L_nm"": {""boundary"": false, ""max"": 82, ""min"": 76, ""r"": 0.5, ""value"": 79}, ""M"": {""boundary"": false, ""max"": 5, ""min"": 1, ""r"": 0.5, ""value"": 3}, ""N"": {""boundary"": false, ""max"": 6, ""min"": 2, ""r"": 0.5, ""value"": 4}}",ZL1_priority_interior_N4_5,2d19beb24ce79d849198bc0d6a99dec2f40418c33e11c493b4674cdfe082e6d1,0.002024291497975672,0.013495276653171406,0.002024291497975672,6,NOT_GENERATED,NOT_AUTHORIZED
MDC_V3_AL_G008,GEO_947cba6ab8dedbb7,947cba6ab8dedbb752fb61dacc7890c6a59f816038ee9fc027c86021a967577a,ZL1,5,3.0,46,80,,interior,"{""H_nm"": {""boundary"": false, ""max"": 47, ""min"": 42, ""r"": 0.8, ""value"": 46}, ""L_nm"": {""boundary"": false, ""max"": 82, ""min"": 76, ""r"": 0.6666666666666666, ""value"": 80}, ""M"": {""boundary"": false, ""max"": 5, ""min"": 1, ""r"": 0.5, ""value"": 3}, ""N"": {""boundary"": false, ""max"": 6, ""min"": 2, ""r"": 0.75, ""value"": 5}}",ZL1_priority_interior_N4_5,137620e0c063b3c7a2f5de6bd9c7f0cc9d8edffddba61bf060de690ecb5da48e,0.004048582995951455,0.004048582995951455,0.004723346828609976,6,NOT_GENERATED,NOT_AUTHORIZED
MDC_V3_AL_G009,GEO_cf2005008ac6a905,cf2005008ac6a9050a6b941d054cce0169508e71955269151fcf138b82d13f7c,ZL1,4,3.0,46,80,,interior,"{""H_nm"": {""boundary"": false, ""max"": 47, ""min"": 42, ""r"": 0.8, ""value"": 46}, ""L_nm"": {""boundary"": false, ""max"": 82, ""min"": 76, ""r"": 0.6666666666666666, ""value"": 80}, ""M"": {""boundary"": false, ""max"": 5, ""min"": 1, ""r"": 0.5, ""value"": 3}, ""N"": {""boundary"": false, ""max"": 6, ""min"": 2, ""r"": 0.5, ""value"": 4}}",ZL1_priority_interior_N4_5,0f7857408f515e8922a0554107440982fa0a7bdf28bde0585cd7b2529563f0b1,0.003373819163292824,0.010121457489878583,0.003373819163292824,6,NOT_GENERATED,NOT_AUTHORIZED
