wavelength_nm,C_source,source_linear_Stokes_angle_deg,x_y_S0_ratio,source_cancellation_fraction
400.00000000000006,0.13218425765443345,179.05055648220406,0.9642515458927263,0.8678157423455666
401.0000000000001,0.09158927952660435,179.02809741665607,0.994407818889319,0.9084107204733957
402.0000000000001,0.06402378827552083,179.0827329850792,1.0387673959237231,0.9359762117244792
403.0000000000001,0.017815318575391596,179.65417021285046,1.0053365573003605,0.9821846814246084
404.00000000000006,0.04478164890112302,179.6786323225926,1.0119782314858785,0.955218351098877
405.00000000000017,0.01608799362598356,179.60724322062347,1.0251866763149275,0.9839120063740164
406.00000000000006,0.022923634242323247,179.86322492601792,0.9867083617355779,0.9770763657576768
407.0000000000001,0.14288009219783837,178.6514608027314,0.9592566671111578,0.8571199078021616
408.00000000000006,0.21157099348857597,177.42594667594483,0.9466521306455737,0.788429006511424
409.0,0.20066398643057928,176.88328371602717,0.9309193353610338,0.7993360135694207
410.00000000000017,0.1661341203551309,177.10771063619802,0.912500610997592,0.8338658796448691
411.0,0.10616446292851986,178.54744976559354,0.9183917368648886,0.8938355370714801
412.0000000000001,0.12632537469318192,179.63884373857886,0.9022929420327068,0.873674625306818
413.0000000000001,0.09652470861385877,179.14730903485915,0.8601191401937698,0.9034752913861412
414.00000000000006,0.022870725297810923,179.8057652578527,0.8216688335140748,0.9771292747021891
415.0000000000001,0.08084477013729927,178.97618517733244,0.809443293621239,0.9191552298627007
416.0,0.09797165770865733,177.82307348144099,0.845482647645488,0.9020283422913427
417.00000000000006,0.15914687261205768,176.08901126925576,0.8953054558320138,0.8408531273879423
418.00000000000006,0.17622473851279105,174.87333610147996,0.9374943504632194,0.8237752614872089
419.0000000000001,0.08275064884832145,175.6127059385096,0.9286357278828287,0.9172493511516786
420.00000000000017,0.035829677783914805,176.88829173727146,0.865405482377581,0.9641703222160852
421.00000000000006,0.09276634265590358,178.02420544434617,0.8498654737890745,0.9072336573440964
422.00000000000006,0.11265716022219892,177.82340832327912,0.8511126875863286,0.887342839777801
423.0,0.10297409489886891,177.5522544682247,0.8789000499080609,0.8970259051011311
424.00000000000006,0.08167002972620309,177.55220873008162,0.9195414232419404,0.9183299702737969
425.0,0.05674331060161171,177.9958445349712,0.9618985929471342,0.9432566893983882
426.00000000000006,0.04720678407931673,178.57172915285435,1.0126503242488274,0.9527932159206832
427.00000000000017,0.06060143967639257,177.77130010791407,1.0627274049746998,0.9393985603236075
428.0,0.04520355389681362,178.18932328862843,1.100753891428009,0.9547964461031864
429.0000000000001,0.01940149658099363,179.12017153955748,1.1186499848863896,0.9805985034190063
430.00000000000006,0.019895453040880296,178.91698528493473,1.0869177575097209,0.9801045469591197
431.0000000000001,0.0091318813211859,178.95356322268086,1.0357812646395246,0.9908681186788141
432.0000000000001,0.04210669598809201,179.2718423203906,0.9749474752594639,0.957893304011908
433.0000000000001,0.05048635387819328,179.59538294256322,0.9471346516039846,0.9495136461218068
434.0000000000001,0.04742029642137841,179.66261330763265,0.9502484152120795,0.9525797035786215
435.0,0.02559187656853993,179.02435362938516,0.98666741015284,0.9744081234314601
436.0000000000001,0.05972061857561244,179.25987839297903,0.9862329588377535,0.9402793814243876
437.0000000000001,0.09356486158784948,179.23789747475078,0.9746710846988602,0.9064351384121505
438.00000000000006,0.13234217833939982,178.31310100385167,0.9800207176681035,0.8676578216606001
439.00000000000006,0.15907914543169246,177.77148469187532,0.9757148703106694,0.8409208545683076
440.00000000000006,0.17547509875146594,177.64867776848732,0.9819753654699354,0.8245249012485341
441.0000000000001,0.1610319064392797,176.98067322936492,0.9863741494091322,0.8389680935607203
442.0000000000001,0.12776426869224897,176.35940982047498,0.9875668783377624,0.872235731307751
443.0000000000001,0.07720144473386299,176.1540939081329,1.0076230064130198,0.922798555266137
444.00000000000006,0.06400230875307894,175.77925027437047,1.0004554055320702,0.935997691246921
445.00000000000006,0.048373466824938434,175.55305335735775,1.0177013344761223,0.9516265331750615
446.00000000000006,0.04319941450484833,175.21685498239498,1.0226632684718893,0.9568005854951517
447.00000000000006,0.04543779820399435,174.81810832951035,1.0220442735770616,0.9545622017960056
448.0000000000001,0.05935953592950611,174.0749620500718,1.0232538391200177,0.9406404640704938
449.00000000000006,0.08158143373742452,173.5764442174514,1.0443640712516504,0.9184185662625755
450.0000000000001,0.09583287757358874,173.63634809628047,1.082587929119002,0.9041671224264113
451.00000000000006,0.11858994900443025,174.0195447111913,1.1245796775777748,0.8814100509955698
452.00000000000006,0.1231500579835863,174.36280834417835,1.1038423799748909,0.8768499420164138
453.0000000000001,0.0771452619033443,174.7570425424128,1.0643323273834246,0.9228547380966557
454.0000000000001,0.04402659559777989,174.98392805247346,1.0473578148379565,0.9559734044022201
455.00000000000017,0.053095672468309846,175.24546955918828,1.0572647834437772,0.9469043275316902
456.0000000000001,0.06083773529207063,175.65746823679754,1.0595848969397463,0.9391622647079294
457.00000000000006,0.08209253454200711,176.49540843593002,1.0531052252465736,0.9179074654579928
458.0000000000001,0.11042174965255383,177.40102491398255,1.0286249764388917,0.8895782503474462
459.00000000000006,0.1342241998085628,178.34633843135342,0.9995993613412527,0.8657758001914372
460.0000000000001,0.10844734145296454,178.49492419496892,1.0024587230248747,0.8915526585470355
461.00000000000006,0.06520542077363851,177.97810089624733,1.0305374283419677,0.9347945792263614
462.00000000000017,0.05556858124217566,177.09650099537978,1.041216665029245,0.9444314187578243
463.0000000000001,0.03428142442479312,176.45527798152375,1.0830786309814504,0.9657185755752069
464.00000000000006,0.042096694652244165,176.32809909942122,1.1050227854196812,0.9579033053477558
465.00000000000017,0.04498723896316499,176.43217157306916,1.1219468086540962,0.955012761036835
466.0000000000001,0.02945938486404724,176.66166002887144,1.1376492360003856,0.9705406151359528
467.0000000000001,0.04022106292613912,176.91125087517673,1.1226397242875996,0.9597789370738609
468.00000000000006,0.06339619890524471,177.68508040557535,1.123098965376385,0.9366038010947553
469.00000000000006,0.08343916737811018,178.7292834086074,1.1335482394159462,0.9165608326218898
470.00000000000006,0.09179999881823649,179.68020420575294,1.1395342682895535,0.9082000011817635
471.0,0.09072927105620177,179.72327137290384,1.139497967948529,0.9092707289437982
472.0000000000001,0.08931434428795494,179.52362572084698,1.15492289814153,0.9106856557120451
473.0,0.10463926811121585,179.59580416585487,1.1786345262068212,0.8953607318887842
