wavelength_nm,S0,S1,S2,S3,DoLP,DoCP,psi_deg,useful_LP_axisfree,useful_LP_over_S0
400.00000000000006,2.7603931108750235,0.18468616555429906,0.01314403107043103,-0.013428147033484978,0.06707497617942124,-0.004864577795308422,2.035425469550273,1.472773206516402,0.5335374880897106
401.0000000000001,3.0025149771932345,0.13688681358895904,0.01357228921082202,-0.025406042309085806,0.04581426351619524,-0.008461587203416882,2.83117698588646,1.5700364947848442,0.5229071317580977
402.0000000000001,3.204341588549129,0.08613926906571678,0.01047676914815982,-0.022927091664071392,0.027080150832066205,-0.007155008612690505,3.4672962211542506,1.645557821042251,0.5135400754160331
403.0000000000001,3.1833494852838946,-0.020112945947027505,0.003706921319373356,-0.011417950511418798,0.006424583878073309,-0.0035867725376061035,84.77863808759504,1.6019005905326613,0.5032122919390366
404.00000000000006,3.2198843634539287,-0.05170038208040917,-0.0031040407906432355,-0.00934824761550624,0.01608550935728941,-0.0029032867520368015,91.71792929489163,1.6358389217558285,0.5080427546786447
405.00000000000017,3.1379272254094834,-0.019951721709938197,-0.0045250146776371365,-0.011314157618018317,0.0065197242412015416,-0.003605615046264139,96.38920534058641,1.579192822804056,0.5032598621206008
406.00000000000006,3.150312806443057,-0.029952267676563782,-0.00148777363331411,0.0034361387887192722,0.009519434011556816,0.0010907293973130671,91.42181468539235,1.590151000659877,0.5047597170057784
407.0000000000001,3.258498552797926,-0.1795134974952357,0.015065952314036669,0.009089849331981757,0.05528454349679282,0.00278958212952917,87.60130218151095,1.7193215788871596,0.5276422717483964
408.00000000000006,3.3803953499044783,-0.2673984675779354,0.0292105046169472,-0.00242381766552233,0.07957329844554842,-0.0007170219499890216,86.88287563674433,1.8246922789731856,0.5397866492227742
409.0,3.4353072323825113,-0.24970981030754424,0.035452191633516546,-0.010956206984915893,0.07341814714531315,-0.0031892946522041822,85.95975831340255,1.8437605621294646,0.5367090735726566
410.00000000000017,3.4267175736906212,-0.1966562957997703,0.03130948631328982,-0.017656981137336016,0.05811190253033107,-0.005152738957217069,85.47695426775236,1.8129253256659517,0.5290559512651656
411.0,3.3926267601463502,-0.12168390599999013,0.01630131499261236,-0.01921239940431873,0.03618757894720521,-0.005662986459344543,86.18491602599424,1.7576988544337737,0.5180937894736026
412.0000000000001,3.365247523509804,-0.14342895408892503,0.008028776062572669,-0.013227147312423745,0.042687348322132196,-0.003930512457112937,88.39803822455417,1.75445050836803,0.5213436741610661
413.0000000000001,3.3382280104568762,-0.11431972234299181,0.013006923025422624,-0.014097775863976718,0.034466574844936405,-0.004223131499650699,86.75449356694268,1.7266426480143757,0.5172332874224682
414.00000000000006,3.4154198016069213,-0.02855541869808209,0.0030250785966088115,-0.01739951098833342,0.008407518651617691,-0.005094398931618046,86.97640258075144,1.722067503646018,0.5042037593258089
415.0000000000001,3.597712477308959,0.10821192670134272,-0.015384745135634195,-0.027531927321536784,0.030380442815987493,-0.007652620239994914,175.9541758600659,1.8535062877471042,0.5151902214079938
416.0,3.652591911135688,0.13216210238554094,-0.03149078236284477,-0.041436189117724516,0.037196060061006654,-0.01134432483174418,173.29890704443585,1.8942269696203191,0.5185980300305033
417.00000000000006,3.677313940481338,0.22295579409926525,-0.058017404619289066,-0.0537938418591631,0.0626492018716349,-0.014628569311686728,172.70700706224991,1.9538473619419652,0.5313246009358175
418.00000000000006,3.7804221863776912,0.25142217267993805,-0.07758411298564265,-0.050104676203482405,0.06960082720832513,-0.013253725042676117,171.42538326051042,2.0217713488731417,0.5348004136041625
419.0000000000001,3.710103290435022,0.10485295068245537,-0.061277295184543966,-0.022838059926039638,0.032733767723051164,-0.006155639921108989,164.84874176949432,1.9157744748863248,0.5163668838615256
420.00000000000017,3.5030833356422404,-0.035020329161878694,-0.03662577045577792,-0.014234680342071511,0.014465587993574463,-0.004063471798469729,113.14183270142799,1.7768787479413988,0.5072327939967872
421.00000000000006,3.2562075796661176,-0.12527198963592312,-0.017282009742755705,-0.012210425882156598,0.03883611397860222,-0.0037498917324578617,93.9273556193535,1.6913330141840097,0.5194180569893011
422.00000000000006,3.0185470862838355,-0.14017052666776875,-0.017242554625564007,-0.008678739011940315,0.04678643569694815,-0.0028751378606536168,93.5063981258164,1.5798870727172323,0.523393217848474
423.0,2.841963157980512,-0.11660946116897053,-0.01917764961231607,-0.010685640370143117,0.0415824963293271,-0.003759950349861781,94.66964517231668,1.4800695402826598,0.5207912481646636
424.00000000000006,2.7762180872245428,-0.09175301217127618,-0.019916708448297023,-0.01043337854358238,0.03381930943803374,-0.003758126420829172,96.12356180424936,1.4350539328919278,0.5169096547190168
425.0,2.8744896879497497,-0.06732120984615819,-0.01736954607776512,-0.003125445622540128,0.02418720409614911,-0.0010873045172652453,97.23368306359265,1.4720077783522332,0.5120936020480745
426.00000000000006,3.09077598915509,-0.058666225375993974,-0.011674020752065695,0.00669537063213714,0.019353217170091367,0.002166242605620675,95.62715274992458,1.5752962240486563,0.5096766085850457
427.00000000000017,3.376059547508076,-0.07437466291566963,-0.019381277103745334,0.0109707190734015,0.022765732878060493,0.003249563261257985,97.30293195268334,1.7264590086735352,0.5113828664390302
428.0,3.5553773241974316,-0.05564947938025655,-0.016158894369354186,0.013304278983268745,0.016298701038197555,0.0037420160422134575,98.09583463214831,1.8066626781412563,0.5081493505190988
429.0000000000001,3.624410470733787,-0.02525677043360708,-0.008762514686314525,0.014310877984783588,0.0073759896111652845,0.0039484705444762305,99.5667828062584,1.8255720423562591,0.5036879948055827
430.00000000000006,3.5674285694212253,0.024738186169398935,-0.015207878919004061,0.015980015846444325,0.008140007477291919,0.004479421391480559,164.20937287841141,1.7982337323255095,0.504070003738646
431.0000000000001,3.50667574721526,-0.0007061020486159864,-0.014108302987298673,0.017741649926738167,0.0040283056360902155,0.00505939277129551,133.56740607195027,1.760400854445854,0.5020141528180451
432.0000000000001,3.4494146668826873,-0.06858993462006191,-0.008221620057313136,0.023894008179694566,0.020026854247666287,0.0069269747151878705,93.41761012779759,1.7592477958280546,0.5100134271238331
433.0000000000001,3.4811603963052353,-0.08557359801854458,-0.0034362372414561346,0.023845831002790467,0.02460172819505247,0.006849966186016444,91.14974815431484,1.783401479089259,0.5123008640975263
434.0000000000001,3.563816872426462,-0.08116929425755204,0.007569294466659146,0.02559552438324711,0.022874761409870575,0.007182053764120638,87.33619708937418,1.822669166545844,0.5114373807049353
435.0,3.6919143105981527,-0.040007676761194766,0.01559589312949557,0.015150892973829176,0.011630830320578212,0.004103804069974331,79.351521790863,1.867427169751417,0.5058154151602892
436.0000000000001,3.9083189190990906,-0.10196419479034102,0.014423850096484583,0.0074625136773416,0.026348755603399346,0.0019093922046314964,85.97418251220047,2.0056491295592873,0.5131743778016997
437.0000000000001,4.161385721184553,-0.17173391882577538,0.01743025455551296,0.0006529508358127656,0.04148046155542644,0.00015690706883737297,87.10228529787986,2.167000960804725,0.5207402307777133
438.00000000000006,4.332839559476673,-0.24768926800336644,0.03499504750832635,-0.003969478439765261,0.05773331915659128,-0.0009161378780073501,85.9790657732172,2.291494384309122,0.5288666595782956
439.00000000000006,4.39808732831791,-0.3011244414106602,0.045203366872923534,-0.0033194070462086236,0.06923427707704416,-0.0007547387758392152,85.73138859890436,2.3512928625078544,0.5346171385385221
440.00000000000006,4.4476242116773035,-0.3282071600309495,0.047823613236762985,-0.002041909340383407,0.07457309185344918,-0.000459101138765803,85.85484040396949,2.3896486502721697,0.5372865459267246
