geometry_a,geometry_b,normalized_six_distance
BF01,BF02,1.2950092580519654
BF01,BF03,1.7591915946806753
BF01,BF04,1.8690714878436012
BF01,BF05,1.4978585278801637
BF01,BF06,1.7226415477387929
BF01,BF07,1.5866257809591462
BF01,BF08,1.845528123214911
BF02,BF03,0.9341000029354024
BF02,BF04,1.0258166777752158
BF02,BF05,1.2537652550732081
BF02,BF06,1.0095327634608438
BF02,BF07,0.9174922830510035
BF02,BF08,0.901393338625494
BF03,BF04,1.2527561226725892
BF03,BF05,1.5008793741954578
BF03,BF06,1.6279602788519822
BF03,BF07,1.2439157305868747
BF03,BF08,1.2366349348916497
BF04,BF05,1.4983718258993401
BF04,BF06,1.0781167157625346
BF04,BF07,1.2316151605294996
BF04,BF08,1.6498189058654853
BF05,BF06,1.1943103591586306
BF05,BF07,1.2983621172102449
BF05,BF08,1.9045443020283488
BF06,BF07,1.5661960138030957
BF06,BF08,1.7407733574249469
BF07,BF08,1.2291157490738058
