stage,case_id,status,structure_type,source_proxy,wavelength_um,approximate_num_terms,slab_permittivity,slab_thickness_um,true_flux_metric_extracted,flux_metric_api,flux_metric_label,top_outward_flux_abs,bottom_outward_flux_abs,total_outward_flux_abs,up_down_balance_ratio,source_region_directional_flux_abs_sum,amplitude_norm_proxy,raw_top_directional_flux_forward,raw_top_directional_flux_backward,raw_bottom_directional_flux_forward,raw_bottom_directional_flux_backward,forward_amp_N_start,backward_amp_0_end,runtime_seconds,jax_devices
FMM2C2,homogeneous_air_gaussian_source,ok,homogeneous_air,gaussian_source,0.453,1,na,0.0,True,fmmax.fields.directional_poynting_flux,absolute outward directional Poynting flux magnitude at top/bottom exterior layers,0.125,0.125,0.25,1.0,0.25,1.0,"[[0.0], [0.0]]","[[0.0], [-0.125]]","[[0.0], [0.125]]","[[0.0], [0.0]]","[[""0j""], [""(-0.5+0j)""]]","[[""0j""], [""(0.5+0j)""]]",9.08904689969495,"[""cpu:0""]"
FMM2C2,dielectric_slab_mid_gaussian_source,ok,dielectric_slab_mid_source,gaussian_source,0.453,1,2.25,0.2,True,fmmax.fields.directional_poynting_flux,absolute outward directional Poynting flux magnitude at top/bottom exterior layers,0.06402400881052017,0.06402400881052017,0.12804801762104034,1.0,0.13338333368301392,0.715675950050354,"[[0.0], [0.0]]","[[0.0], [-0.06402400881052017]]","[[0.0], [0.06402400881052017]]","[[0.0], [0.0]]","[[""0j""], [""(0.12495964020490646-0.3353104591369629j)""]]","[[""0j""], [""(-0.12495963275432587+0.3353104591369629j)""]]",0.08315060008317232,"[""cpu:0""]"
