stage,attempt,status,runtime_seconds,error,notes
FMM2C2,tiny_metric_case_homogeneous_air_gaussian_source,ok,9.08904689969495,,absolute outward directional Poynting flux magnitude at top/bottom exterior layers
FMM2C2,tiny_metric_case_dielectric_slab_mid_gaussian_source,ok,0.08315060008317232,,absolute outward directional Poynting flux magnitude at top/bottom exterior layers
