geometry_id,wavelength_nm,S0,S1,S2,S3,DoLP,psi_deg,total_power,polarized_lp_excess_power,axis_free_useful_lp_power,useful_lp_power,circular_contamination,sigma1,sigma2,sigma2_over_sigma1,dominant_u1_overlap_adjacent,dominant_u1_drift_angle_deg
BF04R_C01,435.0,0.657288141304443,0.29417201559959827,-0.00717539388271311,-0.058271980882859335,0.4476872388083813,179.3013640665087,0.3286440706522215,0.14712975654103963,0.4757738271932611,0.4757738271932611,0.08865515322886207,0.9783976431661953,0.5977577556633795,0.6109558417669262,,
BF04R_C01,436.0,0.681606624909869,0.2957958261689425,-0.009659369277146097,-0.05824730272760503,0.4341998584483188,179.06482032142546,0.3408033124549345,0.14797675002665073,0.48878006248158523,0.48878006248158523,0.08545589288441446,0.9915833613112331,0.6164216798511023,0.6216539162536663,0.9999916261129965,0.23447766544184281
BF04R_C01,437.0,0.5145089326795923,0.27217646224704783,-0.005073114662394702,-0.005700160472015581,0.5290942875949722,179.46609195562286,0.25725446633979615,0.13611186859867921,0.3933663349384754,0.3933663349384754,0.011078836750858368,0.8870131576673788,0.49216412250806196,0.5548554925637514,0.996220087366835,4.98328132811459
BF04R_C01,438.0,0.5975519412530771,0.3535486718248162,0.0021657018671112764,-0.055358941439376835,0.5916729249435424,0.17548365269999097,0.29877597062653855,0.17677765244344998,0.4755536230699885,0.4755536230699885,0.09264289447924501,0.9774533216892033,0.4895803166232246,0.500873346849083,0.9976677023506847,3.9139390860599987
BF04R_C01,439.0,0.5813584383054323,0.3970237109270107,0.0029916104005772277,-0.058570077371209464,0.6829435261229247,0.2158604149740807,0.29067921915271616,0.19851749089881437,0.48919671005153054,0.48919671005153054,0.100746929109573,0.9913073486757663,0.4242954360728943,0.4280160301844706,0.9999899571770676,0.25678278009881567
BF04R_C01,440.0,0.5568071712945362,0.41101781620237776,3.874768714434529e-05,-0.0664212638637091,0.7381690452607003,0.0027007088807001166,0.2784035856472681,0.20550890901439947,0.4839124946616675,0.4839124946616675,0.11928952658652814,0.9864873550279595,0.3747759877033384,0.379909570855793,0.9999695931747962,0.4468114249518044
BF04R_C01,441.0,0.5309793850427907,0.43716530925049796,0.003241830840729924,-0.069542125712527,0.8233414354967503,0.2124365961045282,0.26548969252139537,0.21858866455015652,0.4840783570715519,0.4840783570715519,0.13096953981918286,0.9867386787769469,0.29716249745064865,0.30115622691407895,0.999992706802367,0.21882497391372308
BF04R_C01,442.0,0.5134541034163259,0.45307693346042666,0.001359457748421168,-0.07682247825443447,0.8824137736329786,0.08595776115287909,0.25672705170816296,0.22653948649146888,0.48326653819963183,0.48326653819963183,0.14961897810006247,0.9864075231988956,0.23218183608816656,0.23538125027190235,0.9999845971520847,0.31800848023814615
BF04R_C01,443.0,0.4955629498556076,0.4685217667450223,0.0050901077455056155,-0.08002864632257596,0.9454891976994012,0.3112237663084549,0.2477814749278038,0.23427470793426353,0.4820561828620673,0.4820561828620673,0.1614903744234591,0.98534142073102,0.14222582150576613,0.14434166524761485,0.999992305856932,0.22475948973014384
BF04R_C01,444.0,0.48809485167310784,0.47572932627117503,0.0028139220837571635,-0.08657944446157137,0.9746827828490155,0.16944927520220557,0.24404742583655392,0.23786882416151112,0.48191624999806504,0.48191624999806504,0.17738241689047007,0.9857213691002739,0.06740241720663416,0.06837877245996637,0.9999823122513142,0.34078035412437657
