candidate_id,score,normal_peak_strength,offaxis_peak_strength_20_30,normal_offaxis_ratio,peak_angle_abs_deg_453,angular_fwhm_deg_453,spectral_peak_nm_normal_window,spectral_fwhm_nm_normal_window,top_R_proxy,bottom_R_proxy,top_outcoupling_proxy,failure_mode,pass_level
R2_4B_OPT_06361,32.461814,0.46492485,0.02210739,21.030296,7.0,12.986,452.25,5.462,0.505809,0.979361,0.494191,none,acceptable_proxy_pass
R2_4B_OPT_06176,32.183068,0.45529339,0.02361499,19.279846,7.0,13.079,453.75,4.996,0.492147,0.902146,0.507853,none,acceptable_proxy_pass
R2_4B_OPT_06024,31.918772,0.44481296,0.02591633,17.163421,7.0,12.876,452.5,5.796,0.503633,0.883258,0.496367,none,acceptable_proxy_pass
R2_4B_OPT_02167,31.440454,0.40359444,0.02276799,17.726394,7.0,12.823,452.0,6.046,0.50546,0.864888,0.49454,none,acceptable_proxy_pass
R2_4B_OPT_06129,31.116055,0.37541233,0.01997022,18.798604,7.0,13.109,451.5,4.971,0.487521,0.942613,0.512479,none,acceptable_proxy_pass
R2_4B_OPT_06159,31.107862,0.57463262,0.04587066,12.527236,7.0,27.605,453.5,5.268,0.413155,0.972451,0.586845,angular_fwhm_broad,fail_proxy
R2_4B_OPT_00923,31.093149,0.59957892,0.05391594,11.120625,7.0,27.772,452.75,5.499,0.388269,0.939092,0.611731,angular_fwhm_broad,fail_proxy
R2_4B_OPT_06007,30.871949,0.40335935,0.02582835,15.616921,7.0,13.317,454.75,6.304,0.456404,0.865379,0.543596,none,acceptable_proxy_pass
R2_4B_OPT_05179,30.7654,0.5526602,0.04976782,11.10477,7.0,27.77,453.25,5.975,0.388481,0.816806,0.611519,angular_fwhm_broad,fail_proxy
R2_4B_OPT_06248,30.736449,0.43334848,0.03822216,11.337625,7.5,13.523,452.25,5.924,0.458324,0.797408,0.541676,none,acceptable_proxy_pass
R2_4B_OPT_06534,30.679118,0.59794419,0.06311609,9.473721,7.0,28.514,453.25,6.073,0.351824,0.847601,0.648176,angular_fwhm_broad,fail_proxy
R2_4B_OPT_06207,30.636233,0.51510011,0.03896609,13.219188,7.0,27.522,453.75,6.641,0.425361,0.845638,0.574639,angular_fwhm_broad,fail_proxy
R2_4B_OPT_00277,30.597878,0.639901,0.07393037,8.655456,7.0,28.67,453.75,5.742,0.328588,0.954986,0.671412,angular_fwhm_broad,fail_proxy
R2_4B_OPT_06225,30.478751,0.59310753,0.06526578,9.087572,7.0,28.582,453.0,7.372,0.341686,0.79989,0.658314,angular_fwhm_broad,fail_proxy
R2_4B_OPT_06554,30.431587,0.6968213,0.09955465,6.999385,7.0,29.56,452.25,5.919,0.270256,0.951595,0.729744,angular_fwhm_broad,fail_proxy
R2_4B_OPT_06320,30.393919,0.89882971,0.2052864,4.378418,7.0,31.723,453.25,6.874,0.097227,0.918984,0.902773,angular_fwhm_broad,fail_proxy
R2_4B_OPT_04998,30.35161,0.38959001,0.03290486,11.839891,7.5,13.039,454.0,5.368,0.487278,0.836341,0.512722,none,acceptable_proxy_pass
R2_4B_OPT_06685,30.344255,0.99193865,0.26100052,3.800524,7.0,32.691,452.5,6.966,0.027636,0.970145,0.972364,angular_fwhm_broad,fail_proxy
R2_4B_OPT_06356,30.326004,0.93310142,0.22863816,4.081127,7.0,31.943,453.0,8.067,0.064415,0.911365,0.935585,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy
R2_4B_OPT_04474,30.310898,0.75360157,0.13162277,5.725465,7.0,30.5,453.0,7.603,0.204598,0.851346,0.795402,angular_fwhm_broad,fail_proxy
