candidate_id,stack,layer_index,material,thickness_nm
R2_4B_OPT_06361,top,0,SiO2_termination,63.0
R2_4B_OPT_06361,top,1,TiO2,47
R2_4B_OPT_06361,top,2,SiO2,109
R2_4B_OPT_06361,top,3,TiO2,46
R2_4B_OPT_06361,top,4,SiO2,112
R2_4B_OPT_06361,top,5,TiO2,45
R2_4B_OPT_06361,top,6,SiO2,114
R2_4B_OPT_06361,top,7,TiO2,44
R2_4B_OPT_06361,top,8,SiO2,116
R2_4B_OPT_06361,top,9,TiO2,43
R2_4B_OPT_06361,top,10,SiO2,119
R2_4B_OPT_06361,top,11,TiO2,42
R2_4B_OPT_06361,top,12,SiO2,121
R2_4B_OPT_06361,top,13,TiO2,41
R2_4B_OPT_06361,top,14,SiO2,124
R2_4B_OPT_06361,top,15,TiO2,40
R2_4B_OPT_06361,top,16,SiO2,127
R2_4B_OPT_06361,bottom,0,SiO2_termination,61.0
R2_4B_OPT_06361,bottom,1,TiO2,46
R2_4B_OPT_06361,bottom,2,SiO2,82
R2_4B_OPT_06361,bottom,3,TiO2,46
R2_4B_OPT_06361,bottom,4,SiO2,82
R2_4B_OPT_06361,bottom,5,TiO2,46
R2_4B_OPT_06361,bottom,6,SiO2,82
R2_4B_OPT_06361,bottom,7,TiO2,46
R2_4B_OPT_06361,bottom,8,SiO2,82
R2_4B_OPT_06361,bottom,9,TiO2,46
R2_4B_OPT_06361,bottom,10,SiO2,82
R2_4B_OPT_06361,bottom,11,TiO2,46
R2_4B_OPT_06361,bottom,12,SiO2,82
R2_4B_OPT_06361,bottom,13,TiO2,46
R2_4B_OPT_06361,bottom,14,SiO2,82
R2_4B_OPT_06361,bottom,15,TiO2,46
R2_4B_OPT_06361,bottom,16,SiO2,82
R2_4B_OPT_06361,bottom,17,TiO2,46
R2_4B_OPT_06361,bottom,18,SiO2,82
R2_4B_OPT_06361,bottom,19,TiO2,46
R2_4B_OPT_06361,bottom,20,SiO2,82
R2_4B_OPT_06361,bottom,21,TiO2,46
R2_4B_OPT_06361,bottom,22,SiO2,82
