candidate_id,top_pair_count,bottom_pair_count,cavity_spacer_nm,top_termination_nm,bottom_termination_nm,top_high_scale,top_low_scale,bottom_high_scale,bottom_low_scale,top_chirp,bottom_chirp,valid,score,pass_level,failure_mode,top_R_proxy,bottom_R_proxy,top_outcoupling_proxy,extraction_proxy,normal_peak_strength,offaxis_peak_strength_20_30,normal_offaxis_ratio,eta10_proxy,eta25_proxy,peak_angle_abs_deg_453,angular_fwhm_deg_453,angular_fwhm_bounded,spectral_peak_nm_normal_window,spectral_fwhm_nm_normal_window,spectral_fwhm_bounded,model_lam0_nm,model_spec_fwhm_nm,model_angle_fwhm_deg,total_stack_thickness_nm
R2_4B_OPT_06361,8,12,336.0,63.0,61.0,0.8422,1.1754,0.8808,0.8178,-0.0757,0.0041,True,32.461814,acceptable_proxy_pass,none,0.505809,0.979361,0.494191,0.48756082,0.46492485,0.02210739,21.030296,0.665756,0.953317,7.0,12.986,True,452.25,5.462,True,452.217,5.355,11.984,3285.0
R2_4B_OPT_06176,10,12,242.0,46.0,63.0,0.75,1.1216,0.8887,0.9197,0.0746,-0.0248,True,32.183068,acceptable_proxy_pass,none,0.492147,0.902146,0.507853,0.47555121,0.45529339,0.02361499,19.279846,0.661803,0.953719,7.0,13.079,True,453.75,4.996,True,453.708,4.907,12.162,3522.0
R2_4B_OPT_06024,6,11,327.0,70.0,74.0,0.9421,0.8762,0.923,0.8828,-0.0572,-0.0562,True,31.918772,acceptable_proxy_pass,none,0.503633,0.883258,0.496367,0.45870119,0.44481296,0.02591633,17.163421,0.644869,0.95403,7.0,12.876,True,452.5,5.796,True,452.572,5.732,12.042,2791.0
R2_4B_OPT_02167,6,10,333,65,62,0.9602,0.859,0.9345,0.8625,-0.0668,-0.033,True,31.440454,acceptable_proxy_pass,none,0.50546,0.864888,0.49454,0.45110827,0.40359444,0.02276799,17.726394,0.647564,0.953835,7.0,12.823,True,452.0,6.046,True,451.892,5.871,12.015,2625
R2_4B_OPT_06129,7,10,257.0,71.0,23.0,1.0858,0.7716,0.8869,0.7968,0.1045,0.078,True,31.116055,acceptable_proxy_pass,none,0.487521,0.942613,0.512479,0.49336262,0.37541233,0.01997022,18.798604,0.660556,0.953584,7.0,13.109,True,451.5,4.971,True,451.444,4.827,12.222,2548.0
R2_4B_OPT_06159,7,11,261.0,67.0,7.0,1.1323,0.7739,0.866,0.7832,0.1359,0.0563,True,31.107862,fail_proxy,angular_fwhm_broad,0.413155,0.972451,0.586845,0.57633666,0.57463262,0.04587066,12.527236,0.640033,0.954962,7.0,27.605,True,453.5,5.268,True,453.522,5.078,13.189,2653.0
R2_4B_OPT_00923,6,9,263,20,47,0.826,1.0015,0.8234,0.7894,-0.1048,-0.0458,True,31.093149,fail_proxy,angular_fwhm_broad,0.388269,0.939092,0.611731,0.5875129,0.59957892,0.05391594,11.120625,0.633386,0.95552,7.0,27.772,True,452.75,5.499,True,452.69,5.375,13.513,2287
R2_4B_OPT_06007,5,10,332.0,57.0,74.0,0.95,0.8451,0.8969,0.8871,-0.052,-0.0652,True,30.871949,acceptable_proxy_pass,none,0.456404,0.865379,0.543596,0.49602888,0.40335935,0.02582835,15.616921,0.651848,0.954827,7.0,13.317,True,454.75,6.304,True,454.742,6.092,12.627,2488.0
R2_4B_OPT_05179,6,11,257,10,22,0.9236,0.9418,1.0451,0.791,0.0591,-0.0839,True,30.7654,fail_proxy,angular_fwhm_broad,0.388481,0.816806,0.611519,0.53870139,0.5526602,0.04976782,11.10477,0.633443,0.955901,7.0,27.77,True,453.25,5.975,True,453.223,5.895,13.51,2613
R2_4B_OPT_06248,8,7,271.0,48.0,0,0.9199,1.0003,0.9277,0.75,-0.1317,-0.0029,True,30.736449,acceptable_proxy_pass,none,0.458324,0.797408,0.541676,0.47034583,0.43334848,0.03822216,11.337625,0.614115,0.954873,7.5,13.523,True,452.25,5.924,True,452.224,5.795,12.658,2368.0
R2_4B_OPT_06534,5,12,240.0,78.0,36.0,0.8014,0.9588,0.9947,0.8536,0.0598,-0.0974,True,30.679118,fail_proxy,angular_fwhm_broad,0.351824,0.847601,0.648176,0.58396854,0.59794419,0.06311609,9.473721,0.623848,0.956209,7.0,28.514,True,453.25,6.073,True,453.357,5.853,13.986,2692.0
R2_4B_OPT_06207,8,11,360,8.0,11.0,1.115,0.8498,0.7964,0.9412,0.025,0.0405,True,30.636233,fail_proxy,angular_fwhm_broad,0.425361,0.845638,0.574639,0.51698233,0.51510011,0.03896609,13.219188,0.643334,0.955728,7.0,27.522,True,453.75,6.641,True,453.668,6.613,13.03,3013.0
R2_4B_OPT_00277,6,10,259,66,18,1.1197,0.8023,0.8745,0.7798,0.1257,0.0597,True,30.597878,fail_proxy,angular_fwhm_broad,0.328588,0.954986,0.671412,0.65176685,0.639901,0.07393037,8.655456,0.617887,0.95579,7.0,28.67,True,453.75,5.742,True,453.78,5.543,14.288,2416
R2_4B_OPT_06225,8,10,356.0,29.0,9.0,1.124,0.8714,0.8449,0.9506,0.0519,0.0955,True,30.478751,fail_proxy,angular_fwhm_broad,0.341686,0.79989,0.658314,0.57268628,0.59310753,0.06526578,9.087572,0.621236,0.95633,7.0,28.582,True,453.0,7.372,True,452.972,7.188,14.118,2950.0
R2_4B_OPT_06554,4,11,246.0,70.0,32.0,0.8475,0.9527,0.8976,0.802,0.0467,-0.0966,True,30.431587,fail_proxy,angular_fwhm_broad,0.270256,0.951595,0.729744,0.70678367,0.6968213,0.09955465,6.999385,0.603328,0.956212,7.0,29.56,True,452.25,5.919,True,452.186,5.706,15.047,2304.0
R2_4B_OPT_06320,9,9,263.0,19.0,8.0,1.1859,0.9449,0.7703,0.7762,0.0588,-0.0527,True,30.393919,fail_proxy,angular_fwhm_broad,0.097227,0.918984,0.902773,0.8552324,0.89882971,0.2052864,4.378418,0.563376,0.951897,7.0,31.723,True,453.25,6.874,True,453.303,6.853,17.296,2758.0
R2_4B_OPT_04998,9,12,239,42,73,0.7648,1.1204,0.8916,0.9613,0.0497,-0.045,True,30.35161,acceptable_proxy_pass,none,0.487278,0.836341,0.512722,0.45817937,0.38959001,0.03290486,11.839891,0.609618,0.955082,7.5,13.039,True,454.0,5.368,True,454.02,5.273,12.298,3432
R2_4B_OPT_06685,7,11,242.0,89.0,39.0,1.1473,1.0008,0.8511,0.7661,-0.0978,-0.0802,True,30.344255,fail_proxy,angular_fwhm_broad,0.027636,0.970145,0.972364,0.95349449,0.99193865,0.26100052,3.800524,0.548581,0.948384,7.0,32.691,True,452.5,6.966,True,452.43,6.791,18.201,2823.0
R2_4B_OPT_06356,4,11,353.0,25.0,15.0,0.9619,1.25,0.8684,0.8945,-0.0357,0.0685,True,30.326004,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.064415,0.911365,0.935585,0.88168324,0.93310142,0.22863816,4.081127,0.556314,0.950668,7.0,31.943,True,453.0,8.067,True,452.907,7.945,17.723,2578.0
R2_4B_OPT_04474,7,11,355,27,5,1.116,0.8938,0.8365,0.9528,0.0589,0.0572,True,30.310898,fail_proxy,angular_fwhm_broad,0.204598,0.851346,0.795402,0.71854631,0.75360157,0.13162277,5.725465,0.587613,0.955153,7.0,30.5,True,453.0,7.603,True,452.94,7.584,15.9,2946
