candidate_id,top_pair_count,bottom_pair_count,cavity_spacer_nm,top_termination_nm,bottom_termination_nm,top_high_scale,top_low_scale,bottom_high_scale,bottom_low_scale,top_chirp,bottom_chirp,valid,score,pass_level,failure_mode,top_R_proxy,bottom_R_proxy,top_outcoupling_proxy,extraction_proxy,normal_peak_strength,offaxis_peak_strength_20_30,normal_offaxis_ratio,eta10_proxy,eta25_proxy,peak_angle_abs_deg_453,angular_fwhm_deg_453,angular_fwhm_bounded,spectral_peak_nm_normal_window,spectral_fwhm_nm_normal_window,spectral_fwhm_bounded,model_lam0_nm,model_spec_fwhm_nm,model_angle_fwhm_deg,total_stack_thickness_nm
R2_4B_OPT_04965,10,9,307,87,78,1.1758,0.8109,0.8807,1.177,-0.0443,-0.0724,True,-118.842542,fail_proxy,peak_off_normal;normal_offaxis_ratio_low;spectral_fwhm_broad;spectral_peak_outside_450_456,0.653394,0.545915,0.346606,0.24430333,0.00134349,0.00669526,0.200663,0.143388,0.931238,16.0,11.394,True,446.0,999.0,False,446.07,6.423,10.787,3368
R2_4B_OPT_03473,10,9,339,79,55,1.1806,0.9098,1.1478,1.1671,-0.0261,0.0566,True,-118.843165,fail_proxy,spectral_fwhm_broad;spectral_peak_outside_450_456,0.232164,0.001306,0.767836,0.26939416,8.097e-05,2.767e-05,2.926619,0.487685,0.952699,9.0,16.717,True,461.0,999.0,False,472.252,11.331,15.731,3586
R2_4B_OPT_03183,4,11,292,3,61,1.0335,0.9954,1.1827,0.9161,0.1299,-0.133,True,-118.844553,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.069716,0.316061,0.930284,0.51671696,0.0,0.0,3.666633,0.539254,0.949318,7.5,32.898,True,445.0,999.0,False,422.135,10.138,17.693,2666
R2_4B_OPT_05054,4,7,345,69,38,0.9482,1.242,0.9561,1.2317,0.119,0.134,True,-118.852983,fail_proxy,spectral_fwhm_broad;spectral_peak_outside_450_456,0.079219,0.197577,0.920781,0.44052464,8.301e-05,4.39e-05,1.890732,0.433541,0.938146,10.0,18.601,True,461.0,999.0,False,472.528,11.185,17.787,2364
R2_4B_OPT_06728,6,9,331.0,20.0,41.0,1.25,0.9839,0.8739,0.7841,-0.15,0.0908,True,-118.864538,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.038476,0.913666,0.961524,0.90756632,0.0,0.0,3.440466,0.55084,0.948662,7.0,32.617,True,445.0,999.0,False,428.836,7.837,18.06,2494.0
R2_4B_OPT_05810,4,6,243,90,54,0.8579,1.1865,1.1282,1.0826,-0.0131,-0.1143,True,-118.867113,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.192842,0.010171,0.807158,0.2878417,5e-08,1e-08,5.366103,0.580625,0.955283,7.0,30.683,True,461.0,999.0,False,478.125,10.556,16.061,2044
R2_4B_OPT_02850,6,9,349,48,35,0.9424,0.8637,1.0747,0.7666,-0.0427,-0.1257,True,-118.86722,fail_proxy,peak_off_normal;spectral_fwhm_broad;spectral_peak_outside_450_456,0.546677,0.647893,0.453323,0.34957139,3.557e-05,1.985e-05,1.792039,0.369236,0.952653,11.5,12.649,True,461.0,999.0,False,465.004,6.866,11.836,2443
R2_4B_OPT_01803,8,6,283,14,20,1.1648,1.1499,1.0786,0.9688,-0.107,0.0054,True,-118.871387,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.002708,0.037308,0.997292,0.37323633,0.0,0.0,3.526374,0.53891,0.94664,7.0,32.986,True,461.0,999.0,False,487.829,11.69,18.535,2644
R2_4B_OPT_01813,8,11,270,61,0,1.1675,0.9258,1.0449,1.0645,-0.1445,-0.095,True,-118.880795,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.190588,0.139655,0.809412,0.3567691,0.0,0.0,5.338725,0.57976,0.954227,7.0,30.706,True,461.0,999.0,False,480.614,10.181,16.091,3333
R2_4B_OPT_02321,5,9,272,13,2,0.8454,1.2394,1.0027,0.9562,0.0744,-0.0454,True,-118.881263,fail_proxy,peak_off_normal;spectral_fwhm_broad;spectral_peak_outside_450_456,0.253134,0.300501,0.746866,0.40728515,1.81e-06,8.5e-07,2.119812,0.437518,0.949186,10.5,16.715,True,461.0,999.0,False,472.095,9.14,15.547,2459
