candidate_id,score,failure_mode,pass_level,peak_angle_abs_deg_453,angular_fwhm_deg_453,normal_offaxis_ratio,spectral_fwhm_nm_normal_window
R2_4B_OPT_06159,31.107862,angular_fwhm_broad,fail_proxy,7.0,27.605,12.527236,5.268
R2_4B_OPT_00923,31.093149,angular_fwhm_broad,fail_proxy,7.0,27.772,11.120625,5.499
R2_4B_OPT_05179,30.7654,angular_fwhm_broad,fail_proxy,7.0,27.77,11.10477,5.975
R2_4B_OPT_06534,30.679118,angular_fwhm_broad,fail_proxy,7.0,28.514,9.473721,6.073
R2_4B_OPT_06207,30.636233,angular_fwhm_broad,fail_proxy,7.0,27.522,13.219188,6.641
R2_4B_OPT_00277,30.597878,angular_fwhm_broad,fail_proxy,7.0,28.67,8.655456,5.742
R2_4B_OPT_06225,30.478751,angular_fwhm_broad,fail_proxy,7.0,28.582,9.087572,7.372
R2_4B_OPT_06554,30.431587,angular_fwhm_broad,fail_proxy,7.0,29.56,6.999385,5.919
R2_4B_OPT_06320,30.393919,angular_fwhm_broad,fail_proxy,7.0,31.723,4.378418,6.874
R2_4B_OPT_06685,30.344255,angular_fwhm_broad,fail_proxy,7.0,32.691,3.800524,6.966
R2_4B_OPT_06356,30.326004,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.943,4.081127,8.067
R2_4B_OPT_04474,30.310898,angular_fwhm_broad,fail_proxy,7.0,30.5,5.725465,7.603
R2_4B_OPT_05065,30.300484,angular_fwhm_broad,fail_proxy,7.0,28.703,8.48986,6.736
R2_4B_OPT_06566,30.288535,angular_fwhm_broad,fail_proxy,7.0,28.645,8.762638,7.224
R2_4B_OPT_06474,30.265763,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.876,3.608654,8.345
R2_4B_OPT_06457,30.261784,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.873,3.608863,8.478
R2_4B_OPT_03960,30.248919,angular_fwhm_broad,fail_proxy,7.0,31.848,4.204822,7.14
R2_4B_OPT_06228,30.220206,angular_fwhm_broad,fail_proxy,7.0,28.966,7.353353,7.105
R2_4B_OPT_06792,30.197253,angular_fwhm_broad,fail_proxy,7.0,30.831,5.023303,7.06
R2_4B_OPT_06337,30.128743,angular_fwhm_broad,fail_proxy,7.0,29.639,6.726202,7.512
R2_4B_OPT_06297,30.121883,angular_fwhm_broad,fail_proxy,7.0,32.836,3.648187,7.652
R2_4B_OPT_02973,30.1062,angular_fwhm_broad,fail_proxy,7.0,30.909,4.874268,7.985
R2_4B_OPT_06354,30.099849,angular_fwhm_broad,fail_proxy,7.0,30.851,4.986239,7.589
R2_4B_OPT_06458,30.094921,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.867,3.61853,8.456
R2_4B_OPT_06517,29.990131,angular_fwhm_broad,fail_proxy,7.0,30.734,5.218017,7.774
R2_4B_OPT_04528,29.973215,angular_fwhm_broad,fail_proxy,7.0,27.955,10.211571,6.318
R2_4B_OPT_06143,29.951442,angular_fwhm_broad,fail_proxy,7.0,27.527,13.247307,5.235
R2_4B_OPT_01991,29.948333,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.876,3.605256,8.323
R2_4B_OPT_00459,29.92686,angular_fwhm_broad,fail_proxy,7.0,31.56,4.624716,7.864
R2_4B_OPT_06341,29.918924,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.638,4.496187,8.248
R2_4B_OPT_05501,29.871091,angular_fwhm_broad,fail_proxy,7.0,28.534,9.35785,5.952
R2_4B_OPT_06476,29.867765,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.877,3.605492,8.222
R2_4B_OPT_03736,29.848029,angular_fwhm_broad,fail_proxy,7.0,30.503,5.718707,7.774
R2_4B_OPT_06120,29.797469,angular_fwhm_broad,fail_proxy,7.0,28.834,7.867095,6.335
R2_4B_OPT_06655,29.762484,angular_fwhm_broad,fail_proxy,7.0,32.868,3.620488,7.939
R2_4B_OPT_06658,29.74578,angular_fwhm_broad,fail_proxy,7.0,32.814,3.672675,7.514
R2_4B_OPT_06153,29.745096,angular_fwhm_broad,fail_proxy,7.0,28.655,8.729539,5.484
R2_4B_OPT_06346,29.69213,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,30.789,5.09617,8.245
R2_4B_OPT_06511,29.67989,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,30.82,5.043471,8.206
R2_4B_OPT_00407,29.658569,angular_fwhm_broad,fail_proxy,7.0,32.814,3.673592,7.524
R2_4B_OPT_03047,29.597433,angular_fwhm_broad,fail_proxy,7.0,32.713,3.774994,6.852
R2_4B_OPT_06449,29.592223,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.877,3.604804,8.614
R2_4B_OPT_05373,29.590705,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.666,3.829124,8.699
R2_4B_OPT_06478,29.575778,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.87,3.614059,8.741
R2_4B_OPT_06722,29.57175,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.732,3.758048,8.729
R2_4B_OPT_02012,29.5617,angular_fwhm_broad,fail_proxy,7.0,30.61,5.46727,7.076
R2_4B_OPT_05175,29.457474,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,30.978,4.764113,8.392
R2_4B_OPT_03766,29.447277,angular_fwhm_broad,fail_proxy,7.0,29.986,5.764585,7.261
R2_4B_OPT_06230,29.441794,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,30.832,5.020461,8.488
R2_4B_OPT_06078,29.423319,angular_fwhm_broad,fail_proxy,7.0,27.718,11.507732,5.452
R2_4B_OPT_06471,29.39213,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.874,3.608491,8.465
R2_4B_OPT_06579,29.384809,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.912,4.122833,8.755
R2_4B_OPT_03439,29.375936,angular_fwhm_broad,fail_proxy,7.0,27.846,10.544281,6.329
R2_4B_OPT_02381,29.373403,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.834,3.654225,8.021
R2_4B_OPT_06460,29.363439,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.876,3.610671,8.393
R2_4B_OPT_06329,29.362677,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,30.702,5.272529,8.521
