sample_index,L1_nm,W1_nm,L2_nm,W2_nm,A1,A2,A_mean,Delta_A,delta_theta_deg,D_nm,theta1_deg,theta2_deg,j1_center_x_nm,j1_center_y_nm,j2_center_x_nm,j2_center_y_nm,height_nm,period_x_nm,period_y_nm,pillar_1_area_nm2,pillar_2_area_nm2,total_footprint_nm2,cell_area_nm2,footprint_fill_fraction,direct_clearance_nm,periodic_image_clearance_nm,periodic_x_clearance_nm,periodic_y_clearance_nm,periodic_diagonal_clearance_nm,global_minimum_clearance_nm,nearest_object_image_pair,cell_containment_pass,overlap_or_touching_pass,minimum_lateral_feature_nm,aspect_ratio_H_over_min_feature,distance_from_i03_6d,geometry_hash_sha256,geometry_hash_recomputed,geometry_hash_recomputed_match,solver_entered,solver_run_called,parent_pool_sample_index
13558,258,91,198,78,0.4785100286532951,0.43478260869565216,0.45664631867447364,0.043727419957642955,84.277105182,210,0.0,84.277105182,0.0,105.0,0.0,-105.0,525.0,432.0,432.0,23478,15444,38922,186624.0,0.20855838477366256,62.104458584108876,74.10445858410887,174.0,74.10445858410887,267.1789568952867,62.104458584108876,"{""distance_nm"": 62.104458584108876, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-28.933598085038213, 59.5], ""point_b_nm"": [-28.93359808503821, -2.604458584108878], ""touch_or_overlap"": false}",True,True,78,6.730769230769231,1.6041316868468087,fcce9664c1058c1fab73d1fe25191992bc7225003f8adc36c60ea5d8d62e2d05,fcce9664c1058c1fab73d1fe25191992bc7225003f8adc36c60ea5d8d62e2d05,True,False,False,13558
13562,262,89,194,80,0.4928774928774929,0.41605839416058393,0.4544679435190384,0.07681909871690895,81.507177204,211,0.0,81.507177204,0.0,105.5,0.0,-105.5,525.0,432.0,432.0,23318,15520,38838,186624.0,0.20810828189300412,64.65624520331228,74.6562452033123,170.0,74.6562452033123,261.80555328193435,64.65624520331228,"{""distance_nm"": 64.65624520331228, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-25.235879396449604, 61.0], ""point_b_nm"": [-25.235879396449594, -3.6562452033122854], ""touch_or_overlap"": false}",True,True,80,6.5625,1.0110198215506916,e034a09ea8633a5fdb62641a7c88160fa642008bdbc6dcd06e70ca48282005a4,e034a09ea8633a5fdb62641a7c88160fa642008bdbc6dcd06e70ca48282005a4,True,False,False,13562
13574,257,87,203,80,0.4941860465116279,0.43462897526501765,0.46440751088832277,0.05955707124661025,82.055392116,219,0.0,82.055392116,0.0,109.5,0.0,-109.5,525.0,432.0,432.0,22359,16240,38599,186624.0,0.20682763203017832,69.44555447451106,63.445554474511056,175.0,63.445554474511056,260.7262953418592,63.445554474511056,"{""distance_nm"": 63.445554474511056, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [25.587195709594695, 153.0], ""point_b_nm"": [25.58719570959468, 216.44555447451106], ""touch_or_overlap"": false}",True,True,80,6.5625,1.1994155054411473,38529d81371956141162db937c2e54d3c598eb5b4e01c9fbe5b58e75526f9a87,38529d81371956141162db937c2e54d3c598eb5b4e01c9fbe5b58e75526f9a87,True,False,False,13574
13582,255,89,198,80,0.48255813953488375,0.4244604316546763,0.45350928559478,0.05809770788020746,88.518557399,216,0.0,88.518557399,0.0,108.0,0.0,-108.0,525.0,432.0,432.0,22695,15840,38535,186624.0,0.2064846965020576,71.49896384894203,71.49896384894203,177.0,71.49896384894203,272.0881923433842,71.49896384894203,"{""distance_nm"": 71.49896384894203, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-37.427166186004484, 63.5], ""point_b_nm"": [-37.42716618600448, -7.9989638489420285], ""touch_or_overlap"": false}",True,True,80,6.5625,1.0539267160777548,b6d8e5f0531875309661e2e67a1658ac79918f04185b7dacdedc80a89e79ea94,b6d8e5f0531875309661e2e67a1658ac79918f04185b7dacdedc80a89e79ea94,True,False,False,13582
13586,261,87,200,79,0.5,0.4336917562724014,0.4668458781362007,0.06630824372759858,80.670428127,209,0.0,80.670428127,0.0,104.5,0.0,-104.5,525.0,432.0,432.0,22707,15800,38507,186624.0,0.2063346622085048,60.419313196773444,74.41931319677343,171.0,74.41931319677343,261.29986356479026,60.419313196773444,"{""distance_nm"": 60.419313196773444, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-22.766186790110652, 61.0], ""point_b_nm"": [-22.766186790110652, 0.5806868032265529], ""touch_or_overlap"": false}",True,True,79,6.6455696202531644,1.3092953793984627,380cebcaff1031ed2739dab280810637835a93bdc0e6e210985b58a3e75a4640,380cebcaff1031ed2739dab280810637835a93bdc0e6e210985b58a3e75a4640,True,False,False,13586
13588,253,89,201,77,0.47953216374269003,0.4460431654676259,0.46278766460515797,0.03348899827506413,89.903521389,218,0.0,89.903521389,0.0,109.0,0.0,-109.0,525.0,432.0,432.0,22517,15477,37994,186624.0,0.2035858196159122,72.93531353760922,68.9353135376092,179.0,68.9353135376092,275.62412787454076,68.9353135376092,"{""distance_nm"": 68.9353135376092, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [38.33071662154305, 153.5], ""point_b_nm"": [38.33071662154305, 222.4353135376092], ""touch_or_overlap"": false}",True,True,77,6.818181818181818,1.6629657779221707,648c8498dfd1a670f7f3faabeadb3c31660e53e26adfdd1858088cfeaf99013a,648c8498dfd1a670f7f3faabeadb3c31660e53e26adfdd1858088cfeaf99013a,True,False,False,13588
13593,257,91,197,78,0.47701149425287354,0.43272727272727274,0.4548693834900731,0.0442842215256008,83.440356105,209,0.0,83.440356105,0.0,104.5,0.0,-104.5,525.0,432.0,432.0,23387,15366,38753,186624.0,0.2076528206447188,61.18957245379069,75.18957245379067,175.0,75.18957245379067,267.0890475292526,61.18957245379069,"{""distance_nm"": 61.18957245379069, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-27.492297381482217, 59.0], ""point_b_nm"": [-27.49229738148221, -2.189572453790687], ""touch_or_overlap"": false}",True,True,78,6.730769230769231,1.6560176965035394,910a4840f6f326b64faf050e3369b3b759c87a5ff1fbf3d2e74e7917e6a2c78f,910a4840f6f326b64faf050e3369b3b759c87a5ff1fbf3d2e74e7917e6a2c78f,True,False,False,13593
13598,255,88,196,77,0.4868804664723032,0.4358974358974359,0.46138895118486956,0.050983030574867305,85.286974758,210,0.0,85.286974758,0.0,105.0,0.0,-105.0,525.0,432.0,432.0,22440,15092,37532,186624.0,0.2011102537722908,65.16800869230603,77.16800869230602,177.0,77.16800869230602,271.24826814242465,65.16800869230603,"{""distance_nm"": 65.16800869230603, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-30.31764385510732, 61.0], ""point_b_nm"": [-30.317643855107317, -4.168008692306025], ""touch_or_overlap"": false}",True,True,77,6.818181818181818,1.512764615501722,d9bbec6ecf993f1a004f3516fb8345a6f8966e7043c6b91e28ffc6d4c078d955,d9bbec6ecf993f1a004f3516fb8345a6f8966e7043c6b91e28ffc6d4c078d955,True,False,False,13598
13604,252,87,199,77,0.48672566371681414,0.4420289855072464,0.4643773246120303,0.04469667820956774,83.671183437,217,0.0,83.671183437,0.0,108.5,0.0,-108.5,525.0,432.0,432.0,21924,15323,37247,186624.0,0.19958311899862827,70.36237201947631,68.36237201947631,180.0,68.36237201947631,268.0203963775091,68.36237201947631,"{""distance_nm"": 68.36237201947631, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [27.297063844873506, 152.0], ""point_b_nm"": [27.297063844873485, 220.3623720194763], ""touch_or_overlap"": false}",True,True,77,6.818181818181818,1.5064465295902307,65a58e43f67de0e40fbb45b3879b33b4c05a1115ea4a66b4152a0d610f54b7d2,65a58e43f67de0e40fbb45b3879b33b4c05a1115ea4a66b4152a0d610f54b7d2,True,False,False,13604
13610,264,91,198,80,0.48732394366197185,0.4244604316546763,0.45589218765832407,0.06286351200729556,84.594492763,213,0.0,84.594492763,0.0,106.5,0.0,-106.5,525.0,432.0,432.0,24024,15840,39864,186624.0,0.2136059670781893,65.17210124876536,71.17210124876536,168.0,71.17210124876536,262.90984091033016,65.17210124876536,"{""distance_nm"": 65.17210124876536, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-30.495920008372778, 61.0], ""point_b_nm"": [-30.49592000837279, -4.172101248765359], ""touch_or_overlap"": false}",True,True,80,6.5625,1.2461235582069912,99766eb2d0c472383a789b52680f8940b84189d92ab703ad7f75a6d9640fd9ad,99766eb2d0c472383a789b52680f8940b84189d92ab703ad7f75a6d9640fd9ad,True,False,False,13610
