material_id,requested_rgba,lumerical_readback_rgba,channel_quantization_bits,quantization_step,maximum_rounding_error,acceptance_tolerance,observed_max_channel_error,alpha_is_one,quantization_aware_status,material_type,sampled_data_shape
APCD_GAN_NATIVE_M1,"[0.05, 0.3, 0.95, 1.0]","[0.05000381475547418, 0.30000762951094834, 0.9499961852445258, 1.0]",16,1.5259021896696422e-05,7.629510948348211e-06,7.62951194834821e-06,7.629510948348184e-06,True,pass,Sampled 3D data,"[500, 2]"
APCD_TIO2_NATIVE_M1,"[1.0, 0.82, 0.05, 1.0]","[1.0, 0.820004577706569, 0.05000381475547418, 1.0]",16,1.5259021896696422e-05,7.629510948348211e-06,7.62951194834821e-06,4.577706569031115e-06,True,pass,Sampled 3D data,"[101, 2]"
APCD_SIO2_NATIVE_M1,unchanged,unchanged_default,,,,,,,unchanged,,
