builder,category,color_reference,opacity_reference
build_mdc_p1_plane_wave_fdtd_static_v1.py,property_not_used,no,no
run_mdc_p1_plane_wave_fdtd_v1.py,property_not_used,no,no
extract_mdc_gan_native_m1_candidate_v1.py,inherits_material_database_color,no,no
promote_apcd_gan_native_m1_v1.py,property_not_used,no,no
