T_TE,T_TM,T_unpolarized,candidate_id,theta_air_external,wavelength_nm
0.6681482818262255,0.668148281826225,0.6681482818262252,EX_N3_L79_H46_C153,0,448
0.680556361163646,0.6807456230544714,0.6806509921090587,EX_N3_L79_H46_C153,2,448
0.7166257806825767,0.7172112922006256,0.7169185364416011,EX_N3_L79_H46_C153,4,448
0.769826169462617,0.770831362932439,0.770328766197528,EX_N3_L79_H46_C153,6,448
0.8183425048465478,0.8213764317281388,0.8198594682873432,EX_N3_L79_H46_C153,8,448
0.8154551995653166,0.8288487971147777,0.8221519983400472,EX_N3_L79_H46_C153,10,448
0.7157946038505689,0.7548097606977501,0.7353021822741594,EX_N3_L79_H46_C153,12,448
0.5416326078486815,0.6107310279589159,0.5761818179037987,EX_N3_L79_H46_C153,14,448
0.3679997321850798,0.45282758166184506,0.41041365692346243,EX_N3_L79_H46_C153,16,448
0.23867327304597238,0.32302864911998147,0.2808509610829769,EX_N3_L79_H46_C153,18,448
0.15423608425043484,0.2301294168820641,0.19218275056624945,EX_N3_L79_H46_C153,20,448
0.10138538679976339,0.16706518822580008,0.13422528751278173,EX_N3_L79_H46_C153,22,448
0.06829672843889333,0.1246518483441263,0.09647428839150982,EX_N3_L79_H46_C153,24,448
0.047209211743764225,0.09583385465394503,0.07152153319885463,EX_N3_L79_H46_C153,26,448
0.03344773547463623,0.07590842586210397,0.0546780806683701,EX_N3_L79_H46_C153,28,448
0.02424319450853104,0.061873508008142036,0.04305835125833654,EX_N3_L79_H46_C153,30,448
0.01793984670844965,0.05182402425475933,0.03488193548160449,EX_N3_L79_H46_C153,32,448
0.013528097493906736,0.04453994031765195,0.029034018905779346,EX_N3_L79_H46_C153,34,448
0.01037810656175553,0.03922869732281387,0.0248034019422847,EX_N3_L79_H46_C153,36,448
0.00808773583533011,0.035368124290096906,0.021727930062713507,EX_N3_L79_H46_C153,38,448
0.006394468264235472,0.03261072752253561,0.019502597893385543,EX_N3_L79_H46_C153,40,448
0.005123343731424115,0.03072489426527654,0.01792411899835033,EX_N3_L79_H46_C153,42,448
0.00415550461681713,0.029558406647323607,0.016856955632070368,EX_N3_L79_H46_C153,44,448
0.0034087742621160904,0.02901564091849424,0.016212207590305165,EX_N3_L79_H46_C153,46,448
0.002825411862985291,0.029043327933321383,0.015934369898153337,EX_N3_L79_H46_C153,48,448
0.0023642386072936514,0.029621775437608827,0.01599300702245124,EX_N3_L79_H46_C153,50,448
0.0019954809016439865,0.030759607169621044,0.016377544035632515,EX_N3_L79_H46_C153,52,448
0.0016973351579310343,0.03249069947060702,0.01709401731426903,EX_N3_L79_H46_C153,54,448
0.0014536431238832126,0.03487227285165125,0.018162957987767233,EX_N3_L79_H46_C153,56,448
0.0012522956969157006,0.037983106140370336,0.019617700918643018,EX_N3_L79_H46_C153,58,448
0.0010841221052693278,0.041920607481849774,0.02150236479355955,EX_N3_L79_H46_C153,60,448
0.8290683495427849,0.8290683495427863,0.8290683495427855,EX_N3_L79_H46_C153,0,450
0.8267677453308818,0.8272238504132757,0.8269957978720788,EX_N3_L79_H46_C153,2,450
0.8142258195552999,0.816620070457032,0.815422945006166,EX_N3_L79_H46_C153,4,450
0.7762851257192546,0.7839321575701812,0.7801086416447178,EX_N3_L79_H46_C153,6,450
0.6970708292335538,0.7155377244604821,0.706304276847018,EX_N3_L79_H46_C153,8,450
0.5769569739478483,0.6110947448409779,0.5940258593944131,EX_N3_L79_H46_C153,10,450
0.43978930589998766,0.4889355603824668,0.46436243314122727,EX_N3_L79_H46_C153,12,450
0.3151458505735637,0.3731619216623972,0.3441538861179805,EX_N3_L79_H46_C153,14,450
0.2183916296259554,0.27829412703422884,0.2483428783300921,EX_N3_L79_H46_C153,16,450
0.14983906561152446,0.20698597117798218,0.1784125183947533,EX_N3_L79_H46_C153,18,450
0.10331542008337309,0.15562665375474638,0.12947103691905973,EX_N3_L79_H46_C153,20,450
0.07216099389138385,0.11918948686346548,0.09567524037742467,EX_N3_L79_H46_C153,22,450
0.05123582538924751,0.09332747176969555,0.07228164857947153,EX_N3_L79_H46_C153,24,450
0.03702241023408701,0.07482130741080452,0.05592185882244577,EX_N3_L79_H46_C153,26,450
0.027222727751681046,0.06143204834593798,0.044327388048809514,EX_N3_L79_H46_C153,28,450
0.020355746411781134,0.0516391635989531,0.035997455005367114,EX_N3_L79_H46_C153,30,450
0.01546489596479513,0.04441555055996933,0.029940223262382232,EX_N3_L79_H46_C153,32,450
0.011926237243350332,0.039065305754098056,0.025495771498724194,EX_N3_L79_H46_C153,34,450
0.009327307634355101,0.035114252980063584,0.022220780307209344,EX_N3_L79_H46_C153,36,450
0.0073913787070548805,0.03223799888625433,0.019814688796654607,EX_N3_L79_H46_C153,38,450
0.005929969374354604,0.030215090522456484,0.018072529948405545,EX_N3_L79_H46_C153,40,450
0.004812795868074572,0.02889660764719414,0.016854701757634358,EX_N3_L79_H46_C153,42,450
0.003948518085084326,0.028186498015974476,0.0160675080505294,EX_N3_L79_H46_C153,44,450
0.003272232179548491,0.02802900671255755,0.015650619446053022,EX_N3_L79_H46_C153,46,450
0.0027372296966998587,0.028400872471149488,0.015569051083924673,EX_N3_L79_H46_C153,48,450
0.0023094912572291346,0.029306788670785046,0.01580813996400709,EX_N3_L79_H46_C153,50,450
0.001963957184166101,0.030777114601945463,0.01637053589305578,EX_N3_L79_H46_C153,52,450
0.001681968711439945,0.032867069355043674,0.01727451903324181,EX_N3_L79_H46_C153,54,450
0.0014494906651481075,0.03565668990109877,0.01855309028312344,EX_N3_L79_H46_C153,56,450
0.0012558625768843905,0.03925068950667075,0.02025327604177757,EX_N3_L79_H46_C153,58,450
0.0010929115212682736,0.04377698342867672,0.022434947474972496,EX_N3_L79_H46_C153,60,450
0.4955685419627272,0.4955685419627258,0.4955685419627265,EX_N3_L79_H46_C153,0,453
0.48360947099798335,0.4849484268337193,0.4842789489158513,EX_N3_L79_H46_C153,2,453
0.4490776544690686,0.45434146571010836,0.4517095600895885,EX_N3_L79_H46_C153,4,453
0.3963272305111601,0.40764724235699884,0.40198723643407946,EX_N3_L79_H46_C153,6,453
0.3327494346557835,0.35119562022214346,0.34197252743896345,EX_N3_L79_H46_C153,8,453
0.2671495292069498,0.2923275868978291,0.27973855805238945,EX_N3_L79_H46_C153,10,453
0.2069832957426598,0.23727394412808508,0.22212861993537245,EX_N3_L79_H46_C153,12,453
0.15647874926555397,0.18975996187780167,0.17311935557167782,EX_N3_L79_H46_C153,14,453
0.11665659113333943,0.1509875627733078,0.1338220769533236,EX_N3_L79_H46_C153,16,453
0.08650838912235119,0.12047112491972414,0.10348975702103766,EX_N3_L79_H46_C153,18,453
0.06421816498134744,0.09695179339515424,0.08058497918825083,EX_N3_L79_H46_C153,20,453
0.047925753768478664,0.07901245673242138,0.06346910525045002,EX_N3_L79_H46_C153,22,453
0.03605506621075199,0.0653779950810449,0.05071653064589844,EX_N3_L79_H46_C153,24,453
0.02738689996498508,0.05501307111765823,0.041199985541321656,EX_N3_L79_H46_C153,26,453
0.021021825416300422,0.047121124936375276,0.03407147517633785,EX_N3_L79_H46_C153,28,453
0.01631223975481332,0.04110706426214413,0.028709652008478727,EX_N3_L79_H46_C153,30,453
0.012796939629971651,0.036533575203365164,0.024665257416668408,EX_N3_L79_H46_C153,32,453
0.01014844622157749,0.03308262280748932,0.021615534514533404,EX_N3_L79_H46_C153,34,453
0.008133797871804592,0.030525134537704748,0.019329466204754668,EX_N3_L79_H46_C153,36,453
0.0065864725994296165,0.028698479002446202,0.01764247580093791,EX_N3_L79_H46_C153,38,453
0.005386657089072331,0.027490346890874217,0.016438501989973275,EX_N3_L79_H46_C153,40,453
0.004447490968630199,0.026827584691248362,0.01563753782993928,EX_N3_L79_H46_C153,42,453
0.003705491735963846,0.026668783732487773,0.01518713773422581,EX_N3_L79_H46_C153,44,453
0.003113874315705834,0.026999728032162974,0.015056801173934403,EX_N3_L79_H46_C153,46,453
0.002637868372190058,0.027831061896541436,0.015234465134365747,EX_N3_L79_H46_C153,48,453
0.0022514159434703935,0.029197724355719098,0.015724570149594747,EX_N3_L79_H46_C153,50,453
0.0019348264164937362,0.031159802669071927,0.016547314542782833,EX_N3_L79_H46_C153,52,453
0.0016730991053311504,0.03380446841381429,0.01773878375957272,EX_N3_L79_H46_C153,54,453
0.001454714395772809,0.037248549633339414,0.01935163201455611,EX_N3_L79_H46_C153,56,453
0.001270756083448629,0.041641011716942504,0.021455883900195566,EX_N3_L79_H46_C153,58,453
0.00111426953652501,0.047164091992284544,0.02413918076440478,EX_N3_L79_H46_C153,60,453
0.6420127569369721,0.6420127569369724,0.6420127569369722,EX_N3_L77_H47_C152,0,448
