candidate_id,wavelength_nm,source_position_label,source_x_nm,source_y_nm,q_nm,cone_half_angle_deg,R_power_incoh,L_power_incoh,L_fraction_incoh,DoCP_RminusL_incoh,total_cone_power_incoh,status
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_plus_q,107.9769465,0.0,107.9769465,5.0,4.0196590723513234e-13,2.575243101593165e-12,0.8649856607167365,-0.7299713214334731,2.977209008828297e-12,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_plus_q,107.9769465,0.0,107.9769465,10.0,2.350725129400645e-12,1.159375800685348e-11,0.8314225700277826,-0.6628451400555653,1.3944483136254126e-11,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_plus_q,107.9769465,0.0,107.9769465,20.0,1.655961965784815e-11,3.922201671780774e-11,0.7031349251511907,-0.40626985030238133,5.578163637565589e-11,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_minus_q,-107.9769465,0.0,107.9769465,5.0,7.280597239041485e-13,2.733602903467909e-12,0.7896791795516885,-0.5793583591033771,3.461662627372058e-12,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_minus_q,-107.9769465,0.0,107.9769465,10.0,4.070191369944618e-12,1.1110226806984737e-11,0.7318788374268671,-0.46375767485373415,1.5180418176929353e-11,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_minus_q,-107.9769465,0.0,107.9769465,20.0,1.5789070197190844e-11,4.128474527781134e-11,0.7233570234303625,-0.44671404686072497,5.707381547500219e-11,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_plus_q,107.9769465,0.0,107.9769465,5.0,5.430492998373757e-13,2.7581040367465605e-12,0.8354970992049318,-0.6709941984098636,3.301153336583936e-12,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_plus_q,107.9769465,0.0,107.9769465,10.0,2.9014329675261665e-12,1.212820710534803e-11,0.8069525981022837,-0.6139051962045675,1.5029640072874196e-11,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_plus_q,107.9769465,0.0,107.9769465,20.0,1.705491891862407e-11,4.0152995886465915e-11,0.701878333151436,-0.403756666302872,5.7207914805089985e-11,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_minus_q,-107.9769465,0.0,107.9769465,5.0,7.281068222809372e-13,3.4557148018427467e-12,0.8259708735949177,-0.6519417471898354,4.183821624123684e-12,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_minus_q,-107.9769465,0.0,107.9769465,10.0,4.218988701679937e-12,1.3495646438684808e-11,0.7618359809135156,-0.523671961827031,1.7714635140364746e-11,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_minus_q,-107.9769465,0.0,107.9769465,20.0,1.700242037392409e-11,4.624201572227488e-11,0.7311633809484477,-0.4623267618968953,6.324443609619897e-11,ok
