candidate_id,wavelength_nm,source_position_label,source_x_nm,source_y_nm,q_nm,dipole_axis,result_csv,cone_half_angle_deg,R_power,L_power,L_fraction,DoCP_RminusL,total_cone_power,peak_abs_theta_deg,status
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_minus_q,-107.9769465,0.0,107.9769465,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,20.0,9.41654543883239e-12,1.5447920707006847e-11,0.6212850344905502,-0.2425700689811003,2.4864466145839236e-11,77.23767601290064,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_plus_q,107.9769465,0.0,107.9769465,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,5.0,1.3142755626276173e-13,8.29408164317518e-13,0.8632153723600238,-0.7264307447200476,9.608357205802798e-13,32.9603701489397,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_plus_q,107.9769465,0.0,107.9769465,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,10.0,6.188958151646858e-13,5.052530150924864e-12,0.890874743165974,-0.781749486331948,5.67142596608955e-12,32.9603701489397,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_plus_q,107.9769465,0.0,107.9769465,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,20.0,4.19628082087281e-12,2.181262109433255e-11,0.8386598236806154,-0.677319647361231,2.6008901915205362e-11,32.9603701489397,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_plus_q,107.9769465,0.0,107.9769465,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,5.0,4.11621743574614e-13,1.9286958724290424e-12,0.8241171451431014,-0.6482342902862027,2.3403176160036565e-12,8.292232489626093,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_plus_q,107.9769465,0.0,107.9769465,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,10.0,2.2825371523614807e-12,7.075676954423166e-12,0.7560926554665323,-0.5121853109330645,9.358214106784647e-12,8.292232489626093,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_plus_q,107.9769465,0.0,107.9769465,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,20.0,1.2858638097751258e-11,1.8340374792133368e-11,0.587851123907824,-0.17570224781564814,3.119901288988463e-11,8.292232489626093,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_minus_q,-107.9769465,0.0,107.9769465,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,5.0,4.005467660493469e-13,2.02321104451261e-12,0.8347414232957217,-0.6694828465914433,2.4237578105619567e-12,78.06033114762917,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_minus_q,-107.9769465,0.0,107.9769465,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,10.0,2.0814734897008207e-12,7.847388561225134e-12,0.7903613244876632,-0.5807226489753264,9.928862050925955e-12,78.06033114762917,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_minus_q,-107.9769465,0.0,107.9769465,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,20.0,7.367195255700884e-12,2.855313967860343e-11,0.7949018217904996,-0.5898036435809995,3.592033493430432e-11,78.06033114762917,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_minus_q,-107.9769465,0.0,107.9769465,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,5.0,3.2756005623159024e-13,1.4325037573301367e-12,0.8138930794965166,-0.627786158993033,1.760063813561727e-12,77.23767601290066,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_minus_q,-107.9769465,0.0,107.9769465,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,10.0,2.1375152119791166e-12,5.6482578774596745e-12,0.7254588353109592,-0.4509176706219185,7.785773089438791e-12,77.23767601290066,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_minus_q,-107.9769465,0.0,107.9769465,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,20.0,9.635225118223204e-12,1.768887604367145e-11,0.6473726597213675,-0.29474531944273497,2.7324101161894653e-11,77.23767601290066,ok
