candidate_id,level,requested_harmonic_order,actual_harmonic_order,wavelength_nm,DoLP,useful_power,x_fidelity,diagnostic_S0,diagnostic_S1,diagnostic_S2,orientation_deg,prior_delta_max_complex_jones,prior_delta_DoLP,prior_delta_useful_power,prior_delta_x_fidelity
H1C1B_V2_015,pre_level_diagnostic,49,49,440.0,0.14764762543179116,0.3666196433570578,0.4263080096460097,1.71997539367,-0.253496820238,-0.0151693177254,-88.2877444252,,,,
H1C1B_V2_015,pre_level_diagnostic,49,49,450.0,0.0423498133910076,0.428165879090848,0.480739319316777,1.78128088087,-0.0686173645072,0.0313430234064,77.7250194038,,,,
H1C1B_V2_015,pre_level_diagnostic,49,49,458.0,0.8602970153252907,0.03756090236858936,0.06991526237283367,1.07446932455,-0.924225715071,-0.0159162392021,-89.5066988599,,,,
H1C1B_V2_015,Level-0-current,121,121,440.0,0.17872523178584018,0.348082642708115,0.410801804976937,1.6946500161,-0.302319445263,-0.0183646037154,-88.2618999167,0.16257045336310894,0.03107760635404902,0.018537000648942814,0.015506204669072654
H1C1B_V2_015,Level-0-current,121,121,450.0,0.07270596240276894,0.42613123430883637,0.46387521160659845,1.8372666771,-0.132741739865,0.014943611906,86.7884400445,0.38960050402125584,0.03035614901176134,0.002034644782011652,0.016864107710178544
H1C1B_V2_015,Level-0-current,121,121,458.0,0.4117283832688339,0.3831068230797443,0.7058338185048187,1.08554397093,0.446883321385,0.00767735408213,0.4921158357,0.9513937635667145,0.4485686320564568,0.345545920711155,0.6359185561319851
H1C1B_V2_015,Level-1-next,225,225,440.0,0.1895685962946266,0.33068836608723606,0.4056356365596958,1.63046998973,-0.307716525378,-0.0290626576831,-87.3023177583,0.18198627365126033,0.010843364508786424,0.017394276620878946,0.0051661684172412126
H1C1B_V2_015,Level-1-next,225,225,450.0,0.20559319409185514,0.3243853127607847,0.3972930718063174,1.63297744552,-0.335436194478,0.0140197614987,88.8033403555,0.2738893001600658,0.1328872316890862,0.10174592154805168,0.06658213980028105
H1C1B_V2_015,Level-1-next,225,225,458.0,0.3242294595510863,0.4366626262035638,0.6620215598441609,1.31917947297,0.427471031849,0.0144989180971,0.971303795704,0.9506008735868529,0.08749892371774759,0.05355580312381947,0.043812258660657855
H1C1B_V2_009,pre_level_diagnostic,49,49,440.0,0.5141933271569066,0.14088269422331418,0.24293736032282134,1.15982732369,-0.596296546793,-0.00970206624084,-89.5339245167,,,,
