wavelength_nm,top_W,bottom_W,xminus_W,xplus_W,yminus_W,yplus_W,net_outward_W,sourcepower_W,net_over_sourcepower,max_T_times_sourcepower_vs_power_abs_error_W
400.00000000000006,2.425390364692006e-17,-2.9680885554674706e-16,-1.5995345774174692e-17,1.6131651678865502e-17,-1.0813674736574101e-17,1.0797630706297265e-17,-2.72434690025413e-16,3.691946938625089e-15,-0.07379160495921697,3.0814879110195774e-33
401.0000000000001,2.6224169716222246e-17,-2.981763141389196e-16,-1.600254842795977e-17,1.6214594086985257e-17,-1.1497604279968246e-17,1.1424409878814783e-17,-2.718132931648253e-16,3.655257067216554e-15,-0.07436229194457417,3.0814879110195774e-33
402.0000000000001,2.8186019470419885e-17,-3.0137402518559113e-16,-1.675599992128117e-17,1.702315616751902e-17,-1.1982707764781718e-17,1.1942306662162914e-17,-2.7296125057155223e-16,3.619021836839957e-15,-0.07542404077061204,3.0814879110195774e-33
403.0000000000001,2.6895657182209716e-17,-3.018313992510677e-16,-1.6581871775026192e-17,1.706837816845895e-17,-1.181001768046495e-17,1.1759612762411683e-17,-2.7449964059347854e-16,3.5832345038196555e-15,-0.07660666370031531,3.0814879110195774e-33
404.00000000000006,2.618599933837526e-17,-3.0182055685295493e-16,-1.636605295698175e-17,1.668070987628007e-17,-1.1372493822878982e-17,1.1132019193307125e-17,-2.755603752248532e-16,3.5478884408922163e-15,-0.07766883875174942,4.930380657631324e-32
405.00000000000017,2.5259736264721976e-17,-3.022739149583195e-16,-1.6398709313677408e-17,1.6488659883716022e-17,-1.0619409461353308e-17,1.0139121618539678e-17,-2.774045159663726e-16,3.5129771349154225e-15,-0.07896564802806533,3.0814879110195774e-33
406.00000000000006,2.469905473674315e-17,-3.0338057305456124e-16,-1.6182877583268926e-17,1.618017623832408e-17,-1.0627958856964245e-17,1.007579183380485e-17,-2.7923638668592226e-16,3.4784941846279072e-15,-0.0802750764741589,0.0
407.0000000000001,2.4216119194235394e-17,-3.046483820847295e-16,-1.647329156360617e-17,1.650577576956153e-17,-1.0808506060673814e-17,1.0583945622435768e-17,-2.8062433912277683e-16,3.4444332984580984e-15,-0.0814718459632818,4.930380657631324e-32
408.00000000000006,2.3722953017866753e-17,-3.0528964662728243e-16,-1.6752890392494235e-17,1.68528044262596e-17,-1.0886579530153363e-17,1.0550538089475626e-17,-2.8180282101632806e-16,3.4107882923813796e-15,-0.08262102389813705,0.0
409.0,2.312794283086503e-17,-3.0773406714557276e-16,-1.7248074080101883e-17,1.712003151212655e-17,-1.1035613758873193e-17,1.0734998214651135e-17,-2.850347824269051e-16,3.3775530878241718e-15,-0.08439091111681836,3.0814879110195774e-33
410.00000000000017,2.2860423582333655e-17,-3.118129669897664e-16,-1.751585969716984e-17,1.725994352696963e-17,-1.1290264018075854e-17,1.1480360061567779e-17,-2.890183635341411e-16,3.3447217096138784e-15,-0.08641028720069688,0.0
411.0,2.2737090565801826e-17,-3.160588728903807e-16,-1.7522137429639945e-17,1.7301938824629256e-17,-1.1544895438596545e-17,1.2082441806094072e-17,-2.9300443456209204e-16,3.3122882839735953e-15,-0.08845982276958952,4.930380657631324e-32
