wavelength_nm,delta_eta_plus1_P_minus_S,abs_delta_eta_plus1,delta_T_P_minus_S,delta_R_P_minus_S,delta_directionality_P_minus_S
445.0,-0.15913097971353485,0.15913097971353485,-0.08215698472796029,0.08305931082542808,-0.04611011816534316
445.99999999999994,-0.16208443612265133,0.16208443612265133,-0.08005935519254792,0.08133598964968897,-0.04436251157232218
446.99999999999994,-0.16622062722574693,0.16622062722574693,-0.07707049928233256,0.08232879313777902,-0.04274966447870754
448.00000000000006,-0.18106041501966563,0.18106041501966563,-0.08139948795327001,0.08029670827534546,-0.041989914167568365
449.0,-0.21428375089655943,0.21428375089655943,-0.05180912058384457,0.049864540211741026,-0.05016103943177297
450.0,-0.1450147413558115,0.1450147413558115,-0.028056570263425895,0.03472441708750473,-0.049930779032381745
450.9999999999999,-0.13321725286472375,0.13321725286472375,-0.015789671368342084,0.017604171901988486,-0.05499036745259489
451.99999999999994,-0.11011877035289053,0.11011877035289053,0.01038291556761628,-0.007600351722323817,-0.0628812639358195
453.00000000000006,-0.0767333012117708,0.0767333012117708,0.04159986091654111,-0.036875153414729744,-0.07168535052115765
453.9999999999999,-0.04344631792572862,0.04344631792572862,0.06691010031771405,-0.061849056311537254,-0.07903363826200416
455.00000000000006,-0.028731608160444178,0.028731608160444178,0.07131757767995606,-0.06378879497438777,-0.08202133187860328
