case,has_negative_angles,has_positive_angles,angle_min_deg,angle_max_deg,signed_global_peak_angle_deg,global_peak_abs_angle_deg,positive_peak_angle_deg,positive_peak_intensity,negative_peak_angle_deg,negative_peak_intensity,positive_to_negative_peak_ratio,dominant_lobe_fwhm_deg
center_x,True,True,-89.99999914622636,89.99999914622636,-36.35570123691935,36.35570123691935,36.35570123691936,1.3965641904908895e-05,-36.35570123691935,1.3965642298229583e-05,0.9999999718365487,3.31297398600433
center_z_outofplane,True,True,-89.99999914622636,89.99999914622636,1.1752334630566317,1.1752334630566317,1.1752334630566317,8.796957126109907e-06,-1.175233463056624,8.796954021699339e-06,1.0000003528960775,5.206302552821195
incoherent_average,True,True,-89.99999914622636,89.99999914622636,36.07150156714285,36.07150156714285,36.07150156714285,1.7503017395549954e-05,-36.071501567142846,1.7503017318052874e-05,1.0000000044276411,4.449120195012995
